PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,PARTNERID,PA,1B,2B,3B,HR,RBI,R,SB,BB,IP,BBSP,K,W,ER,HA,HBP,QS,UNDERDOG,PRIZEPICKS,H,PARK,BASES,OUTS,BATK,HRRBI,PC,REFID,FPTS,FPTS/$,FLOOR,CEIL,POWN,SMASH,TOPVAL,TEAMOWN,DIFFERENCE,LEV,OWNERSHIP,RGID
17735,"Rob Refsnyder",6300,TBR,OF,BOS,92911,621680,4.54,0.68,0.21,0,0.11,0.45,0.52,0.024,0.6,0,0,0,0,0,0,0,0,8.25,7.46,1,BOS,1.54,0,1.1466,1.97,,1,7.46,1.18,2.35,19.17,0.0,0,0,0,0,0,,17735
37543,"Alex Verdugo",11700,TBR,OF,BOS,92911,828699,4.52,0.74,0.26,0.02,0.06,0.45,0.48,0.013,0.39,0,0,0,0,0,0,0,0,7.65,7.02,1.08,BOS,1.56,0,0.726,2.01,,2,7.02,0.6,1.54,19.26,0.0,0,0,0,0,0,,37543
11113,"Justin Turner",9600,TBR,1B/3B,BOS,92911,326827,4.37,0.58,0.2,0,0.15,0.45,0.46,0.008,0.46,0,0,0,0,0,0,0,0,7.56,6.92,0.93,BOS,1.58,0,0.8015,1.84,,3,6.92,0.72,1.66,19.5,0.0,0,0,0,0,0,,11113
37377,"Rafael Devers",13500,TBR,3B,BOS,92911,828312,4.25,0.57,0.27,0.01,0.15,0.46,0.49,0.013,0.36,0,0,0,0,0,0,0,0,7.88,7.27,1,BOS,1.74,0,0.9,1.95,,4,7.27,0.54,1.36,20.53,0.0,0,0,0,0,0,,37377
4504237,"Masataka Yoshida",12900,TBR,OF,BOS,92911,907347,4.19,0.66,0.24,0.02,0.1,0.43,0.5,0.018,0.51,0,0,0,0,0,0,0,0,8.02,7.3,1.02,BOS,1.6,0,0.5859,1.95,,5,7.3,0.57,2.03,19.69,0.0,0,0,0,0,0,,4504237
18007,"Enrique Hernandez",7500,TBR,SS,BOS,92911,501542,4.14,0.44,0.19,0.02,0.13,0.43,0.41,0.007,0.48,0,0,0,0,0,0,0,0,7.02,6.35,0.78,BOS,1.4,0,0.8428,1.62,,6,6.35,0.85,1.25,18.48,0.0,0,0,0,0,0,,18007
521680,"Pablo Reyes",5700,TBR,2B/SS,BOS,92911,657423,4.01,0.54,0.18,0.01,0.08,0.39,0.35,0.019,0.34,0,0,0,0,0,0,0,0,6.15,5.65,0.81,BOS,1.25,0,0.8137,1.55,,7,5.65,0.99,0.89,16.02,0.0,0,0,0,0,0,,521680
2038622,"Connor Wong",7200,TBR,C,BOS,92911,873978,3.72,0.34,0.23,0.02,0.11,0.41,0.33,0.023,0.33,0,0,0,0,0,0,0,0,6.21,5.67,0.7,BOS,1.3,0,1.1156,1.44,,8,5.67,0.79,0.97,15.06,0.0,0,0,0,0,0,,2038622
36622,"Christian Arroyo",4500,TBR,2B/SS,BOS,92911,737529,3.67,0.55,0.18,0.02,0.1,0.37,0.32,0.013,0.21,0,0,0,0,0,0,0,0,5.86,5.48,0.85,BOS,1.37,0,0.8368,1.54,,9,5.48,1.22,1.41,14.64,0.0,0,0,0,0,0,,36622
1266421,"Nico Hoerner",4900,SDP,2B,CHC,92877,1054431,4.65,0.66,0.21,0.03,0.08,0.41,0.45,0.106,0.42,0,0,0,0,0,0,0,0,7.74,7.21,0.98,SDP,1.49,0,0.674,1.84,,10,7.21,1.47,1.99,19.93,1.36,0.0748,0.0598,0.017,0.0578,8.7,,1266421
35650,"Dansby Swanson",4900,SDP,SS,CHC,92877,659260,4.67,0.52,0.23,0.01,0.18,0.45,0.5,0.059,0.56,0,0,0,0,0,0,0,0,8.58,7.85,0.94,SDP,1.73,0,1.3729,1.89,,11,7.85,1.6,2.06,21.96,2.54,0.0748,0.0598,0.017,0.0578,8.7,,35650
36762,"Ian Happ",4000,SDP,OF,CHC,92877,827194,4.5,0.46,0.25,0.01,0.13,0.43,0.44,0.054,0.61,0,0,0,0,0,0,0,0,8.01,7.21,0.85,SDP,1.51,0,1.4233,1.72,,12,7.21,1.8,1.88,19.82,1.84,0.0748,0.0598,0.017,0.0578,8.7,,36762
3409991,"Seiya Suzuki",4200,SDP,OF,CHC,92877,727362,4.38,0.51,0.21,0.03,0.14,0.42,0.47,0.048,0.6,0,0,0,0,0,0,0,0,8.2,7.44,0.89,SDP,1.58,0,1.1781,1.78,,13,7.44,1.77,2.26,20.47,2.23,0.0748,0.0598,0.017,0.0578,8.7,,3409991
16166,"Patrick Wisdom",3500,SDP,3B,CHC,92877,657868,4.26,0.27,0.17,0.01,0.21,0.43,0.41,0.038,0.53,0,0,0,0,0,0,0,0,7.4,6.74,0.66,SDP,1.48,0,1.8555,1.5,,14,6.74,1.93,0.67,20.6,2.05,0.0748,0.0598,0.017,0.0578,8.7,,16166
13463,"Yan Gomes",2500,SDP,C,CHC,92877,501644,4.26,0.51,0.16,0,0.19,0.4,0.38,0.013,0.26,0,0,0,0,0,0,0,0,6.82,6.41,0.86,SDP,1.59,0,0.9627,1.64,,15,6.41,2.56,1.06,18.7,3.86,0.0748,0.0598,0.017,0.0578,8.7,,13463
17649,"Trey Mancini",2200,SDP,1B,CHC,92877,708967,4.14,0.43,0.17,0.01,0.14,0.39,0.37,0.003,0.52,0,0,0,0,0,0,0,0,6.91,6.22,0.75,SDP,1.36,0,1.2036,1.51,,16,6.22,2.83,1.51,17.85,2.6,0.0748,0.0598,0.017,0.0578,8.7,,17649
1452508,"Miguel Amaya",2000,SDP,C,CHC,92877,917354,3.92,0.34,0.14,0.01,0.11,0.35,0.28,0.013,0.37,0,0,0,0,0,0,0,0,5.43,4.94,0.6,SDP,1.09,0,1.1952,1.23,,17,4.94,2.47,0.78,14.01,1.6,0.0748,0.0598,0.017,0.0578,8.7,,1452508
2441503,"Christopher Morel",5100,SDP,OF,CHC,92877,1053442,3.81,0.32,0.17,0.02,0.19,0.38,0.35,0.063,0.51,0,0,0,0,0,0,0,0,7.19,6.58,0.7,SDP,1.48,0,1.4112,1.43,,18,6.58,1.29,1.44,20.92,1.69,0.0748,0.0598,0.017,0.0578,8.7,,2441503
498052,"Kevin Newman",2600,MIL,2B/3B,CIN,92875,827183,4.62,0.75,0.2,0.03,0.05,0.58,0.57,0.053,0.27,0,0,0,0,0,0,0,0,7.59,7.17,1.03,CIN,1.44,0,0.5994,2.18,,19,7.17,2.76,1.59,18.44,13.77,0.0528,0.0252,0.0779,-0.0251,2.7,,498052
