PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,PARTNERID,PA,1B,2B,3B,HR,RBI,R,SB,BB,IP,BBSP,K,W,ER,HA,HBP,QS,UNDERDOG,PRIZEPICKS,H,PARK,BASES,OUTS,BATK,HRRBI,PC,REFID,FPTS,FPTS/$,FLOOR,CEIL,POWN,SMASH,TOPVAL,TEAMOWN,DIFFERENCE,LEV,OWNERSHIP,RGID
2042452,"Michael Harris",2800,ARI,OF,ATL,92795,136672,4.02,0.6,0.26,0.07,0.2,0.53,0.51,0,0.32,0,0,0,0,0,0,0,0,8.92,8.34,1.13,ARI,2.13,0,0.7019,2.17,,18,10.79,3.85,4.85,36.52,0.0,0.1683,0.1245,0.1721,-0.0038,7.3,,2042452
17869,"Adam Frazier",2700,SFG,2B,BAL,92794,70898,4.92,1.14,0.16,0.1,0.03,0.43,0.5,0.049,0.43,0,0,0,0,0,0,0,0,8.94,8.39,1.43,SFG,1.88,0,0.5722,2.36,,19,10.46,3.87,4.43,23.53,0.0,0.117,0.163,0.1488,-0.0318,3.6,,17869
2106115,"Adley Rutschman",3100,SFG,C,BAL,92794,119307,5.01,0.87,0.21,0.02,0.1,0.45,0.51,0.021,0.79,0,0,0,0,0,0,0,0,9.42,8.44,1.2,SFG,1.75,0,0.8321,2.16,,20,10.97,3.54,4.39,25.92,0.0,0.117,0.163,0.1488,-0.0318,3.6,,2106115
36502,"Anthony Santander",3400,SFG,OF,BAL,92794,79884,4.84,0.74,0.16,0.02,0.15,0.44,0.42,0.006,0.47,0,0,0,0,0,0,0,0,7.92,7.29,1.07,SFG,1.72,0,0.9996,1.93,,21,9.39,2.76,2.76,25.2,0.0,0.117,0.163,0.1488,-0.0318,3.6,,36502
37558,"Austin Hays",2800,SFG,OF,BAL,92794,81953,4.74,0.76,0.25,0.09,0.13,0.47,0.47,0.02,0.29,0,0,0,0,0,0,0,0,8.64,8.11,1.23,SFG,2.05,0,1.0725,2.17,,22,10.3,3.68,3.33,25.82,0.0,0.117,0.163,0.1488,-0.0318,3.6,,37558
2109143,"Gunnar Henderson",2800,SFG,3B/SS,BAL,92794,119306,4.6,0.71,0.16,0.11,0.1,0.44,0.47,0.042,0.63,0,0,0,0,0,0,0,0,8.84,8.09,1.08,SFG,1.76,0,1.267,1.99,,23,10.45,3.73,3.92,24.89,0.0,0.117,0.163,0.1488,-0.0318,3.6,,2109143
1451922,"Ryan Mountcastle",3200,SFG,1B,BAL,92794,79082,4.51,0.69,0.17,0.04,0.16,0.43,0.39,0.013,0.28,0,0,0,0,0,0,0,0,7.66,7.21,1.06,SFG,1.79,0,1.2586,1.88,,24,9.18,2.87,0.92,24.69,0.0,0.117,0.163,0.1488,-0.0318,3.6,,1451922
14541,"Aaron Hicks",2300,SFG,OF,BAL,92794,13894,4.37,0.76,0.08,0.04,0.05,0.35,0.34,0.048,0.6,0,0,0,0,0,0,0,0,6.98,6.35,0.93,SFG,1.24,0,1.0309,1.62,,25,8.16,3.55,3.24,19.61,0.0,0.117,0.163,0.1488,-0.0318,3.6,,14541
36187,"Jorge Mateo",2900,SFG,SS,BAL,92794,68593,4.25,0.63,0.17,0.1,0.08,0.41,0.33,0.137,0.22,0,0,0,0,0,0,0,0,7.19,6.93,0.98,SFG,1.59,0,1.1621,1.72,,26,8.73,3.01,2.51,22.37,0.0,0.117,0.163,0.1488,-0.0318,3.6,,36187
3201984,"Terrin Vavra",2000,SFG,SS,BAL,92794,102317,3.94,0.86,0.09,0.04,0.04,0.32,0.3,0.02,0.42,0,0,0,0,0,0,0,0,6.33,5.84,1.03,SFG,1.32,0,0.8225,1.65,,27,7.31,3.66,2.89,16.5,0.0,0.117,0.163,0.1488,-0.0318,3.6,,3201984
37543,"Alex Verdugo",3300,TBR,OF,BOS,92781,79160,4.57,0.75,0.26,0.07,0.1,0.57,0.63,0.017,0.36,0,0,0,0,0,0,0,0,8.89,8.29,1.18,BOS,1.88,0,0.6192,2.38,,28,10.8,3.27,3.26,27.65,0.0,0,0,0,0,0,,37543
37377,"Rafael Devers",3700,TBR,3B,BOS,92791,68585,4.44,0.57,0.26,0.03,0.23,0.6,0.65,0.015,0.35,0,0,0,0,0,0,0,0,9.41,8.83,1.09,BOS,2.1,0,0.8209,2.34,,29,11.62,3.14,2.74,30.94,0.0,0,0,0,0,0,,37377
