PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,PARTNERID,PA,1B,2B,3B,HR,RBI,R,SB,BB,IP,BBSP,K,W,ER,HA,HBP,QS,UNDERDOG,PRIZEPICKS,H,PARK,BASES,OUTS,BATK,HRRBI,PC,REFID,FPTS,FPTS/$,FLOOR,CEIL,POWN,SMASH,TOPVAL,TEAMOWN,DIFFERENCE,LEV,OWNERSHIP,RGID
2042452,"Michael Harris",3200,ARI,OF,ATL,92795,1169617,4.02,0.6,0.26,0.07,0.2,0.53,0.51,0,0.32,0,0,0,0,0,0,0,0,8.92,8.34,1.13,ARI,2.13,0,0.7019,2.17,,18,8.34,2.61,3.75,28.23,0.0,0.167,0.1063,0.1882,-0.0212,5.5,,2042452
17869,"Adam Frazier",2800,SFG,2B,BAL,92794,737830,4.92,1.14,0.16,0.1,0.03,0.43,0.5,0.049,0.43,0,0,0,0,0,0,0,0,8.94,8.39,1.43,SFG,1.88,0,0.5722,2.36,,19,8.39,3,3.55,18.88,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,17869
2106115,"Adley Rutschman",5200,SFG,C,BAL,92794,918713,5.01,0.87,0.21,0.02,0.1,0.45,0.51,0.021,0.79,0,0,0,0,0,0,0,0,9.42,8.44,1.2,SFG,1.75,0,0.8321,2.16,,20,8.44,1.62,3.38,19.95,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,2106115
36502,"Anthony Santander",4300,SFG,OF,BAL,92794,659463,4.84,0.74,0.16,0.02,0.15,0.44,0.42,0.006,0.47,0,0,0,0,0,0,0,0,7.92,7.29,1.07,SFG,1.72,0,0.9996,1.93,,21,7.29,1.7,2.14,19.57,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,36502
37558,"Austin Hays",3700,SFG,OF,BAL,92794,874219,4.74,0.76,0.25,0.09,0.13,0.47,0.47,0.02,0.29,0,0,0,0,0,0,0,0,8.64,8.11,1.23,SFG,2.05,0,1.0725,2.17,,22,8.11,2.19,2.62,20.33,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,37558
2109143,"Gunnar Henderson",3500,SFG,3B,BAL,92794,1169580,4.6,0.71,0.16,0.11,0.1,0.44,0.47,0.042,0.63,0,0,0,0,0,0,0,0,8.84,8.09,1.08,SFG,1.76,0,1.267,1.99,,23,8.09,2.31,3.04,19.27,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,2109143
1451922,"Ryan Mountcastle",4400,SFG,1B,BAL,92794,874734,4.51,0.69,0.17,0.04,0.16,0.43,0.39,0.013,0.28,0,0,0,0,0,0,0,0,7.66,7.21,1.06,SFG,1.79,0,1.2586,1.88,,24,7.21,1.64,0.72,19.4,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,1451922
14541,"Aaron Hicks",2400,SFG,OF,BAL,92794,454371,4.37,0.76,0.08,0.04,0.05,0.35,0.34,0.048,0.6,0,0,0,0,0,0,0,0,6.98,6.35,0.93,SFG,1.24,0,1.0309,1.62,,25,6.35,2.65,2.52,15.26,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,14541
36187,"Jorge Mateo",4200,SFG,SS,BAL,92794,657910,4.25,0.63,0.17,0.1,0.08,0.41,0.33,0.137,0.22,0,0,0,0,0,0,0,0,7.19,6.93,0.98,SFG,1.59,0,1.1621,1.72,,26,6.93,1.65,1.99,17.76,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,36187
3201984,"Terrin Vavra",2000,SFG,OF,BAL,92794,1053036,3.94,0.86,0.09,0.04,0.04,0.32,0.3,0.02,0.42,0,0,0,0,0,0,0,0,6.33,5.84,1.03,SFG,1.32,0,0.8225,1.65,,27,5.84,2.92,2.31,13.18,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,3201984
37543,"Alex Verdugo",5000,TBR,OF,BOS,92781,828699,4.57,0.75,0.26,0.07,0.1,0.57,0.63,0.017,0.36,0,0,0,0,0,0,0,0,8.89,8.29,1.18,BOS,1.88,0,0.6192,2.38,,28,8.29,1.66,2.51,21.22,0.0,0,0,0,0,0,,37543
37377,"Rafael Devers",5800,TBR,3B,BOS,92791,828312,4.44,0.57,0.26,0.03,0.23,0.6,0.65,0.015,0.35,0,0,0,0,0,0,0,0,9.41,8.83,1.09,BOS,2.1,0,0.8209,2.34,,29,8.83,1.52,2.08,23.51,0.0,0,0,0,0,0,,37377
11113,"Justin Turner",3700,TBR,1B/3B,BOS,92791,326827,4.32,0.64,0.21,0,0.12,0.51,0.52,0.012,0.43,0,0,0,0,0,0,0,0,7.8,7.16,0.97,BOS,1.54,0,0.6427,2,,30,7.16,1.94,1.95,20.05,0.0,0,0,0,0,0,,11113
4504237,"Masataka Yoshida",5400,TBR,OF,BOS,92791,907347,4.26,0.66,0.22,0.1,0.15,0.56,0.65,0.02,0.41,0,0,0,0,0,0,0,0,9.27,8.66,1.13,BOS,2,0,0.5126,2.34,,31,8.66,1.6,2.61,22.8,0.0,0,0,0,0,0,,4504237
17735,"Rob Refsnyder",2900,TBR,OF,BOS,92781,621680,4.06,0.57,0.21,0.01,0.08,0.47,0.49,0.025,0.49,0,0,0,0,0,0,0,0,7.27,6.6,0.87,BOS,1.34,0,0.9294,1.83,,32,6.6,2.28,2.08,16.96,0.0,0,0,0,0,0,,17735
3772857,"Triston Casas",2800,TBR,1B,BOS,92791,1118539,4.07,0.39,0.11,0,0.17,0.48,0.46,0.005,0.57,0,0,0,0,0,0,0,0,7.2,6.53,0.67,BOS,1.29,0,0.927,1.61,,33,6.53,2.33,0.65,20.06,0.0,0,0,0,0,0,,3772857
18007,"Enrique Hernandez",3200,TBR,SS,BOS,92791,501542,4.01,0.49,0.21,0.03,0.09,0.49,0.43,0.009,0.38,0,0,0,0,0,0,0,0,6.92,6.34,0.82,BOS,1.36,0,0.6831,1.74,,34,6.34,1.98,1.37,17.51,0.0,0,0,0,0,0,,18007
38032,"Reese McGuire",2200,TBR,C,BOS,92781,737505,3.77,0.61,0.21,0.01,0.04,0.43,0.36,0.01,0.23,0,0,0,0,0,0,0,0,5.84,5.41,0.87,BOS,1.22,0,0.7772,1.66,,35,5.41,2.46,1.03,14.26,0.0,0,0,0,0,0,,38032
521680,"Pablo Reyes",2600,TBR,2B/SS,BOS,92781,657423,3.7,0.5,0.18,0.02,0.06,0.42,0.34,0.024,0.29,0,0,0,0,0,0,0,0,5.82,5.37,0.76,BOS,1.16,0,0.6277,1.52,,36,5.37,2.07,0.84,15.22,0.0,0,0,0,0,0,,521680
1266421,"Nico Hoerner",4900,SDP,2B,CHC,92796,1054431,4.61,0.71,0.19,0.04,0.09,0.4,0.43,0.128,0.29,0,0,0,0,0,0,0,0,7.55,7.2,1.03,SDP,1.57,0,0.6492,1.86,,37,7.2,1.47,1.83,19.9,0.0,0.0692,0.0486,0.0368,0.0324,6.4,,1266421
35650,"Dansby Swanson",4700,SDP,SS,CHC,92796,659260,4.63,0.56,0.19,0.02,0.19,0.43,0.46,0.062,0.36,0,0,0,0,0,0,0,0,8.04,7.54,0.96,SDP,1.76,0,1.3066,1.85,,38,7.54,1.6,1.29,22.37,0.0,0.0692,0.0486,0.0368,0.0324,6.4,,35650
36762,"Ian Happ",4100,SDP,OF,CHC,92796,827194,4.46,0.48,0.25,0.02,0.15,0.42,0.44,0.069,0.52,0,0,0,0,0,0,0,0,8.17,7.47,0.9,SDP,1.64,0,1.2779,1.76,,39,7.47,1.82,1.72,20.85,0.0,0.0692,0.0486,0.0368,0.0324,6.4,,36762
3409991,"Seiya Suzuki",4300,SDP,OF,CHC,92796,727362,4.34,0.51,0.19,0.02,0.17,0.4,0.44,0.05,0.41,0,0,0,0,0,0,0,0,7.67,7.12,0.89,SDP,1.63,0,1.2259,1.73,,40,7.12,1.66,1.48,19.53,0.0,0.0692,0.0486,0.0368,0.0324,6.4,,3409991
37230,"Mike Tauchman",2500,SDP,OF,CHC,92796,737856,4.24,0.46,0.13,0.01,0.09,0.34,0.36,0.106,0.56,0,0,0,0,0,0,0,0,6.66,6.07,0.69,SDP,1.11,0,1.252,1.39,,41,6.07,2.43,1.27,17.6,0.0,0.0692,0.0486,0.0368,0.0324,6.4,,37230
2441503,"Christopher Morel",5400,SDP,OF,CHC,92796,1053442,4.08,0.39,0.16,0.05,0.27,0.42,0.44,0.065,0.32,0,0,0,0,0,0,0,0,8.2,7.78,0.87,SDP,1.94,0,1.4984,1.73,,42,7.78,1.44,1.39,21.42,0.0,0.0692,0.0486,0.0368,0.0324,6.4,,2441503
