PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,PARTNERID,PA,1B,2B,3B,HR,RBI,R,SB,BB,IP,BBSP,K,W,ER,HA,HBP,QS,UNDERDOG,PRIZEPICKS,H,PARK,BASES,OUTS,BATK,HRRBI,PC,REFID,FPTS,FPTS/$,FLOOR,CEIL,POWN,SMASH,TOPVAL,TEAMOWN,DIFFERENCE,LEV,OWNERSHIP,RGID
2039344,"Geraldo Perdomo",2900,ATL,SS,ARI,92754,102438,4.62,0.57,0.16,0.06,0.11,0.51,0.53,0.024,0.62,0,0,0,0,0,0,0,0,8.28,7.53,0.9,ARI,1.51,0,1.0098,1.94,,1,10.02,3.46,2.59,27.05,6.85,0.0414,0.0298,0.0328,0.0086,8.1,,2039344
15782,"Ketel Marte",3300,ATL,2B,ARI,92754,21853,4.5,0.58,0.27,0.06,0.15,0.56,0.59,0.012,0.47,0,0,0,0,0,0,0,0,9.09,8.37,1.06,ARI,1.9,0,0.86,2.21,,2,11.01,3.34,3.05,30.09,5.48,0.0414,0.0298,0.0328,0.0086,8.1,,15782
2039346,"Corbin Carroll",3700,ATL,OF,ARI,92754,119297,4.49,0.51,0.26,0.06,0.21,0.58,0.63,0.06,0.58,0,0,0,0,0,0,0,0,10.12,9.34,1.04,ARI,2.05,0,1.1026,2.25,,3,12.36,3.34,3.73,32.96,9.15,0.0414,0.0298,0.0328,0.0086,8.1,,2039346
16300,"Christian Walker",3300,ATL,1B,ARI,92754,38218,4.31,0.57,0.17,0.02,0.19,0.51,0.53,0.008,0.43,0,0,0,0,0,0,0,0,8.18,7.59,0.95,ARI,1.73,0,0.9163,1.99,,4,10,3.03,2.4,28.88,1.6,0.0414,0.0298,0.0328,0.0086,8.1,,16300
36142,"Lourdes Gurriel",3400,ATL,OF,ARI,92754,79272,4.16,0.69,0.24,0.06,0.11,0.49,0.53,0.007,0.3,0,0,0,0,0,0,0,0,8.05,7.52,1.1,ARI,1.79,0,0.732,2.12,,5,9.72,2.86,2.93,27.08,2.81,0.0414,0.0298,0.0328,0.0086,8.1,,36142
2956628,"Emmanuel Rivera",2700,ATL,3B,ARI,92754,102488,3.98,0.58,0.18,0.03,0.11,0.45,0.42,0.007,0.32,0,0,0,0,0,0,0,0,6.91,6.41,0.9,ARI,1.47,0,0.8957,1.77,,6,8.35,3.09,2.19,22.38,1.33,0.0414,0.0298,0.0328,0.0086,8.1,,2956628
2133994,"Gabriel Moreno",2500,ATL,C,ARI,92754,119442,4.04,0.83,0.13,0.01,0.06,0.41,0.4,0.013,0.28,0,0,0,0,0,0,0,0,6.49,6.1,1.03,ARI,1.36,0,0.6768,1.84,,7,7.75,3.1,2.56,21.27,1.64,0.0414,0.0298,0.0328,0.0086,8.1,,2133994
15528,"Nick Ahmed",2300,ATL,SS,ARI,92754,21612,3.88,0.55,0.19,0.02,0.06,0.42,0.34,0.012,0.27,0,0,0,0,0,0,0,0,5.91,5.47,0.82,ARI,1.23,0,0.9046,1.58,,8,7.11,3.09,1.39,20.85,0.65,0.0414,0.0298,0.0328,0.0086,8.1,,15528
3054562,"Jake McCarthy",2800,ATL,OF,ARI,92754,102282,3.84,0.57,0.15,0.06,0.09,0.43,0.39,0.052,0.38,0,0,0,0,0,0,0,0,7,6.52,0.87,ARI,1.41,0,0.8885,1.69,,9,8.47,3.03,2.29,23.15,1.05,0.0414,0.0298,0.0328,0.0086,8.1,,3054562
262363,"Ronald Acuna",4400,ARI,OF,ATL,92754,79756,4.82,0.6,0.28,0.02,0.21,0.56,0.66,0.125,0.63,0,0,0,0,0,0,0,0,10.57,9.78,1.11,ARI,2.06,0,1.0378,2.33,,10,12.9,2.93,4.25,32.05,4.24,0.0568,0.0359,0.0263,0.0305,9.3,,262363
