PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,PARTNERID,PA,1B,2B,3B,HR,RBI,R,SB,BB,IP,BBSP,K,W,ER,HA,HBP,QS,UNDERDOG,PRIZEPICKS,H,PARK,BASES,OUTS,BATK,HRRBI,PC,REFID,FPTS,FPTS/$,FLOOR,CEIL,POWN,SMASH,TOPVAL,TEAMOWN,DIFFERENCE,LEV,OWNERSHIP,RGID
1252110,"Sean Murphy",4800,ARI,C,ATL,92795,873680,4.54,0.52,0.27,0,0.18,0.56,0.56,0,0.45,0,0,0,0,0,0,0,0,8.63,7.91,0.97,ARI,1.78,0,0.8584,2.09,,13,7.91,1.65,2.16,21.43,0.0,0.167,0.1063,0.1882,-0.0212,5.5,,1252110
14629,"Marcell Ozuna",3100,ARI,OF,ATL,92795,503013,4.45,0.5,0.17,0.01,0.23,0.54,0.51,0,0.31,0,0,0,0,0,0,0,0,7.94,7.46,0.91,ARI,1.79,0,0.8835,1.96,,14,7.46,2.41,0.75,21.57,0.0,0.167,0.1063,0.1882,-0.0212,5.5,,14629
15912,"Eddie Rosario",2600,ARI,OF,ATL,92795,548299,4.32,0.57,0.25,0.07,0.16,0.55,0.52,0,0.28,0,0,0,0,0,0,0,0,8.37,7.85,1.05,ARI,1.92,0,0.6903,2.12,,15,7.85,3.02,2.16,21.01,0.0,0.167,0.1063,0.1882,-0.0212,5.5,,15912
37435,"Ozzie Albies",4600,ARI,2B,ATL,92795,830219,4.25,0.51,0.25,0.1,0.21,0.57,0.55,0,0.33,0,0,0,0,0,0,0,0,9.15,8.57,1.07,ARI,2.15,0,0.57,2.19,,16,8.57,1.86,2.33,21.99,0.0,0.167,0.1063,0.1882,-0.0212,5.5,,37435
16290,"Orlando Arcia",3800,ARI,SS,ATL,92795,596917,3.99,0.59,0.18,0.01,0.13,0.45,0.39,0,0.28,0,0,0,0,0,0,0,0,6.72,6.26,0.91,ARI,1.5,0,0.6845,1.75,,17,6.26,1.65,0.63,17.12,0.0,0.167,0.1063,0.1882,-0.0212,5.5,,16290
2042452,"Michael Harris",3200,ARI,OF,ATL,92795,1169617,4.02,0.6,0.26,0.07,0.2,0.53,0.51,0,0.32,0,0,0,0,0,0,0,0,8.93,8.36,1.13,ARI,2.13,0,0.702,2.17,,18,8.36,2.61,3.97,29.24,0.0,0.167,0.1063,0.1882,-0.0212,5.5,,2042452
17869,"Adam Frazier",2800,SFG,2B,BAL,92794,737830,4.92,1.14,0.16,0.1,0.03,0.44,0.5,0.049,0.43,0,0,0,0,0,0,0,0,8.95,8.4,1.43,SFG,1.88,0,0.5722,2.37,,19,8.4,3,3.65,18.95,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,17869
2106115,"Adley Rutschman",5200,SFG,C,BAL,92794,918713,5.01,0.87,0.21,0.02,0.1,0.45,0.51,0.021,0.79,0,0,0,0,0,0,0,0,9.43,8.45,1.2,SFG,1.75,0,0.8321,2.16,,20,8.45,1.63,3.54,20.3,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,2106115
36502,"Anthony Santander",4300,SFG,OF,BAL,92794,659463,4.84,0.74,0.16,0.02,0.15,0.44,0.42,0.006,0.47,0,0,0,0,0,0,0,0,7.93,7.3,1.07,SFG,1.72,0,0.9996,1.93,,21,7.3,1.7,2.32,19.46,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,36502
37558,"Austin Hays",3700,SFG,OF,BAL,92794,874219,4.74,0.76,0.25,0.09,0.13,0.48,0.47,0.02,0.29,0,0,0,0,0,0,0,0,8.65,8.12,1.23,SFG,2.05,0,1.0725,2.18,,22,8.12,2.19,2.67,20.56,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,37558
2109143,"Gunnar Henderson",3500,SFG,3B,BAL,92794,1169580,4.6,0.71,0.16,0.11,0.1,0.44,0.47,0.042,0.63,0,0,0,0,0,0,0,0,8.85,8.1,1.08,SFG,1.76,0,1.2671,1.99,,23,8.1,2.31,3.17,19.28,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,2109143
1451922,"Ryan Mountcastle",4400,SFG,1B,BAL,92794,874734,4.51,0.69,0.17,0.04,0.16,0.44,0.4,0.013,0.28,0,0,0,0,0,0,0,0,7.67,7.22,1.06,SFG,1.79,0,1.2585,1.9,,24,7.22,1.64,0.72,19.47,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,1451922
14541,"Aaron Hicks",2400,SFG,OF,BAL,92794,454371,4.37,0.76,0.08,0.04,0.05,0.35,0.34,0.048,0.6,0,0,0,0,0,0,0,0,6.99,6.36,0.93,SFG,1.24,0,1.031,1.62,,25,6.36,2.65,2.67,15.6,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,14541
36187,"Jorge Mateo",4200,SFG,SS,BAL,92794,657910,4.25,0.63,0.17,0.1,0.08,0.41,0.33,0.137,0.22,0,0,0,0,0,0,0,0,7.2,6.94,0.98,SFG,1.59,0,1.162,1.72,,26,6.94,1.65,2.13,17.86,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,36187
