PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,PARTNERID,PA,1B,2B,3B,HR,RBI,R,SB,BB,IP,BBSP,K,W,ER,HA,HBP,QS,UNDERDOG,PRIZEPICKS,H,PARK,BASES,OUTS,BATK,HRRBI,PC,REFID,FPTS,FPTS/$,FLOOR,CEIL,POWN,SMASH,TOPVAL,TEAMOWN,DIFFERENCE,LEV,OWNERSHIP,RGID
2106115,"Adley Rutschman",3200,SFG,C,BAL,92832,119307,4.62,0.57,0.34,0.02,0.15,0.5,0.56,0.011,0.49,0,0,0,0,0,0,0,0,9.08,8.26,1.08,SFG,1.91,0,0.7083,2.14,,20,10.84,3.39,3.16,26.99,0.0,0,0,0,0,0,,2106115
36502,"Anthony Santander",3400,SFG,OF,BAL,92832,79884,4.46,0.49,0.27,0.02,0.2,0.48,0.48,0.003,0.29,0,0,0,0,0,0,0,0,7.99,7.44,0.98,SFG,1.89,0,0.8458,1.94,,21,9.72,2.86,1.69,26.53,0.0,0,0,0,0,0,,36502
37558,"Austin Hays",2900,SFG,OF,BAL,92832,81953,4.37,0.52,0.27,0.07,0.14,0.47,0.49,0.011,0.24,0,0,0,0,0,0,0,0,7.79,7.29,1,SFG,1.83,0,0.9234,1.96,,22,9.45,3.26,1.87,26.07,0.0,0,0,0,0,0,,37558
2109143,"Gunnar Henderson",2800,SFG,3B/SS,BAL,92832,119306,4.24,0.47,0.26,0.13,0.15,0.49,0.54,0.021,0.39,0,0,0,0,0,0,0,0,8.8,8.17,1.01,SFG,1.98,0,1.0824,2.04,,23,10.65,3.8,2.7,27.11,0.0,0,0,0,0,0,,2109143
1451922,"Ryan Mountcastle",3300,SFG,1B,BAL,92832,79082,4.15,0.47,0.19,0.03,0.18,0.43,0.41,0.007,0.23,0,0,0,0,0,0,0,0,6.98,6.56,0.87,SFG,1.66,0,1.0846,1.71,,24,8.52,2.58,0.85,23.66,0.0,0,0,0,0,0,,1451922
14541,"Aaron Hicks",2300,SFG,OF,BAL,92832,13894,4.02,0.5,0.13,0.05,0.07,0.37,0.33,0.021,0.37,0,0,0,0,0,0,0,0,5.94,5.47,0.75,SFG,1.19,0,0.8779,1.45,,25,7.13,3.1,1.33,20.06,0.0,0,0,0,0,0,,14541
814904,"Ramon Urias",2600,SFG,3B/2B,BAL,92832,101850,3.93,0.49,0.17,0.02,0.1,0.38,0.34,0.006,0.3,0,0,0,0,0,0,0,0,6.06,5.59,0.78,SFG,1.29,0,0.9444,1.5,,26,7.27,2.8,1.28,20.33,0.0,0,0,0,0,0,,814904
36187,"Jorge Mateo",2800,SFG,SS,BAL,92832,68593,3.81,0.42,0.19,0.07,0.08,0.39,0.31,0.074,0.18,0,0,0,0,0,0,0,0,5.97,5.68,0.76,SFG,1.33,0,0.9705,1.46,,27,7.31,2.61,0.92,21.2,0.0,0,0,0,0,0,,36187
37543,"Alex Verdugo",3200,TBR,OF,BOS,92822,79160,4.48,0.7,0.2,0.04,0.07,0.5,0.54,0.011,0.37,0,0,0,0,0,0,0,0,7.54,6.98,1.01,BOS,1.5,0,0.7617,2.05,,28,9.14,2.86,2.21,24.92,1.94,0.0272,0.0206,0.0179,0.0093,5.7,,37543
37377,"Rafael Devers",3600,TBR,3B,BOS,92822,68585,4.34,0.53,0.21,0.02,0.18,0.53,0.56,0.01,0.35,0,0,0,0,0,0,0,0,7.98,7.44,0.94,BOS,1.73,0,1.0048,2.03,,29,9.84,2.73,1.59,27.98,2.41,0.0272,0.0206,0.0179,0.0093,5.7,,37377
