Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Yordan Alvarez,,OF,4500,HOU,@MIN,3.56,Gray,0.276,-10%,R,L,0.398,-1%,0.292,2%,3,3,0,3%,-10%,-2%,17.5,17.5,17.5,7.8,27.2,11.4,2.5,6.0,1.3
Ronald Acuna,1,OF,4400,ATL,SD,4.71,Martinez,0.307,-3%,R,R,0.370,0%,0.218,-1%,1,1,0,2%,-5%,0%,17.2,17.2,17.2,6.4,28.1,13.6,3.1,21.4,4.9
C.J. Cron,1,1B,4400,COL,WAS,5.85,Gore,0.328,2%,L,R,0.357,-2%,0.256,6%,4,4,0,11%,-6%,0%,13.4,13.4,13.4,-8.3,35.2,12.4,2.8,3.0,0.7
Aaron Judge,0,OF,4300,NYY,@BAL,4.37,Kremer,0.350,6%,R,R,0.429,1%,0.316,0%,2,2,0,5%,-9%,0%,14.5,14.5,14.5,6.8,22.2,14.6,3.4,9.0,2.1
Cedric Mullins,1,OF,4200,BAL,NYY,4.13,Schmidt,0.392,3%,R,S,0.361,7%,0.207,12%,1,1,1,1%,-7%,0%,19.8,19.8,19.8,6.2,33.5,11.2,2.7,0.0,0.0
Shohei Ohtani,0,OF,4200,LAA,TOR,4.81,Bassitt,0.311,-2%,R,L,0.388,3%,0.289,6%,3,3,0,5%,-4%,0%,19.2,19.2,19.2,2.8,35.6,13.3,3.2,9.0,2.1
Kyle Tucker,,OF,4100,HOU,@MIN,3.56,Gray,0.276,-10%,R,L,0.378,4%,0.234,-4%,5,5,0,3%,-9%,-2%,17.0,17.0,17.0,4.0,29.9,10.8,2.6,6.0,1.5
Will Smith,,C,4100,LAD,@ARI,5.41,Bumgarner,0.347,6%,L,R,0.337,-4%,0.192,-9%,x,x,-,0%,0%,0%,21.5,21.5,21.5,11.9,31.1,0.0,0.0,0.0,0.0
Matt Olson,1,1B,4100,ATL,SD,4.71,Martinez,0.318,-1%,R,L,0.363,2%,0.253,0%,2,2,0,-1%,-7%,0%,18.8,18.8,18.8,1.2,36.4,12.4,3.0,12.2,3.0
Gleyber Torres,0,2B,4000,NYY,@BAL,4.37,Kremer,0.350,6%,R,R,0.314,-5%,0.137,-19%,5,5,-1,4%,-8%,0%,21.7,21.7,21.7,4.5,38.9,10.2,2.5,9.2,2.3
