Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Gerrit Cole,,P,11400,NYY,TOR,61%,3.06,6.5,0.339,20.1%,4.65,32.9%,2.87,2.85,R,0.280,0.274,0%,1%,2%,53.0,53.0,53.0,38.5,67.5,38.3,3.4,29.0,2.5
Luis Castillo,2,P,11000,SEA,STL,60%,3.35,5.5,0.332,21.6%,4.65,25.6%,3.70,3.41,R,0.302,0.283,1%,0%,0%,42.5,42.5,42.5,31.2,53.8,32.7,3.0,30.0,2.7
Shane McClanahan,,P,10800,TB,CWS,64%,2.96,7,0.338,24.5%,4.50,29.0%,3.22,2.92,L,0.294,0.267,1%,0%,0%,43.5,43.5,43.5,40.9,46.1,37.9,3.5,46.0,4.3
Dylan Cease,,P,10600,CWS,@TB,36%,4.04,6,0.316,20.8%,7.05,31.0%,3.54,3.62,R,0.305,0.261,4%,0%,0%,39.8,39.8,39.8,31.6,47.9,30.1,2.8,18.0,1.7
Pablo Lopez,1,P,10500,MIN,WAS,74%,2.71,7,0.296,22.9%,3.42,25.7%,3.56,3.42,R,0.308,0.281,0%,2%,0%,45.0,45.0,45.0,39.2,50.8,35.8,3.4,15.0,1.4
Framber Valdez,0,P,10000,HOU,@ATL,50%,4.27,5.5,0.339,21.5%,5.05,22.9%,3.39,3.23,L,0.279,0.278,-2%,2%,-1%,38.3,38.3,38.3,30.2,46.3,30.5,3.1,49.0,4.9
Joe Musgrove,,P,9900,SD,@ARI,56%,4.37,5,0.316,20.1%,4.86,26.0%,3.57,3.56,R,0.293,0.281,-8%,-2%,0%,0.0,0.0,0.0,0.0,0.0,26.4,2.7,30.0,3.0
Logan Webb,,P,9600,SF,NYM,54%,4.07,4.5,0.340,19.1%,4.95,23.6%,3.32,3.05,R,0.319,0.253,1%,0%,0%,26.8,26.8,26.8,15.5,38.0,28.9,3.0,49.0,5.1
Alek Manoah,,P,9500,TOR,@NYY,39%,3.94,5.5,0.319,23.1%,4.45,24.1%,3.99,4.19,R,0.311,0.230,0%,1%,2%,17.8,17.8,17.8,-1.4,36.9,28.4,3.0,40.0,4.2
Dustin May,,P,9200,LAD,@CHC,53%,4.09,6,0.317,24.3%,6.00,24.7%,3.85,3.68,R,0.296,0.255,1%,4%,-8%,25.3,25.3,25.3,8.9,41.6,25.9,2.8,34.0,3.7
Kyle Gibson,0,P,9000,BAL,DET,62%,3.47,6,0.301,27.5%,3.22,19.9%,4.28,4.09,R,0.338,0.296,0%,2%,0%,25.8,25.8,25.8,9.8,41.7,29.4,3.3,59.0,6.6
Andrew Heaney,1,P,8900,TEX,OAK,70%,3.27,6,0.319,,3.50,29.8%,3.38,3.70,L,0.315,0.334,0%,1%,0%,23.7,23.7,23.7,-5.5,52.8,34.5,3.9,34.0,3.8
Wade Miley,,P,8700,MIL,BOS,55%,4.00,4,0.316,21.6%,5.52,18.1%,4.49,4.15,L,0.231,0.322,0%,0%,0%,35.7,35.7,35.7,15.6,55.7,25.8,3.0,24.0,2.8
Tyler Anderson,,P,8600,LAA,KC,62%,4.14,4,0.319,22.4%,2.95,19.1%,4.36,4.43,L,0.302,0.306,-1%,0%,0%,17.0,17.0,17.0,-3.7,37.7,26.7,3.1,4.0,0.5
Garrett Whitlock,,P,8500,BOS,@MIL,45%,4.50,4.5,0.331,22.8%,4.90,26.5%,3.13,3.27,R,0.293,0.272,1%,0%,0%,29.0,29.0,29.0,9.2,48.8,27.0,3.2,0.0,0.0
