Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Gerrit Cole,0,P,11100,NYY,PHI,61%,2.84,8.5,0.313,24.5%,3.20,33.2%,2.83,2.82,R,0.282,0.280,0%,2%,1%,61.0,61.0,61.0,61.0,61.0,41.7,3.8,50.0,4.5
Dylan Cease,0,P,10800,CWS,SF,55%,3.53,8,0.333,26.5%,4.75,31.3%,3.48,3.57,R,0.307,0.260,0%,0%,0%,50.0,50.0,50.0,50.0,50.0,35.4,3.3,42.0,3.9
Shane McClanahan,1,P,10600,TB,@WAS,71%,3.21,6.5,0.321,21.9%,3.00,28.9%,3.17,2.87,L,0.297,0.267,1%,0%,0%,46.0,46.0,46.0,46.0,46.0,34.1,3.2,40.0,3.8
Shohei Ohtani,0,P,10400,LAA,@SEA,61%,3.09,7.5,0.320,23.1%,4.33,31.7%,3.11,3.05,R,0.296,0.236,2%,1%,0%,13.2,13.2,13.2,4.9,21.5,31.9,3.1,49.0,4.7
Corbin Burnes,0,P,10200,MIL,NYM,55%,3.77,5,0.345,17.7%,2.83,32.5%,2.80,2.65,R,0.259,0.244,0%,0%,0%,12.0,12.0,12.0,12.0,12.0,32.5,3.2,4.0,0.4
Logan Webb,0,P,10100,SF,@CWS,45%,3.97,4.5,0.320,19.9%,3.80,23.7%,3.34,3.05,R,0.315,0.250,-2%,1%,0%,42.0,42.0,42.0,42.0,42.0,29.2,2.9,15.0,1.5
Cristian Javier,0,P,10000,HOU,DET,69%,2.96,8.5,0.306,27.2%,3.20,32.0%,3.45,3.84,R,0.300,0.249,0%,0%,0%,24.0,24.0,24.0,24.0,24.0,35.9,3.6,40.0,4.0
Jacob deGrom,2,P,9900,TEX,BAL,63%,3.20,6.5,0.329,20.0%,6.40,44.0%,1.67,1.59,R,0.224,0.210,0%,1%,0%,17.0,17.0,17.0,17.0,17.0,35.7,3.6,58.0,5.9
Aaron Nola,,P,9700,PHI,@NYY,39%,3.66,6.5,0.323,23.5%,5.00,29.4%,3.04,3.06,R,0.272,0.293,0%,2%,2%,8.0,8.0,8.0,8.0,8.0,33.0,3.4,28.0,2.9
Alek Manoah,,P,9500,TOR,@KC,64%,3.37,6,0.306,22.8%,2.80,24.5%,3.87,4.06,R,0.312,0.221,-1%,3%,0%,4.0,4.0,4.0,4.0,4.0,30.7,3.2,46.0,4.8
Pablo Lopez,,P,9400,MIN,@MIA,53%,3.40,6,0.318,23.4%,1.67,25.3%,3.61,3.47,R,0.312,0.286,1%,-1%,0%,46.0,46.0,46.0,46.0,46.0,30.9,3.3,46.0,4.9
Marcus Stroman,,P,9200,CHC,@CIN,53%,4.37,4.5,0.328,23.8%,5.00,21.6%,3.84,3.51,R,0.291,0.281,-4%,0%,0%,52.0,52.0,52.0,52.0,52.0,27.3,3.0,0.0,0.0
Jesus Luzardo,,P,9000,MIA,MIN,47%,3.60,6,0.336,22.7%,4.40,26.0%,4.05,3.99,L,0.296,0.327,1%,-1%,0%,38.0,38.0,38.0,38.0,38.0,32.2,3.6,52.0,5.8
