Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Kyle Schwarber,,OF,24,PHI,COL,5.36,Feltner,0.331,5%,R,L,0.388,8%,0.333,24%,3,,0,1%,-1%,0%,9.8,7.8,7.8,0.4,15.3,10.3,4.3,2.6,1.1
Pete Alonso,,1B,23,NYM,@SF,4.37,Manaea,0.338,4%,L,R,0.366,0%,0.300,13%,4,4,0,-1%,-1%,0%,9.0,10.5,10.5,1.4,19.7,9.4,4.1,27.0,11.7
Patrick Wisdom,0,3B,23,CHC,LAD,5.48,Grove,,-1%,R,R,0.319,-5%,0.238,-9%,6,,0,-1%,1%,31%,11.3,12.0,12.0,1.4,22.6,9.0,3.9,0.0,0.0
Mike Trout,,OF,22,LAA,@NYY,3.88,Cortes,0.273,-11%,L,R,0.403,-3%,0.264,-12%,3,,-1,0%,-4%,0%,8.3,10.0,10.0,2.2,17.7,8.8,4.0,2.6,1.2
Brandon Marsh,,OF,21,PHI,COL,5.36,Feltner,0.331,5%,R,L,0.333,7%,0.169,16%,5,,0,0%,-1%,0%,11.0,10.3,10.3,2.4,18.3,8.0,3.8,5.2,2.5
James Outman,,OF,21,LAD,@CHC,5.52,Assad,,1%,R,L,0.409,4%,0.274,8%,1,,3,1%,1%,26%,7.8,9.6,9.6,1.2,17.9,10.9,5.2,34.1,16.2
Nico Hoerner,0,2B,21,CHC,LAD,5.48,Grove,,-1%,R,R,0.326,1%,0.110,2%,1,,0,-1%,1%,20%,11.0,9.9,9.9,3.2,16.5,9.4,4.5,4.5,2.1
Trea Turner,,SS,20,PHI,COL,5.36,Feltner,0.381,9%,R,R,0.349,-6%,0.154,-17%,2,,0,2%,-1%,0%,10.3,8.9,8.9,0.8,16.9,10.1,5.0,5.2,2.6
Brandon Nimmo,,OF,20,NYM,@SF,4.37,Manaea,0.271,-10%,L,L,0.366,0%,0.156,-1%,1,1,0,1%,-1%,0%,11.5,10.4,10.4,2.3,18.5,8.3,4.2,12.3,6.2
Bryan Reynolds,,OF,20,PIT,CIN,5.31,Weaver,0.376,10%,R,S,0.372,3%,0.232,12%,2,,0,2%,2%,0%,4.2,10.4,10.4,-0.6,21.4,10.0,5.0,4.5,2.3
