Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Corbin Carroll,,OF,25,ARI,@COL,6.00,Davis,,1%,R,L,0.396,5%,0.271,12%,3,3,1,19%,-2%,0%,11.2,10.3,10.3,1.6,19.0,11.3,4.5,4.5,1.8
Ronald Acuna Jr.,,OF,24,ATL,@NYM,4.19,Megill,0.259,-10%,R,R,0.376,1%,0.217,0%,,1,,-9%,-6%,0%,10.5,11.9,11.9,5.3,18.6,9.1,3.8,0.0,0.0
Jose Ramirez,,3B,22,CLE,@BOS,4.45,Bello,,5%,R,S,0.381,3%,0.268,5%,3,3,0,8%,-5%,0%,8.2,9.1,9.1,1.8,16.4,10.2,4.6,14.2,6.5
Max Muncy,,3B,22,LAD,STL,4.33,Montgomery,0.244,-14%,L,L,0.363,1%,0.248,0%,5,5,-1,-2%,-2%,0%,12.4,12.3,12.3,0.6,24.1,6.9,3.1,2.6,1.2
Mike Trout,,OF,21,LAA,@MIL,3.71,Burnes,0.252,-15%,R,R,0.427,3%,0.350,14%,2,2,0,0%,-10%,0%,8.7,9.6,9.6,1.7,17.6,8.6,4.1,36.7,17.5
Xander Bogaerts,0,SS,21,SD,SF,8.89,Manaea,0.340,4%,L,R,0.383,3%,0.196,5%,4,4,0,-4%,-1%,0%,6.5,8.6,8.6,2.4,14.8,11.4,5.4,18.7,8.9
Matt Olson,,1B,21,ATL,@NYM,4.19,Megill,0.396,10%,R,L,0.365,2%,0.257,1%,,2,,-7%,-8%,0%,8.8,10.6,10.6,1.8,19.4,8.4,4.0,0.0,0.0
Yandy Diaz,,1B,21,TB,@CWS,4.81,Lynn,0.270,-11%,R,R,0.351,-2%,0.126,-16%,x,x,-,0%,0%,0%,10.9,10.2,10.2,0.6,19.7,0.0,0.0,7.1,3.4
Randy Arozarena,,OF,21,TB,@CWS,4.81,Lynn,0.270,-11%,R,R,0.330,-6%,0.162,-16%,3,2,0,7%,-6%,2%,10.8,10.3,10.3,2.7,17.9,8.9,4.2,32.2,15.3
Pavin Smith,,1B,21,ARI,@COL,6.00,Davis,,1%,R,L,0.336,6%,0.172,19%,6,6,0,19%,-2%,0%,8.4,9.3,9.3,1.0,17.6,8.7,4.1,4.5,2.1
