Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Nathan Eovaldi,,P,11200,TEX,@DET,60%,3.76,8.5,0.298,25.3%,3.82,24.5%,3.56,3.44,R,0.276,0.318,0%,-1%,0%,52.4,41.0,41.0,24.5,57.5,43.4,3.9,0.0,0.0
Bryce Miller,,P,10800,SEA,NYY,56%,3.73,5.5,,,4.60,25.5%,3.65,3.83,R,,,1%,0%,0%,40.8,40.8,40.8,31.9,49.7,31.8,2.9,0.0,0.0
Sonny Gray,,P,10200,MIN,@HOU,48%,4.09,5.5,,,4.50,26.2%,3.77,3.61,R,0.278,0.295,1%,0%,0%,31.0,36.4,36.4,22.2,50.6,29.4,2.9,0.0,0.0
Marcus Stroman,,P,10000,CHC,TB,45%,4.47,5,,,6.09,21.3%,3.89,3.56,R,0.288,0.280,1%,0%,3%,28.2,31.9,31.9,17.4,46.4,26.0,2.6,0.0,0.0
Taj Bradley,,P,9900,TB,@CHC,55%,4.03,5,,,4.65,,,,R,,,0%,0%,2%,31.4,31.4,31.4,19.7,43.1,27.3,2.8,0.0,0.0
Michael Kopech,,P,9800,CWS,LAA,56%,3.99,7,,,4.80,26.3%,4.07,4.31,R,0.291,0.293,0%,1%,0%,40.6,30.5,30.5,11.9,49.1,34.0,3.5,0.0,0.0
Tyler Wells,,P,9700,BAL,CLE,56%,3.73,5,,,3.42,22.5%,4.05,4.39,R,0.241,0.308,0%,1%,0%,30.8,30.2,30.2,18.3,42.1,29.4,3.0,0.0,0.0
Anthony DeSclafani,,P,9500,SF,PIT,56%,3.96,5,,,4.35,21.3%,4.10,3.94,R,0.332,0.272,1%,0%,0%,23.8,29.1,29.1,17.2,41.0,28.9,3.0,0.0,0.0
Logan Allen,,P,9300,CLE,@BAL,44%,4.27,4,,,5.00,16.8%,4.85,4.94,L,,0.366,0%,1%,0%,25.2,29.2,29.2,18.1,40.2,21.9,2.4,0.0,0.0
Bobby Miller,,P,9200,LAD,WAS,69%,3.54,4.5,,,4.26,,,,R,,,0%,1%,0%,33.0,33.0,33.0,33.0,33.0,27.4,3.0,0.0,0.0
Rich Hill,,P,9000,PIT,@SF,44%,4.54,4.5,,,4.49,22.0%,4.29,4.41,L,0.281,0.333,2%,0%,0%,30.8,27.6,27.6,11.2,44.0,25.8,2.9,0.0,0.0
Domingo German,,P,8800,NYY,@SEA,44%,4.27,5,,,4.57,22.9%,4.06,4.23,R,0.273,0.319,3%,0%,0%,27.2,27.9,27.9,12.3,43.4,27.5,3.1,0.0,0.0
Griffin Canning,,P,8500,LAA,@CWS,44%,4.51,5,,,4.27,21.2%,4.70,4.70,R,0.328,0.355,0%,1%,0%,23.6,23.0,23.0,9.8,36.2,27.1,3.2,0.0,0.0
J.P. France,,P,8200,HOU,MIN,52%,3.91,5,,,4.53,,,,R,,,1%,0%,0%,25.8,25.8,25.8,7.6,43.9,26.8,3.3,0.0,0.0
Trevor Williams,,P,7600,WAS,@LAD,31%,5.46,3.5,,,5.52,21.3%,4.10,4.18,R,0.346,0.311,-1%,2%,0%,21.0,20.9,20.9,12.7,29.1,18.5,2.4,0.0,0.0
Paul Blackburn,,P,7400,OAK,ATL,32%,5.40,4,,,5.19,17.9%,4.26,4.06,R,0.351,0.335,3%,1%,0%,0.0,0.0,0.0,0.0,0.0,23.5,3.2,0.0,0.0
Adam Wainwright,,P,7100,STL,KC,66%,4.11,4,,,3.94,18.9%,4.32,4.07,R,0.301,0.285,1%,0%,0%,15.3,15.3,15.3,10.4,20.1,26.4,3.7,0.0,0.0
Ryne Nelson,,P,6900,ARI,COL,64%,4.20,4,,,4.63,18.1%,4.73,4.62,R,0.365,0.263,-3%,-2%,0%,19.4,19.5,19.5,8.5,30.5,22.2,3.2,0.0,0.0
Matt Boyd,,P,6900,DET,TEX,40%,4.74,4.5,,,6.33,20.6%,4.60,4.86,L,0.245,0.320,0%,-2%,0%,18.4,20.6,20.6,5.9,35.2,21.1,3.1,0.0,0.0
Karl Kauffmann,,P,6000,COL,@ARI,36%,5.80,3,,,4.98,,,,R,,,-7%,-5%,0%,8.5,8.5,8.5,2.1,14.9,13.4,2.2,0.0,0.0
