Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Mitch Keller,,P,11500,PIT,ARI,53%,4.10,6,,,5.16,21.6%,4.29,4.13,R,0.339,0.324,0%,1%,0%,51.2,43.3,43.3,27.4,59.2,33.0,2.9,0.0,0.0
Logan Webb,,P,10800,SF,MIA,60%,3.57,6.5,,,3.52,23.4%,3.34,3.09,R,0.313,0.256,1%,0%,0%,42.0,35.2,35.2,23.4,47.1,38.8,3.6,0.0,0.0
Chris Sale,,P,10500,BOS,@SD,46%,4.17,7,,,3.91,28.0%,3.44,3.41,L,,0.338,2%,0%,0%,38.8,31.0,31.0,9.8,52.2,38.7,3.7,0.0,0.0
Zach Eflin,,P,10200,TB,MIL,65%,3.13,5,,,4.26,22.8%,3.66,3.57,R,0.335,0.300,1%,0%,0%,34.4,35.0,35.0,21.1,48.9,31.2,3.1,0.0,0.0
Max Scherzer,,P,10000,NYM,CLE,60%,3.55,6.5,,,3.49,31.7%,3.04,3.40,R,0.290,0.244,0%,1%,0%,20.2,23.0,23.0,6.4,39.6,37.1,3.7,0.0,0.0
Logan Gilbert,,P,9900,SEA,@ATL,,,5.5,,,5.30,24.5%,3.76,3.82,R,0.264,0.323,-3%,1%,0%,30.6,32.8,32.8,21.0,44.5,30.6,3.1,0.0,0.0
Lucas Giolito,,P,9800,CWS,KC,61%,3.96,7,,,4.04,26.4%,3.74,3.77,R,0.282,0.337,0%,1%,0%,35.2,32.4,32.4,16.8,48.1,37.5,3.8,0.0,0.0
Hunter Brown,,P,9600,HOU,OAK,71%,3.23,5.5,,,3.84,25.8%,3.56,3.35,R,0.247,0.352,0%,-1%,0%,29.0,32.5,32.5,15.1,49.9,30.8,3.2,0.0,0.0
Jon Gray,,P,9500,TEX,COL,62%,3.90,6,,,4.50,23.9%,4.04,3.93,R,0.325,0.291,0%,1%,0%,28.6,27.4,27.4,10.0,44.7,32.9,3.5,0.0,0.0
Aaron Nola,,P,9200,PHI,CHC,60%,4.02,7,,,4.79,28.1%,3.19,3.23,R,0.275,0.292,0%,1%,0%,31.4,27.8,27.8,15.8,39.7,37.3,4.1,0.0,0.0
Louie Varland,,P,9000,MIN,@LAA,47%,4.65,5.5,,,5.07,23.9%,3.78,3.72,R,,0.346,-2%,1%,0%,33.8,33.8,33.8,24.4,43.1,27.1,3.0,0.0,0.0
Kyle Freeland,,P,8700,COL,@TEX,38%,5.10,4.5,,,6.19,18.5%,4.48,4.41,L,0.352,0.336,7%,2%,0%,33.0,29.1,29.1,11.6,46.6,21.0,2.4,0.0,0.0
Patrick Sandoval,,P,8500,LAA,MIN,53%,4.35,5.5,,,4.70,23.2%,4.10,3.86,L,0.254,0.306,-1%,1%,0%,26.2,26.1,26.1,16.2,36.1,30.2,3.6,0.0,0.0
Joe Musgrove,,P,8400,SD,BOS,54%,3.83,5.5,,,5.64,25.8%,3.62,3.63,R,0.295,0.291,1%,1%,0%,19.5,19.5,19.5,4.4,34.6,28.3,3.4,0.0,0.0
Eric Lauer,,P,8300,MIL,@TB,35%,4.37,4,,,6.16,23.7%,4.22,4.26,L,0.282,0.313,5%,0%,0%,26.8,24.9,24.9,10.2,39.5,19.0,2.3,0.0,0.0
Grayson Rodriguez,,P,8200,BAL,@TOR,43%,5.10,5.5,,,4.64,25.9%,4.13,3.85,R,,,0%,1%,0%,21.4,21.8,21.8,4.7,38.8,27.6,3.4,0.0,0.0
