Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Marcus Semien,0,2B,24,TEX,OAK,5.23,Fujinami,,-1%,R,R,0.350,1%,0.240,5%,1,1,0,-1%,-6%,0%,13.0,10.2,10.2,1.3,19.1,9.7,4.0,15.4,6.4
Max Muncy,,3B,22,LAD,@CHC,4.41,Wesneski,,1%,R,L,0.351,-1%,0.238,-2%,3,3,1,-2%,-10%,20%,15.3,10.9,10.9,-0.7,22.5,8.4,3.8,32.9,15.0
James Outman,,OF,22,LAD,@CHC,4.41,Wesneski,,1%,R,L,0.443,5%,0.348,13%,6,5,-2,1%,-9%,20%,7.7,10.4,10.4,0.3,20.5,8.2,3.7,37.4,17.0
Pete Alonso,,1B,22,NYM,@SF,4.07,Webb,0.253,-15%,R,R,0.366,0%,0.243,-9%,4,4,0,-1%,1%,0%,13.5,11.9,11.9,2.2,21.6,8.2,3.7,0.0,0.0
Jack Suwinski,,OF,22,PIT,CIN,5.00,Cessa,0.320,0%,R,L,0.359,7%,0.259,11%,5,6,1,2%,-6%,0%,9.7,8.4,8.4,-0.7,17.4,8.1,3.7,7.1,3.2
Mike Trout,0,OF,22,LAA,KC,5.36,Greinke,0.334,3%,R,R,0.427,3%,0.348,13%,2,3,1,2%,0%,0%,6.3,9.5,9.5,1.8,17.3,10.9,5.0,20.6,9.4
Matt Olson,,1B,22,ATL,HOU,4.27,Valdez,0.279,-11%,L,L,0.346,-3%,0.249,-2%,2,2,0,-2%,-5%,4%,9.5,11.1,11.1,1.5,20.7,7.5,3.4,4.5,2.0
Julio Rodriguez,,OF,22,SEA,STL,4.15,Mikolas,0.307,-3%,R,R,,-1%,,-2%,1,1,0,0%,0%,0%,9.3,10.2,10.2,3.8,16.5,8.0,3.6,0.0,0.0
Patrick Wisdom,,3B,21,CHC,LAD,4.09,May,0.255,-10%,R,R,0.321,-4%,0.242,-8%,6,,0,-1%,-12%,23%,13.8,12.1,12.1,1.3,22.9,7.0,3.3,0.0,0.0
Brandon Nimmo,,OF,21,NYM,@SF,4.07,Webb,0.319,-1%,R,L,0.365,0%,0.157,0%,1,1,0,1%,0%,0%,11.9,10.3,10.3,2.6,18.0,8.6,4.1,14.2,6.8
Joey Gallo,,1B,21,MIN,WAS,4.79,Kuhl,0.355,7%,R,L,0.340,1%,0.262,2%,2,,4,1%,-13%,0%,11.7,11.7,11.7,-2.8,26.1,8.3,4.0,1.9,0.9
Trea Turner,,SS,20,PHI,COL,5.94,Freeland,0.340,4%,L,R,0.407,10%,0.245,32%,1,2,1,2%,0%,7%,9.2,8.4,8.4,0.6,16.2,11.3,5.7,0.0,0.0
Bryan Reynolds,,OF,20,PIT,CIN,5.00,Cessa,0.320,0%,R,S,0.371,3%,0.230,12%,2,2,0,2%,-5%,0%,4.7,9.7,9.7,-0.9,20.4,9.4,4.7,12.3,6.2
Connor Joe,,OF,20,PIT,CIN,5.00,Cessa,0.325,0%,R,R,0.333,-2%,0.144,-5%,3,5,2,-1%,-4%,0%,11.3,11.3,11.3,3.2,19.4,8.1,4.0,2.6,1.3
Shohei Ohtani,0,OF,20,LAA,KC,5.36,Greinke,0.277,-10%,R,L,0.386,3%,0.282,5%,3,2,0,5%,0%,0%,12.7,13.0,13.0,1.2,24.8,10.4,5.2,0.0,0.0
Kyle Tucker,,OF,20,HOU,@ATL,4.23,Wright,0.330,2%,R,L,0.378,4%,0.231,-3%,5,5,0,-2%,-5%,3%,8.7,9.4,9.4,1.7,17.1,9.0,4.5,16.1,8.1
Yordan Alvarez,,OF,20,HOU,@ATL,4.23,Wright,0.330,2%,R,L,0.394,-1%,0.286,0%,3,3,0,-3%,-5%,4%,9.5,10.9,10.9,3.9,17.9,9.7,4.8,16.1,8.1
Ronald Acuna Jr.,,OF,20,ATL,HOU,4.27,Valdez,0.278,-10%,L,R,0.371,0%,0.223,4%,1,1,0,1%,-4%,3%,12.4,12.2,12.2,5.4,19.0,9.3,4.7,17.8,8.9
Aaron Judge,,OF,20,NYY,TOR,3.94,Manoah,0.230,-20%,R,R,0.430,1%,0.319,1%,2,,0,1%,-4%,-10%,7.5,9.7,9.7,1.8,17.7,8.9,4.5,0.0,0.0
Josh Jung,,3B,20,TEX,OAK,5.23,Fujinami,,-1%,R,R,0.274,-4%,0.154,-5%,5,5,0,-1%,-6%,0%,8.0,7.9,7.9,1.7,14.2,7.8,3.9,10.9,5.5
Adley Rutschman,,C,20,BAL,DET,4.53,Wentz,,-6%,L,L,0.284,-11%,0.098,-25%,2,2,0,2%,-5%,0%,9.2,9.5,9.5,0.6,18.4,8.0,4.0,11.6,5.8
Rafael Devers,,3B,19,BOS,@MIL,4.00,Miley,0.231,-14%,L,L,0.318,-12%,0.154,-33%,4,4,-1,-2%,0%,0%,8.8,10.0,10.0,0.7,19.4,7.2,3.8,21.3,11.2
Freddie Freeman,,1B,19,LAD,@CHC,4.41,Wesneski,,1%,R,L,0.398,6%,0.198,4%,2,2,0,0%,-8%,19%,6.7,8.3,8.3,0.0,16.7,9.7,5.1,9.7,5.1
Will Smith,,C,19,LAD,@CHC,4.41,Wesneski,,-1%,R,R,0.365,3%,0.232,6%,x,x,-,0%,0%,0%,10.3,11.2,11.2,3.8,18.6,0.0,0.0,0.0,0.0
Andrew McCutchen,,OF,19,PIT,CIN,5.00,Cessa,0.325,0%,R,R,0.302,-9%,0.144,-24%,x,x,-,0%,0%,0%,9.1,9.9,9.9,1.7,18.1,0.0,0.0,0.0,0.0
Hunter Renfroe,0,OF,19,LAA,KC,5.36,Greinke,0.334,3%,R,R,0.331,-5%,0.235,-7%,5,5,0,2%,0%,0%,7.3,8.7,8.7,0.6,16.7,8.4,4.4,35.5,18.7
Cal Raleigh,,C,19,SEA,STL,4.15,Mikolas,0.290,-7%,R,L,0.306,0%,0.246,6%,4,4,0,-8%,0%,0%,8.7,8.1,8.1,1.8,14.4,7.0,3.7,4.5,2.4
Matt Chapman,,3B,19,TOR,@NYY,3.06,Cole,0.274,-10%,R,R,0.324,-3%,0.195,-9%,4,,1,1%,-4%,-9%,11.8,11.6,11.6,2.5,20.6,7.0,3.7,0.0,0.0
Anthony Rizzo,,1B,19,NYY,TOR,3.94,Manoah,0.311,-2%,R,L,0.337,-3%,0.219,3%,3,,0,1%,-3%,-9%,10.3,8.8,8.8,0.6,17.1,7.7,4.1,5.2,2.7
Jorge Mateo,,SS,19,BAL,DET,4.53,Wentz,0.295,-1%,L,R,0.285,0%,0.157,3%,x,x,-,0%,0%,0%,10.1,11.6,11.6,4.3,19.0,0.0,0.0,0.0,0.0
Cedric Mullins,,OF,19,BAL,DET,4.53,Wentz,0.295,-1%,L,S,0.299,-12%,0.141,-22%,9,x,-7,1%,-5%,0%,10.5,10.3,10.3,1.7,18.9,6.8,3.6,0.0,0.0
Jake Burger,,3B,18,CWS,@TB,2.96,McClanahan,0.267,-12%,L,R,0.427,6%,0.344,14%,5,4,0,-10%,0%,0%,10.6,10.1,10.1,1.2,19.0,6.0,3.3,2.6,1.4
Josh Lowe,,OF,18,TB,CWS,4.04,Cease,0.305,-4%,R,L,0.373,7%,0.219,11%,7,5,0,-2%,0%,0%,14.1,13.2,13.2,6.4,20.1,6.8,3.8,0.0,0.0
Cody Bellinger,,OF,18,CHC,LAD,4.09,May,0.296,-6%,R,L,0.292,-2%,0.192,0%,5,,1,-1%,-9%,19%,14.3,10.7,10.7,3.4,18.1,7.0,3.9,6.8,3.8
Nico Hoerner,,2B,18,CHC,LAD,4.09,May,0.255,-10%,R,R,0.329,1%,0.115,4%,1,,0,-1%,-7%,15%,12.6,10.5,10.5,2.9,18.1,7.6,4.2,20.6,11.4
Xander Bogaerts,0,SS,18,SD,@ARI,5.13,Kelly,0.310,-3%,R,R,0.366,-2%,0.183,-3%,4,4,-1,3%,3%,0%,6.3,9.3,9.3,2.6,15.9,8.2,4.6,7.1,3.9
Juan Soto,0,OF,18,SD,@ARI,5.13,Kelly,0.290,-7%,R,L,0.424,8%,0.247,12%,3,2,0,4%,3%,0%,7.4,7.8,7.8,0.6,15.0,10.4,5.8,9.0,5.0
Francisco Lindor,,SS,18,NYM,@SF,4.07,Webb,0.319,-1%,R,S,0.332,0%,0.181,0%,3,3,0,-2%,1%,0%,11.9,10.0,10.0,0.8,19.3,8.2,4.6,0.0,0.0
Jorge Polanco,,2B,18,MIN,WAS,4.79,Kuhl,0.355,7%,R,S,0.358,6%,0.231,18%,5,,0,1%,-11%,0%,2.6,2.6,2.6,2.6,2.6,8.0,4.4,7.1,3.9
Ty France,,1B,18,SEA,STL,4.15,Mikolas,0.307,-3%,R,R,0.347,1%,0.156,-3%,2,2,0,-2%,0%,0%,8.3,9.2,9.2,3.4,15.0,7.3,4.1,2.6,1.4
Jarred Kelenic,,OF,18,SEA,STL,4.15,Mikolas,0.290,-7%,R,L,0.300,7%,0.226,20%,6,6,0,-7%,0%,0%,11.1,8.9,8.9,1.7,16.2,6.6,3.7,19.4,10.8
Nathaniel Lowe,0,1B,18,TEX,OAK,5.23,Fujinami,,1%,R,L,0.345,-1%,0.176,2%,3,3,0,2%,-6%,0%,8.1,7.8,7.8,2.1,13.5,9.2,5.1,15.4,8.6
