Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Ronald Acuna Jr.,1,OF,6500,ATL,HOU,4.34,Brown,,-1%,R,R,0.374,0%,0.212,-2%,1,1,0,2%,-2%,0%,13.1,12.6,12.6,5.4,19.9,9.4,1.4,12.0,1.8
Yordan Alvarez,2,OF,6400,HOU,@ATL,4.16,Elder,0.280,-5%,R,L,0.395,-1%,0.286,1%,3,3,0,-3%,-2%,0%,9.4,10.2,10.2,3.2,17.2,9.2,1.4,18.0,2.8
Aaron Judge,3,OF,6300,NYY,TOR,4.49,Kikuchi,0.368,10%,L,R,0.415,-2%,0.313,-1%,2,2,0,1%,-6%,-10%,7.4,10.0,10.0,2.0,18.0,10.4,1.7,3.0,0.5
Mike Trout,3,OF,6200,LAA,KC,5.11,Clarke,0.333,1%,R,R,0.427,3%,0.348,13%,x,x,-,0%,0%,0%,6.3,9.3,9.3,1.7,16.9,0.0,0.0,0.0,0.0
Trea Turner,1,SS,6100,PHI,COL,5.32,Davis,,-1%,R,R,0.348,-6%,0.155,-17%,2,2,0,2%,-1%,0%,9.1,9.1,9.1,0.7,17.5,9.8,1.6,3.0,0.5
Rafael Devers,1,3B,6000,BOS,@MIL,3.97,Peralta,0.248,-16%,R,L,0.396,10%,0.296,28%,2,2,1,-3%,-10%,0%,8.7,10.5,10.5,1.3,19.8,8.1,1.3,0.0,0.0
Kyle Schwarber,3,OF,6000,PHI,COL,5.32,Davis,,1%,R,L,0.388,8%,0.331,23%,3,3,0,1%,-2%,0%,7.9,7.3,7.3,0.2,14.5,9.6,1.6,17.0,2.8
Randy Arozarena,1,OF,6000,TB,CWS,5.14,Kopech,0.292,-6%,R,R,0.327,-7%,0.160,-17%,3,3,0,-4%,0%,0%,9.8,11.1,11.1,4.1,18.0,8.9,1.5,7.0,1.2
Julio Rodriguez,1,OF,5900,SEA,STL,4.18,Matz,0.327,1%,L,R,,2%,,7%,1,1,0,0%,0%,0%,9.2,10.4,10.4,3.7,17.1,8.7,1.5,12.0,2.0
Paul Goldschmidt,1,1B,5900,STL,@SEA,3.82,Kirby,0.360,2%,R,R,0.373,-6%,0.211,-13%,3,3,0,1%,0%,0%,9.7,9.5,9.5,3.2,15.8,8.2,1.4,0.0,0.0
Jose Ramirez,,3B,5900,CLE,MIA,3.90,Garrett,0.358,8%,L,S,0.355,-4%,0.233,-9%,3,3,0,0%,-7%,-4%,9.3,9.4,9.4,2.5,16.3,8.6,1.5,0.0,0.0
Wander Franco,1,SS,5900,TB,CWS,5.14,Kopech,0.303,-4%,R,L,0.318,-7%,0.151,-11%,4,4,-1,-2%,0%,0%,8.0,10.4,10.4,2.0,18.7,8.1,1.4,2.0,0.3
Matt Olson,1,1B,5800,ATL,HOU,4.34,Brown,,1%,R,L,0.367,3%,0.258,2%,2,2,0,-2%,-2%,0%,9.8,11.4,11.4,1.8,21.0,7.9,1.4,2.0,0.3
Kyle Tucker,1,OF,5800,HOU,@ATL,4.16,Elder,0.280,-5%,R,L,0.380,4%,0.232,-3%,5,5,0,-2%,-2%,0%,9.5,9.9,9.9,2.2,17.6,9.1,1.6,0.0,0.0
Bo Bichette,1,SS,5800,TOR,@NYY,4.01,German,0.320,-1%,R,R,0.348,-3%,0.178,-5%,2,2,0,0%,-5%,-8%,7.0,9.3,9.3,1.0,17.6,8.1,1.4,7.0,1.2
Marcus Semien,2,2B,5700,TEX,OAK,5.11,Sears,0.321,1%,L,R,0.346,-1%,0.208,-9%,1,1,0,-1%,-3%,0%,14.5,10.9,10.9,1.9,19.9,9.5,1.7,2.0,0.4
Vladimir Guerrero Jr.,2,1B,5700,TOR,@NYY,4.01,German,0.320,-1%,R,R,0.389,3%,0.253,8%,3,3,0,1%,-5%,-10%,6.2,8.9,8.9,2.5,15.3,8.6,1.5,23.0,4.0
Kris Bryant,,OF,5700,COL,@PHI,3.18,Nola,0.295,-6%,R,R,0.345,-7%,0.174,-19%,2,2,0,-7%,-1%,0%,8.3,7.6,7.6,1.2,14.0,7.0,1.2,5.0,0.9
Bryan Reynolds,1,OF,5700,PIT,CIN,4.56,Ashcraft,0.237,-10%,R,S,0.371,3%,0.231,12%,2,2,0,2%,2%,0%,4.7,10.4,10.4,-0.5,21.3,8.6,1.5,2.0,0.4
Pete Alonso,1,1B,5600,NYM,@SF,4.20,DeSclafani,0.268,-11%,R,R,0.365,0%,0.241,-10%,4,4,0,0%,-1%,0%,11.3,11.3,11.3,1.7,20.8,8.3,1.5,23.0,4.1
Cedric Mullins,3,OF,5600,BAL,DET,5.17,Lorenzen,0.315,-2%,R,S,0.360,6%,0.203,13%,1,1,1,1%,1%,0%,9.7,10.6,10.6,1.5,19.6,9.7,1.7,10.0,1.8
Austin Riley,1,3B,5600,ATL,HOU,4.34,Brown,,-1%,R,R,0.370,-2%,0.233,-5%,3,3,0,2%,-2%,0%,8.0,8.5,8.5,3.2,13.9,8.0,1.4,12.0,2.1
Tim Anderson,,SS,5600,CWS,@TB,3.86,Faucher,,-1%,R,R,0.323,-8%,0.124,-20%,x,x,-,0%,0%,0%,9.5,9.7,9.7,-0.8,20.3,0.0,0.0,0.0,0.0
Adley Rutschman,4,C,5500,BAL,DET,5.17,Lorenzen,0.315,-2%,R,L,0.390,6%,0.225,14%,2,2,0,2%,1%,0%,11.2,9.8,9.8,0.8,18.8,8.9,1.6,0.0,0.0
C.J. Cron,1,1B,5500,COL,@PHI,3.18,Nola,0.295,-6%,R,R,0.363,1%,0.229,-4%,4,4,0,-6%,-2%,0%,6.6,8.0,8.0,-3.2,19.2,6.6,1.2,0.0,0.0
Nolan Arenado,1,3B,5500,STL,@SEA,3.82,Kirby,0.360,2%,R,R,0.349,-3%,0.210,-11%,4,4,0,1%,0%,0%,7.6,8.3,8.3,1.6,14.9,7.5,1.4,5.0,0.9
Starling Marte,1,OF,5500,NYM,@SF,4.20,DeSclafani,0.268,-11%,R,R,0.359,3%,0.154,-4%,x,x,-,0%,0%,0%,7.6,7.6,7.6,-0.7,15.8,0.0,0.0,0.0,0.0
Hunter Renfroe,1,OF,5400,LAA,KC,5.11,Clarke,0.333,1%,R,R,0.331,-5%,0.236,-7%,4,5,1,2%,3%,0%,9.0,8.9,8.9,0.7,17.1,8.6,1.6,3.0,0.6
Jazz Chisholm Jr.,,OF,5400,MIA,@CLE,3.60,Plesac,0.326,1%,R,L,0.350,6%,0.230,10%,1,1,1,3%,-7%,-4%,11.4,8.5,8.5,0.4,16.7,8.8,1.6,0.0,0.0
J.T. Realmuto,1,C,5400,PHI,COL,5.32,Davis,,-1%,R,R,0.351,1%,0.198,0%,6,6,0,2%,-1%,0%,6.4,7.3,7.3,-0.8,15.3,8.5,1.6,14.0,2.6
Oneil Cruz,,SS,5400,PIT,CIN,4.56,Ashcraft,0.237,-10%,R,L,0.357,6%,0.244,12%,x,x,-,0%,0%,0%,9.3,9.3,9.3,3.4,15.3,0.0,0.0,0.0,0.0
Francisco Lindor,,SS,5300,NYM,@SF,4.20,DeSclafani,0.331,2%,R,S,0.333,0%,0.182,1%,2,3,1,-2%,-1%,0%,12.6,10.1,10.1,0.6,19.5,8.8,1.7,5.0,0.9
Adolis Garcia,1,OF,5300,TEX,OAK,5.11,Sears,0.321,1%,L,R,0.298,-5%,0.200,-2%,4,4,0,-1%,-3%,0%,9.0,8.8,8.8,1.0,16.5,8.7,1.6,7.0,1.3
George Springer,2,OF,5300,TOR,@NYY,4.01,German,0.320,-1%,R,R,0.355,-1%,0.229,0%,1,1,0,1%,-5%,-9%,6.5,7.6,7.6,0.2,14.9,8.2,1.5,7.0,1.3
Brandon Lowe,1,2B,5300,TB,CWS,5.14,Kopech,0.303,-4%,R,L,0.372,5%,0.260,4%,2,2,0,-3%,0%,0%,14.4,10.9,10.9,1.0,20.8,9.1,1.7,20.0,3.8
Willy Adames,2,SS,5200,MIL,BOS,5.03,Pivetta,0.315,-1%,R,R,0.348,6%,0.232,9%,3,3,-1,1%,-9%,0%,8.7,9.3,9.3,1.0,17.6,8.5,1.6,5.0,1.0
Giancarlo Stanton,,OF,5200,NYY,TOR,4.49,Kikuchi,0.368,10%,L,R,0.345,-1%,0.220,-6%,x,x,-,0%,0%,0%,8.1,8.9,8.9,2.8,15.1,0.0,0.0,0.0,0.0
Juan Soto,3,OF,5200,SD,@ARI,4.50,Gallen,0.256,-14%,R,L,0.425,8%,0.249,12%,2,2,1,5%,2%,0%,7.1,7.7,7.7,0.6,14.8,9.3,1.8,0.0,0.0
Jose Altuve,,2B,5200,HOU,@ATL,4.16,Elder,0.298,-5%,R,R,0.370,-2%,0.215,-6%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Chapman,,3B,5100,TOR,@NYY,4.01,German,0.320,-1%,R,R,0.324,-3%,0.195,-9%,4,4,1,1%,-5%,-10%,13.5,11.9,11.9,2.6,21.3,7.1,1.4,4.0,0.8
Thairo Estrada,2,2B/SS,5100,SF,NYM,4.30,Lucchesi,0.310,0%,L,R,0.328,1%,0.173,10%,1,1,1,-1%,-1%,0%,10.0,10.3,10.3,1.9,18.7,8.6,1.7,3.0,0.6
Bryce Harper,,OF,5100,PHI,COL,5.32,Davis,,1%,R,L,0.432,7%,0.324,18%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fernando Tatis Jr.,6,OF/SS,5100,SD,@ARI,4.50,Gallen,0.299,-5%,R,R,0.399,-2%,0.330,4%,1,1,0,0%,2%,0%,0.0,0.0,0.0,0.0,0.0,10.8,2.1,3.0,0.6
Jonathan India,,2B,5100,CIN,@PIT,3.94,Keller,0.336,3%,R,R,0.347,0%,0.177,8%,1,1,0,-6%,1%,0%,9.5,9.6,9.6,3.6,15.6,8.0,1.6,3.0,0.6
Xander Bogaerts,1,SS,5000,SD,@ARI,4.50,Gallen,0.299,-5%,R,R,0.366,-2%,0.182,-3%,4,4,-1,3%,2%,0%,8.1,9.6,9.6,3.0,16.3,7.7,1.5,5.0,1.0
