Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Spencer Strider,,P,60,ATL,@NYM,61%,3.29,8.5,,,4.52,38.5%,2.48,2.44,R,0.244,0.217,2%,1%,0%,32.9,32.9,32.9,20.1,45.8,0.0,0.0,0.0,0.0
Sonny Gray,0,P,53,MIN,KC,66%,3.09,6.5,0.308,24.7%,3.29,26.0%,3.79,3.66,R,0.273,0.301,0%,2%,0%,27.0,27.0,27.0,15.9,38.2,22.3,4.2,28.6,5.4
Drew Rasmussen,0,P,46,TB,@CWS,63%,3.86,5.5,0.315,23.1%,3.79,22.9%,3.77,3.55,R,0.260,0.282,-1%,4%,0%,21.2,21.2,21.2,3.2,39.3,18.5,4.0,6.0,1.3
Nestor Cortes,,P,46,NYY,@TEX,53%,4.10,7,0.321,26.2%,6.04,26.6%,3.65,3.95,L,0.238,0.275,-1%,0%,0%,20.3,20.3,20.3,16.2,24.3,19.3,4.2,5.9,1.3
Johan Oviedo,,P,40,PIT,@WAS,57%,3.86,5,0.299,20.8%,3.73,20.3%,4.62,4.57,R,0.309,0.305,3%,3%,0%,20.5,20.5,20.5,7.8,33.2,17.0,4.3,-14.9,-3.7
Yu Darvish,,P,40,SD,SF,57%,8.88,6.5,0.336,25.2%,4.69,27.2%,3.49,3.70,R,0.272,0.282,2%,1%,0%,20.8,20.8,20.8,8.3,33.2,9.9,2.5,19.9,5.0
Chris Bassitt,,P,39,TOR,SEA,66%,3.70,5.5,0.311,25.7%,4.07,23.1%,3.91,3.92,R,0.308,0.269,0%,0%,0%,15.1,15.1,15.1,-3.2,33.4,17.9,4.6,14.7,3.8
Nick Lodolo,,P,38,CIN,@OAK,56%,3.71,6.5,0.322,,3.86,29.7%,3.32,3.49,L,,0.367,4%,1%,0%,15.4,15.4,15.4,-3.8,34.6,21.4,5.6,17.6,4.6
Martin Perez,,P,36,TEX,NYY,47%,4.40,4,0.322,18.8%,4.07,20.0%,4.26,4.06,L,0.287,0.326,-1%,0%,0%,18.2,18.2,18.2,13.8,22.6,14.1,3.9,17.7,4.9
Tylor Megill,,P,35,NYM,ATL,39%,4.21,5,,,5.11,24.5%,3.96,3.98,R,0.396,0.259,1%,3%,0%,13.8,13.8,13.8,4.1,23.4,0.0,0.0,0.0,0.0
Brady Singer,,P,34,KC,@MIN,34%,4.41,5.5,0.328,24.4%,4.50,23.1%,3.85,3.67,R,0.328,0.310,2%,4%,0%,12.7,12.7,12.7,3.8,21.7,16.4,4.8,-6.1,-1.8
Chris Sale,,P,34,BOS,CLE,53%,4.37,5,0.322,20.3%,3.96,27.4%,3.61,3.51,L,,0.367,-2%,2%,1%,10.5,10.5,10.5,-4.9,25.8,14.7,4.3,27.4,8.1
Alex Cobb,,P,32,SF,@SD,42%,10.62,5,0.345,21.2%,4.11,24.1%,3.39,3.07,R,0.299,0.293,2%,1%,0%,19.3,19.3,19.3,8.4,30.2,8.9,2.8,15.8,4.9
Marco Gonzales,,P,32,SEA,@TOR,34%,5.30,3,0.336,18.0%,4.59,15.7%,4.93,4.97,L,0.306,0.337,-4%,0%,0%,16.7,16.7,16.7,5.8,27.6,9.3,2.9,-5.1,-1.6
Logan Allen,,P,31,CLE,@BOS,47%,4.63,4,0.314,,5.57,16.8%,4.85,4.94,L,,0.366,-8%,8%,2%,30.6,30.6,30.6,30.6,30.6,13.8,4.5,21.6,7.0
Josiah Gray,,P,31,WAS,PIT,42%,4.64,5.5,0.306,21.9%,5.50,23.8%,4.39,4.72,R,0.378,0.323,3%,4%,0%,16.8,16.8,16.8,5.0,28.5,15.0,4.8,26.6,8.6
