Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Aaron Judge,6,OF,6500,NYY,@BAL,4.42,Irvin,0.317,-1%,L,R,0.419,-1%,0.318,1%,2,2,0,5%,-12%,0%,10.6,10.6,10.6,4.9,16.2,10.8,1.7,9.0,1.4
Bryce Harper,,OF,6400,PHI,CIN,4.28,Lodolo,,-1%,L,L,0.371,-8%,0.220,-20%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seiya Suzuki,,OF,6300,CHC,TEX,3.64,Perez,0.327,1%,L,R,0.360,4%,0.212,11%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronald Acuna Jr.,2,OF,6300,ATL,SD,4.92,Wacha,0.339,4%,R,R,0.368,0%,0.217,-1%,1,1,0,2%,-12%,0%,13.6,13.6,13.6,6.3,20.9,10.3,1.6,0.0,0.0
Shohei Ohtani,4,1B/OF,6200,LAA,TOR,5.01,Berrios,0.349,6%,R,L,0.389,4%,0.289,6%,3,3,0,5%,-4%,0%,11.9,11.9,11.9,3.9,19.9,10.5,1.7,9.0,1.5
Mike Trout,3,OF,6100,LAA,TOR,5.01,Berrios,0.281,-9%,R,R,0.428,2%,0.356,12%,2,2,0,2%,-4%,0%,11.7,11.7,11.7,3.8,19.6,9.9,1.6,22.0,3.6
Rafael Devers,1,3B,6000,BOS,@DET,4.31,Wentz,,-4%,L,L,0.317,-12%,0.144,-37%,2,2,0,-14%,-7%,0%,10.6,10.6,10.6,2.1,19.1,7.9,1.3,34.0,5.7
C.J. Cron,1,1B,6000,COL,WAS,5.99,Williams,0.315,-1%,R,R,0.366,1%,0.232,-3%,x,x,-,0%,0%,0%,9.1,9.1,9.1,-6.0,24.2,0.0,0.0,0.0,0.0
Mookie Betts,4,2B/OF,6000,LAD,@ARI,5.20,Davies,0.349,6%,R,R,0.361,0%,0.237,4%,1,1,0,-2%,1%,0%,7.8,7.8,7.8,2.1,13.4,10.5,1.8,11.0,1.8
Randy Arozarena,3,OF,5900,TB,OAK,4.64,Fujinami,,-1%,R,R,0.328,-6%,0.164,-15%,3,3,1,-4%,0%,0%,11.1,11.1,11.1,5.3,17.0,8.9,1.5,23.0,3.9
Freddie Freeman,3,1B,5900,LAD,@ARI,5.20,Davies,0.311,-2%,R,L,0.402,6%,0.203,6%,2,2,0,5%,1%,0%,9.0,9.0,9.0,2.1,15.9,10.3,1.7,22.0,3.7
Manny Machado,,3B,5900,SD,@ATL,4.08,Morton,0.288,-7%,R,R,0.369,-1%,0.220,-6%,2,3,1,8%,-13%,0%,7.1,7.1,7.1,1.0,13.3,8.4,1.4,0.0,0.0
Jose Ramirez,0,3B,5900,CLE,SEA,4.49,Gonzales,0.339,4%,L,S,0.359,-3%,0.237,-7%,3,3,0,0%,-8%,-3%,9.9,9.9,9.9,2.0,17.8,9.4,1.6,7.0,1.2
Dansby Swanson,2,SS,5800,CHC,TEX,3.64,Perez,0.327,1%,L,R,0.334,1%,0.177,0%,2,2,0,-1%,-3%,0%,10.8,10.8,10.8,8.0,13.7,7.8,1.3,14.0,2.4
Will Smith,5,C,5800,LAD,@ARI,5.20,Davies,0.349,6%,R,R,0.366,3%,0.236,6%,3,3,0,-3%,1%,0%,15.7,15.7,15.7,9.0,22.3,9.1,1.6,9.0,1.6
Juan Soto,2,OF,5800,SD,@ATL,4.08,Morton,0.301,-5%,R,L,0.425,8%,0.244,11%,3,2,-1,0%,-12%,0%,7.0,7.0,7.0,-0.2,14.2,9.3,1.6,19.0,3.3
Julio Rodriguez,0,OF,5800,SEA,@CLE,4.01,Quantrill,0.315,-1%,R,R,,-1%,,-2%,1,1,0,0%,0%,0%,12.1,12.1,12.1,4.7,19.6,8.7,1.5,8.0,1.4
Trea Turner,2,SS,5700,PHI,CIN,4.28,Lodolo,0.344,5%,L,R,0.411,11%,0.250,32%,1,1,0,2%,-8%,0%,9.6,9.6,9.6,5.5,13.7,9.8,1.7,2.0,0.4
Vladimir Guerrero Jr.,0,1B,5700,TOR,@LAA,4.49,Anderson,0.297,-5%,L,R,0.343,-9%,0.198,-17%,3,3,0,3%,-4%,0%,12.0,12.0,12.0,5.1,18.9,9.0,1.6,11.0,1.9
Austin Riley,1,3B,5700,ATL,SD,4.92,Wacha,0.339,4%,R,R,0.373,-1%,0.236,-5%,3,3,0,2%,-15%,0%,10.3,10.3,10.3,5.1,15.4,8.8,1.5,0.0,0.0
Pete Alonso,3,1B,5600,NYM,MIA,4.53,Rogers,0.317,-1%,L,R,0.363,0%,0.298,13%,4,4,0,-5%,-9%,0%,11.1,11.1,11.1,-0.4,22.7,8.5,1.5,18.0,3.2
Cedric Mullins,2,OF,5600,BAL,NYY,4.08,Brito,,1%,R,S,0.359,6%,0.206,12%,1,1,1,1%,-8%,0%,12.6,12.6,12.6,1.8,23.4,8.5,1.5,5.0,0.9
Paul Goldschmidt,3,1B,5600,STL,@MIL,4.97,Lauer,0.302,-4%,L,R,0.463,14%,0.325,30%,3,3,0,5%,-6%,0%,9.6,9.6,9.6,2.8,16.3,10.2,1.8,7.0,1.3
Jonathan India,1,2B,5500,CIN,@PHI,3.72,Falter,0.343,4%,L,R,0.350,2%,0.130,-10%,1,,0,-1%,-7%,0%,10.5,10.5,10.5,3.5,17.5,7.7,1.4,2.0,0.4
Bo Bichette,6,SS,5500,TOR,@LAA,4.49,Anderson,0.297,-5%,L,R,0.383,7%,0.216,13%,2,2,0,2%,-4%,0%,10.4,10.4,10.4,1.8,19.0,9.0,1.6,24.0,4.4
Tim Anderson,0,SS,5500,CWS,@PIT,4.35,Velasquez,0.339,4%,R,R,0.325,-8%,0.125,-20%,1,1,0,-3%,-5%,0%,11.0,11.0,11.0,0.2,21.8,8.6,1.6,19.0,3.5
Wander Franco,3,SS,5400,TB,OAK,4.64,Fujinami,,1%,R,L,0.323,-6%,0.149,-11%,4,4,-1,-2%,0%,0%,14.6,14.6,14.6,7.2,21.9,8.2,1.5,5.0,0.9
Matt Olson,1,1B,5400,ATL,SD,4.92,Wacha,0.298,-5%,R,L,0.364,2%,0.253,0%,2,2,0,-2%,-14%,0%,13.1,13.1,13.1,1.1,25.2,8.7,1.6,13.0,2.4
Xander Bogaerts,,SS,5400,SD,@ATL,4.08,Morton,0.288,-7%,R,R,0.360,-3%,0.181,-5%,4,4,-1,8%,-12%,0%,11.9,11.9,11.9,5.0,18.8,7.5,1.4,7.0,1.3
Oneil Cruz,,SS,5400,PIT,CWS,4.15,Clevinger,0.312,-2%,R,L,0.359,6%,0.250,12%,1,1,1,2%,-7%,0%,9.0,9.0,9.0,2.4,15.6,9.2,1.7,14.0,2.6
Starling Marte,2,OF,5300,NYM,MIA,4.53,Rogers,0.317,-1%,L,R,0.338,-4%,0.175,7%,2,2,0,-5%,-6%,0%,9.0,9.0,9.0,1.2,16.8,8.8,1.7,5.0,0.9
Jazz Chisholm Jr.,1,OF,5300,MIA,@NYM,3.47,Senga,,1%,R,L,0.346,5%,0.228,8%,1,4,3,-6%,-8%,0%,4.4,4.4,4.4,-0.4,9.3,8.7,1.6,14.0,2.6
Taylor Ward,0,OF,5300,LAA,TOR,5.01,Berrios,0.281,-9%,R,R,0.361,3%,0.216,17%,1,1,0,1%,-4%,0%,11.9,11.9,11.9,3.5,20.2,8.6,1.6,5.0,0.9
Giancarlo Stanton,3,OF,5300,NYY,@BAL,4.42,Irvin,0.317,-1%,L,R,0.346,0%,0.223,-5%,4,4,0,5%,-13%,0%,9.3,9.3,9.3,3.1,15.6,8.1,1.5,17.0,3.2
Willy Adames,,SS,5300,MIL,STL,4.03,Montgomery,0.307,-3%,L,R,0.301,-8%,0.189,-11%,2,2,1,1%,-6%,0%,8.0,8.0,8.0,2.4,13.6,7.7,1.5,5.0,0.9
Kris Bryant,2,OF,5300,COL,WAS,5.99,Williams,0.315,-1%,R,R,0.349,-6%,0.179,-16%,3,2,-1,11%,-5%,0%,7.4,7.4,7.4,3.5,11.2,9.6,1.8,3.0,0.6
Bryan Reynolds,0,OF,5300,PIT,CWS,4.15,Clevinger,0.312,-2%,R,S,0.378,4%,0.239,12%,2,2,0,2%,-7%,0%,19.4,19.4,19.4,6.2,32.7,8.8,1.7,12.0,2.3
Adam Duvall,4,OF,5200,BOS,@DET,4.31,Wentz,,2%,L,R,0.337,2%,0.273,7%,5,5,0,-6%,-8%,0%,18.8,18.8,18.8,2.2,35.5,7.5,1.4,30.0,5.8
Ian Happ,2,OF,5200,CHC,TEX,3.64,Perez,0.327,1%,L,S,0.318,-3%,0.136,-17%,3,3,0,-1%,-3%,0%,11.5,11.5,11.5,5.4,17.6,7.2,1.4,11.0,2.1
Francisco Lindor,2,SS,5200,NYM,MIA,4.53,Rogers,0.317,-1%,L,S,0.329,-1%,0.172,-3%,3,3,0,-5%,-7%,0%,8.8,8.8,8.8,-0.3,17.8,7.9,1.5,5.0,1.0
Kyle Schwarber,,OF,5200,PHI,CIN,4.28,Lodolo,,-1%,L,L,0.312,-13%,0.171,-37%,2,2,0,1%,-10%,0%,6.4,6.4,6.4,-1.0,13.8,7.6,1.5,0.0,0.0
Adley Rutschman,1,C,5200,BAL,NYY,4.08,Brito,,1%,R,L,0.384,7%,0.217,14%,2,2,0,2%,-8%,0%,8.3,8.3,8.3,-3.6,20.1,7.7,1.5,7.0,1.3
Luis Robert Jr.,0,OF,5200,CWS,@PIT,4.35,Velasquez,0.339,4%,R,R,0.332,-8%,0.157,-17%,2,2,0,-5%,-6%,0%,12.6,12.6,12.6,0.5,24.7,8.8,1.7,12.0,2.3
Marcus Semien,1,2B,5100,TEX,@CHC,3.36,Steele,0.315,-1%,L,R,0.350,1%,0.211,-7%,1,1,0,0%,-3%,0%,6.3,6.3,6.3,-0.8,13.4,8.2,1.6,7.0,1.4
Christian Yelich,,OF,5100,MIL,STL,4.03,Montgomery,0.250,-13%,L,L,0.344,1%,0.192,22%,3,3,-1,-1%,-5%,0%,7.4,7.4,7.4,3.4,11.4,6.5,1.3,3.0,0.6
Teoscar Hernandez,,OF,5100,SEA,@CLE,4.01,Quantrill,0.315,-1%,R,R,0.332,-7%,0.184,-21%,5,6,0,1%,-9%,-4%,6.1,6.1,6.1,-4.5,16.8,7.3,1.4,2.0,0.4
Masataka Yoshida,2,OF,5000,BOS,@DET,4.31,Wentz,,-4%,L,L,,-6%,,-16%,4,4,0,-11%,-6%,0%,10.6,10.6,10.6,1.3,19.8,7.3,1.5,10.0,2.0
Jake Fraley,,OF,5000,CIN,@PHI,3.72,Falter,0.298,-3%,L,L,0.231,-13%,0.068,-29%,x,x,-,0%,0%,0%,8.4,8.4,8.4,2.3,14.5,0.0,0.0,2.0,0.4
Rhys Hoskins,,1B,5000,PHI,CIN,4.28,Lodolo,0.344,5%,L,R,0.412,12%,0.297,17%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nolan Arenado,3,3B,5000,STL,@MIL,4.97,Lauer,0.302,-4%,L,R,0.387,7%,0.291,22%,4,4,0,5%,-6%,0%,7.1,7.1,7.1,3.3,10.9,8.9,1.8,23.0,4.6
George Springer,1,OF,5000,TOR,@LAA,4.49,Anderson,0.297,-5%,L,R,0.362,1%,0.228,0%,1,1,0,3%,-4%,0%,7.4,7.4,7.4,-1.3,16.2,9.1,1.8,19.0,3.8
Ty France,0,1B,5000,SEA,@CLE,4.01,Quantrill,0.315,-1%,R,R,0.346,1%,0.159,-2%,2,3,0,2%,-8%,-3%,10.4,10.4,10.4,2.7,18.0,7.4,1.5,12.0,2.4
Eloy Jimenez,,OF,5000,CWS,@PIT,4.35,Velasquez,0.339,4%,R,R,0.356,3%,0.206,2%,x,x,-,0%,0%,0%,6.4,6.4,6.4,-0.3,13.1,0.0,0.0,0.0,0.0
