Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Nestor Cortes,,P,47,NYY,@MIN,45%,3.42,6,0.329,23.0%,4.22,26.6%,3.64,3.92,L,0.240,0.273,2%,3%,0%,21.4,21.4,21.4,17.8,25.0,19.9,4.2,15.6,3.3
Joe Ryan,,P,45,MIN,NYY,55%,3.08,6,0.316,21.7%,4.09,26.3%,3.78,4.13,R,0.274,0.286,0%,3%,0%,28.3,28.3,28.3,17.7,38.8,20.7,4.6,30.7,6.8
Drew Rasmussen,0,P,44,TB,HOU,63%,3.22,5.5,0.310,22.6%,5.04,23.0%,3.75,3.54,R,0.258,0.277,1%,0%,0%,25.5,25.5,25.5,7.9,43.2,19.1,4.3,4.1,0.9
Eric Lauer,1,P,42,MIL,DET,61%,3.73,5.5,0.326,24.8%,3.05,23.6%,4.19,4.21,L,0.282,0.306,0%,4%,0%,17.7,17.7,17.7,5.1,30.4,18.6,4.4,0.0,0.0
Blake Snell,,P,41,SD,@CHC,49%,3.55,5.5,0.333,22.0%,5.76,30.9%,3.71,3.57,L,0.262,0.314,-1%,5%,4%,10.3,10.3,10.3,1.2,19.5,19.5,4.8,12.9,3.1
Justin Steele,1,P,39,CHC,SD,51%,3.45,4.5,0.347,19.7%,3.83,24.4%,3.96,3.69,L,0.284,0.305,1%,4%,4%,26.6,26.6,26.6,20.0,33.2,17.2,4.4,25.5,6.5
Charlie Morton,0,P,39,ATL,MIA,68%,3.61,6.5,0.305,22.9%,3.13,27.6%,3.62,3.56,R,0.304,0.290,-1%,1%,0%,14.7,14.7,14.7,8.4,21.0,19.9,5.1,36.5,9.4
Brady Singer,,P,37,KC,@ARI,43%,5.12,4.5,0.318,20.1%,4.79,23.1%,3.86,3.68,R,0.328,0.312,-10%,-2%,0%,9.6,9.6,9.6,3.4,15.7,13.1,3.5,25.5,6.9
Luis Garcia,,P,36,HOU,@TB,37%,4.28,6,0.311,23.8%,6.83,25.5%,3.85,3.90,R,0.340,0.266,3%,0%,0%,16.0,16.0,16.0,-0.5,32.5,16.1,4.5,31.5,8.8
Martin Perez,,P,35,TEX,@CIN,54%,4.53,4.5,0.316,21.0%,4.13,20.0%,4.26,4.06,L,0.287,0.328,-4%,4%,0%,17.1,17.1,17.1,12.9,21.2,15.2,4.3,22.7,6.5
Jose Berrios,0,P,34,TOR,CWS,64%,3.78,5,0.317,22.7%,4.17,23.0%,3.86,3.86,R,0.347,0.279,0%,4%,0%,14.2,14.2,14.2,4.7,23.6,16.5,4.9,38.5,11.3
Ryne Nelson,1,P,34,ARI,KC,56%,4.38,4.5,0.308,22.6%,3.35,18.8%,4.88,4.91,R,,,-4%,-1%,0%,12.7,12.7,12.7,6.3,19.0,13.7,4.0,3.1,0.9
Kyle Bradish,,P,33,BAL,BOS,60%,3.99,4,0.328,19.2%,5.67,22.0%,4.09,3.93,R,0.291,0.348,-1%,5%,0%,17.9,17.9,17.9,2.8,33.0,14.9,4.5,-15.8,-4.8
Peyton Battenfield,,P,32,CLE,COL,66%,3.29,4,0.316,21.8%,3.83,,,,R,,,-1%,5%,1%,17.5,17.5,17.5,13.1,21.9,15.9,5.0,5.0,1.6
Griffin Canning,1,P,32,LAA,OAK,63%,3.87,5.5,0.316,24.3%,3.74,22.0%,4.65,4.73,R,0.329,0.355,-1%,1%,0%,13.6,13.6,13.6,13.6,13.7,16.4,5.1,21.6,6.8
Johan Oviedo,,P,31,PIT,LAD,48%,4.33,5,0.328,22.0%,5.26,20.5%,4.59,4.53,R,0.311,0.304,1%,4%,0%,23.5,23.5,23.5,10.9,36.0,15.5,5.0,8.8,2.8
Mason Miller,,P,31,OAK,@LAA,37%,5.13,7,0.336,23.2%,5.00,,,,R,,,-3%,1%,0%,13.6,13.6,13.6,13.6,13.6,14.8,4.8,10.6,3.4
Bailey Falter,,P,31,PHI,SEA,53%,4.36,5,0.328,24.6%,4.45,20.8%,3.95,4.16,L,0.294,0.336,0%,4%,0%,11.1,11.1,11.1,6.1,16.2,15.0,4.8,20.6,6.6
Noah Syndergaard,,P,29,LAD,@PIT,52%,4.17,4.5,0.297,24.1%,4.83,17.4%,4.35,4.26,R,0.340,0.301,0%,5%,0%,13.5,13.5,13.5,-0.1,27.0,15.2,5.2,-7.0,-2.4
Josiah Gray,,P,28,WAS,@NYM,35%,4.99,4,0.344,17.2%,4.87,23.4%,4.43,4.76,R,0.382,0.325,1%,5%,0%,12.1,12.1,12.1,6.0,18.2,12.3,4.4,35.5,12.7
Mike Clevinger,,P,28,CWS,@TOR,36%,5.22,4,0.340,22.3%,4.57,18.5%,4.66,4.93,R,0.315,0.320,0%,6%,0%,13.5,13.5,13.5,-0.4,27.4,11.0,3.9,0.0,0.0
Corey Kluber,,P,28,BOS,@BAL,40%,5.01,3.5,0.330,20.9%,5.14,21.4%,4.05,4.16,R,0.317,0.322,1%,6%,0%,7.0,7.0,7.0,-1.7,15.7,11.9,4.3,21.5,7.7
Ryan Feltner,,P,27,COL,@CLE,34%,4.71,3.5,0.327,17.8%,3.91,20.2%,4.59,4.69,R,0.330,0.370,3%,7%,1%,12.0,12.0,12.0,1.4,22.7,11.3,4.2,29.5,10.9
Jose Butto,,P,27,NYM,WAS,65%,3.51,4,0.298,20.7%,3.62,,,,R,,,1%,2%,0%,8.9,8.9,8.9,8.9,8.9,15.4,5.7,3.0,1.1
Luke Weaver,,P,27,CIN,TEX,46%,4.97,6,0.307,24.1%,6.59,22.9%,4.00,4.04,R,0.372,0.322,-4%,6%,0%,20.6,20.6,20.6,20.6,20.6,14.3,5.3,11.1,4.1
Jake Woodford,,P,27,STL,@SF,49%,4.78,3,0.340,23.6%,4.50,15.1%,4.69,4.73,R,0.348,0.290,1%,1%,0%,7.1,7.1,7.1,0.2,14.1,11.1,4.1,14.6,5.4
Spencer Turnbull,,P,27,DET,@MIL,39%,4.77,3.5,0.326,22.7%,4.78,19.9%,4.27,4.26,R,0.297,0.283,0%,7%,0%,5.6,5.6,5.6,-8.9,20.1,12.8,4.7,6.6,2.4
John Brebbia,,P,25,SF,STL,51%,4.72,1,0.332,20.0%,4.52,21.6%,3.81,4.38,R,0.324,0.327,1%,0%,0%,0.0,0.0,0.0,0.0,0.0,3.3,1.3,7.1,2.8
Bryan Hoeing,,P,25,MIA,@ATL,32%,5.39,1,0.328,23.9%,5.09,,,,R,,,-6%,4%,0%,0.0,0.0,0.0,0.0,0.0,8.9,3.6,-0.2,-0.1
Marco Gonzales,,P,25,SEA,@PHI,47%,4.64,4,0.329,24.0%,4.52,15.7%,4.92,4.96,L,0.309,0.336,-2%,5%,0%,16.7,16.7,16.7,3.4,30.1,12.3,4.9,16.5,6.6
