Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Mike Trout,,OF,25,LAA,OAK,5.13,Miller,,-1%,R,R,0.431,3%,0.356,14%,2,2,1,2%,-4%,0%,9.7,10.5,10.5,2.3,18.8,10.4,4.2,9.7,3.9
Ronald Acuna Jr.,,OF,25,ATL,MIA,5.39,Hoeing,,-1%,R,R,0.375,0%,0.213,-1%,1,1,0,1%,-4%,0%,12.1,12.1,12.1,5.3,18.9,10.7,4.3,13.9,5.6
James Outman,,OF,24,LAD,@PIT,4.33,Oviedo,0.311,-2%,R,L,0.481,7%,0.411,17%,4,3,-1,7%,-6%,0%,10.3,11.5,11.5,0.1,22.8,8.3,3.5,12.3,5.1
Max Muncy,,3B,23,LAD,@PIT,4.33,Oviedo,0.311,-2%,R,L,0.355,-1%,0.248,0%,x,x,-,0%,0%,0%,12.7,12.2,12.2,0.2,24.2,0.0,0.0,0.0,0.0
Pete Alonso,,1B,23,NYM,WAS,4.99,Gray,0.325,1%,R,R,0.364,0%,0.241,-9%,4,4,0,-4%,-7%,0%,10.7,10.8,10.8,1.0,20.7,9.0,3.9,0.0,0.0
Sean Murphy,,C,23,ATL,MIA,5.39,Hoeing,,-1%,R,R,0.325,-2%,0.185,-5%,4,4,0,2%,-4%,0%,13.9,11.2,11.2,0.1,22.3,8.1,3.5,4.5,2.0
Brandon Nimmo,,OF,22,NYM,WAS,4.99,Gray,0.382,12%,R,L,0.365,0%,0.160,1%,1,1,0,-5%,-4%,0%,11.6,10.1,10.1,2.5,17.7,9.2,4.2,5.2,2.4
Matt Olson,,1B,22,ATL,MIA,5.39,Hoeing,,1%,R,L,0.365,2%,0.255,1%,2,2,0,-2%,-5%,0%,9.5,10.6,10.6,1.4,19.8,9.6,4.4,5.2,2.4
Jorge Mateo,,SS,22,BAL,BOS,5.01,Kluber,0.322,0%,R,R,0.297,1%,0.157,0%,9,9,-2,1%,-6%,0%,10.1,11.0,11.0,3.8,18.1,6.9,3.1,16.1,7.3
Cedric Mullins,0,OF,22,BAL,BOS,5.01,Kluber,0.317,-1%,R,S,0.361,6%,0.203,12%,1,1,5,1%,-6%,0%,10.2,9.4,9.4,1.0,17.8,9.5,4.3,19.9,9.0
Jack Suwinski,,OF,21,PIT,LAD,4.17,Syndergaard,0.340,2%,R,L,0.364,8%,0.261,11%,5,6,1,2%,-7%,0%,12.0,9.1,9.1,0.1,18.1,7.3,3.5,7.8,3.7
Patrick Wisdom,,3B,21,CHC,SD,3.55,Snell,0.314,-2%,L,R,0.364,6%,0.306,13%,5,5,1,-1%,-11%,-12%,13.1,11.0,11.0,0.2,21.8,7.0,3.3,7.1,3.4
Marcus Semien,,2B,21,TEX,@CIN,4.97,Weaver,0.322,3%,R,R,0.350,1%,0.238,6%,1,1,0,13%,-7%,0%,14.8,10.3,10.3,1.9,18.7,9.8,4.7,16.8,8.0
Adolis Garcia,,OF,21,TEX,@CIN,4.97,Weaver,0.322,3%,R,R,0.331,3%,0.221,4%,4,4,0,15%,-8%,0%,13.6,10.9,10.9,-4.1,25.9,9.3,4.4,9.7,4.6
Julio Rodriguez,,OF,21,SEA,@PHI,4.36,Falter,0.336,3%,L,R,,2%,,7%,1,1,0,0%,0%,0%,9.1,9.5,9.5,3.0,16.0,8.4,4.0,0.0,0.0
Brandon Marsh,,OF,21,PHI,SEA,4.64,Gonzales,0.309,-3%,L,L,0.259,-11%,0.094,-25%,8,8,-3,0%,-5%,0%,10.5,10.6,10.6,2.9,18.2,5.8,2.8,2.6,1.2
Matt Chapman,,3B,21,TOR,CWS,5.22,Clevinger,0.320,-1%,R,R,0.323,-3%,0.194,-10%,5,5,0,0%,-9%,0%,6.8,10.8,10.8,2.0,19.5,8.0,3.8,7.1,3.4
Adley Rutschman,0,C,21,BAL,BOS,5.01,Kluber,0.317,-1%,R,L,0.387,7%,0.223,16%,2,2,0,2%,-6%,0%,6.8,8.9,8.9,0.3,17.5,8.9,4.2,2.6,1.2
Pavin Smith,,1B,21,ARI,KC,5.12,Singer,0.328,1%,R,L,0.335,5%,0.173,19%,6,6,0,2%,2%,0%,10.6,10.6,10.6,2.1,19.2,7.5,3.6,2.6,1.2
Corbin Carroll,,OF,21,ARI,KC,5.12,Singer,0.328,1%,R,L,0.376,4%,0.257,10%,3,3,0,2%,2%,0%,10.4,9.5,9.5,1.4,17.7,9.8,4.7,30.4,14.5
Freddie Freeman,,1B,20,LAD,@PIT,4.33,Oviedo,0.311,-2%,R,L,0.397,6%,0.197,4%,2,2,0,8%,-5%,0%,7.3,8.2,8.2,0.2,16.2,9.1,4.5,9.0,4.5
Jose Ramirez,,3B,20,CLE,COL,4.71,Feltner,0.330,4%,R,S,0.380,3%,0.268,5%,3,3,0,0%,-9%,-2%,8.1,9.0,9.0,1.3,16.6,9.8,4.9,5.2,2.6
Rowdy Tellez,,1B,20,MIL,DET,4.77,Turnbull,0.297,-5%,R,L,0.332,2%,0.252,13%,4,4,0,0%,-13%,0%,11.3,9.3,9.3,0.4,18.1,8.1,4.0,14.2,7.1
Vladimir Guerrero Jr.,,1B,20,TOR,CWS,5.22,Clevinger,0.320,-1%,R,R,0.391,4%,0.256,8%,3,3,0,0%,-10%,0%,8.7,9.6,9.6,3.1,16.1,9.6,4.8,5.2,2.6
Rafael Devers,,3B,20,BOS,@BAL,3.99,Bradish,0.291,-1%,R,L,0.395,10%,0.300,28%,2,2,1,3%,-9%,0%,9.1,10.6,10.6,1.5,19.7,8.6,4.3,4.5,2.3
Josh Lowe,0,OF,20,TB,HOU,4.28,Garcia,0.340,4%,R,L,0.361,6%,0.208,10%,4,x,2,-2%,0%,0%,13.1,11.8,11.8,4.3,19.3,7.5,3.8,2.6,1.3
Will Smith,,C,19,LAD,@PIT,4.33,Oviedo,0.304,-4%,R,R,0.365,3%,0.232,6%,x,x,-,0%,0%,0%,10.3,11.2,11.2,3.8,18.6,0.0,0.0,0.0,0.0
Xander Bogaerts,,SS,19,SD,@CHC,3.45,Steele,0.305,-4%,L,R,0.383,3%,0.197,5%,4,4,0,1%,-9%,-9%,7.2,9.2,9.2,2.8,15.6,7.0,3.7,5.2,2.7
Nico Hoerner,,2B,19,CHC,SD,3.55,Snell,0.314,-2%,L,R,0.321,0%,0.100,-3%,1,1,0,-1%,-7%,-8%,12.3,10.7,10.7,3.0,18.4,7.3,3.8,13.5,7.1
Francisco Lindor,,SS,19,NYM,WAS,4.99,Gray,0.382,12%,R,S,0.331,0%,0.181,1%,3,3,0,-5%,-5%,0%,10.5,9.5,9.5,0.4,18.6,8.8,4.6,2.6,1.4
Paul Goldschmidt,0,1B,19,STL,@SF,4.72,Brebbia,0.327,1%,R,R,0.370,-6%,0.209,-13%,2,2,1,0%,-1%,0%,6.6,8.5,8.5,2.3,14.8,9.2,4.8,9.0,4.7
