Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Justin Steele,0,P,11300,CHC,@OAK,60%,3.12,6,0.312,,3.50,24.5%,3.95,3.68,L,0.280,0.306,2%,1%,0%,43.0,43.0,43.0,35.1,50.9,31.6,2.8,40.0,3.5
Joe Ryan,1,P,11000,MIN,@BOS,56%,4.21,5.5,0.326,20.1%,5.33,26.7%,3.75,4.11,R,0.273,0.283,-4%,3%,0%,47.7,47.7,47.7,38.7,56.6,28.0,2.5,28.0,2.5
Drew Rasmussen,,P,10700,TB,@CIN,70%,3.67,5,0.319,22.2%,4.82,22.7%,3.75,3.55,R,0.257,0.278,-4%,1%,0%,38.0,38.0,38.0,13.6,62.4,29.4,2.7,42.0,3.9
Max Scherzer,,P,10200,NYM,@LAD,56%,3.99,6.5,0.328,23.0%,5.33,32.0%,2.98,3.33,R,0.290,0.240,0%,1%,0%,27.7,27.7,27.7,9.7,45.6,33.9,3.3,18.0,1.8
Mike Clevinger,,P,9900,CWS,PHI,49%,4.31,5,0.325,22.9%,4.56,18.9%,4.62,4.89,R,0.313,0.309,0%,1%,0%,31.7,31.7,31.7,15.0,48.3,26.3,2.7,3.0,0.3
MacKenzie Gore,1,P,9800,WAS,BAL,43%,4.84,6,0.318,23.9%,5.59,24.2%,4.45,4.36,L,,0.318,1%,1%,0%,33.3,33.3,33.3,24.3,42.4,27.7,2.8,34.0,3.5
Martin Perez,,P,9600,TEX,@KC,49%,4.78,4.5,0.323,22.9%,3.11,20.2%,4.25,4.05,L,0.286,0.328,-1%,1%,0%,30.7,30.7,30.7,21.6,39.7,26.5,2.8,23.0,2.4
Johan Oviedo,,P,9300,PIT,@COL,52%,5.36,5,0.311,22.2%,3.83,20.4%,4.59,4.53,R,0.318,0.306,-7%,3%,0%,37.0,37.0,37.0,16.8,57.2,24.8,2.7,43.0,4.6
Trevor Rogers,1,P,9100,MIA,SF,50%,4.00,5.5,0.325,26.1%,4.62,25.5%,3.93,3.82,L,0.295,0.315,1%,0%,0%,27.3,27.3,27.3,11.0,43.6,29.9,3.3,15.0,1.6
Charlie Morton,1,P,9000,ATL,@SD,53%,4.34,5,0.330,20.0%,3.79,27.7%,3.59,3.53,R,0.303,0.290,3%,1%,0%,26.7,26.7,26.7,16.2,37.2,28.7,3.2,34.0,3.8
