Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Mitch Keller,0,SP,10800,PIT,@SF,47%,3.88,6,,,4.60,21.9%,4.23,4.08,R,0.341,0.320,2%,1%,0%,29.1,23.9,23.9,12.7,35.0,17.7,1.6,0.0,0.0
Zach Eflin,,SP,10500,TB,@CHC,56%,3.99,5.5,,,4.54,22.4%,3.70,3.60,R,0.325,0.303,-1%,-1%,0%,21.9,20.2,20.2,11.4,29.1,16.4,1.6,0.0,0.0
Hunter Brown,1,RP,10000,HOU,MIN,62%,3.47,6,,,4.51,27.9%,3.23,3.01,R,0.245,0.324,1%,-1%,0%,17.7,19.6,19.6,7.8,31.4,17.1,1.7,0.0,0.0
Shane Bieber,0,SP,9400,CLE,@BAL,,,6.5,,,4.96,25.6%,3.48,3.23,R,0.279,0.269,0%,0%,0%,16.6,15.9,15.9,8.4,23.5,18.7,2.0,0.0,0.0
George Kirby,,SP,9400,SEA,NYY,56%,3.48,6,,,4.79,23.1%,3.52,3.53,R,0.267,0.335,2%,1%,0%,17.4,17.6,17.6,7.0,28.1,18.3,1.9,0.0,0.0
Justin Steele,,SP,9100,CHC,TB,44%,4.51,5.5,,,5.89,23.7%,3.99,3.80,L,0.274,0.309,1%,-1%,0%,14.7,18.3,18.3,9.9,26.7,14.3,1.6,0.0,0.0
Aaron Nola,1,SP,9100,PHI,@NYM,53%,4.13,6.5,,,4.45,28.3%,3.18,3.21,R,0.273,0.296,2%,1%,0%,17.7,15.8,15.8,6.8,24.7,20.2,2.2,0.0,0.0
Lance Lynn,0,SP,8600,CWS,LAA,56%,4.19,6,,,4.79,26.0%,3.63,3.70,R,0.309,0.261,0%,-1%,0%,18.1,14.9,14.9,4.2,25.6,17.4,2.0,0.0,0.0
James Paxton,,SP,8500,BOS,CIN,62%,4.35,5.5,,,4.65,,,,L,,,-2%,0%,0%,15.4,15.4,15.4,4.3,26.5,15.6,1.8,0.0,0.0
Louie Varland,,SP,8300,MIN,@HOU,38%,4.53,5.5,,,4.52,22.1%,3.94,3.93,R,,0.353,2%,-1%,0%,15.1,15.8,15.8,10.0,21.6,15.1,1.8,0.0,0.0
Jaime Barria,,SP,7900,LAA,@CWS,44%,4.81,4,,,4.32,17.2%,4.42,4.49,R,0.329,0.291,1%,-2%,0%,22.1,22.1,22.1,22.1,22.1,10.6,1.3,0.0,0.0
