Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Max Scherzer,0,P,56,NYM,@MIL,57%,3.65,7.5,0.328,23.7%,5.50,32.4%,2.90,3.25,R,0.289,0.236,-1%,0%,2%,22.6,22.6,22.6,22.6,22.6,21.8,3.9,1.0,0.2
Shane Bieber,1,P,56,CLE,@OAK,63%,2.99,6.5,0.314,,3.50,27.5%,3.22,2.99,R,0.266,0.272,4%,2%,0%,18.6,18.6,18.6,18.6,18.6,21.8,3.9,22.4,4.0
Yu Darvish,,P,53,SD,ARI,59%,3.17,6.5,0.309,22.4%,2.20,27.3%,3.43,3.66,R,0.267,0.291,2%,2%,0%,0.0,0.0,0.0,0.0,0.0,21.3,4.0,10.9,2.1
Framber Valdez,1,P,51,HOU,DET,71%,2.86,6.5,0.321,25.8%,2.50,22.7%,3.38,3.22,L,0.271,0.280,1%,-1%,0%,16.7,16.7,16.7,16.7,16.7,22.7,4.5,26.9,5.3
Julio Urias,1,P,51,LAD,COL,69%,2.93,5,0.329,21.5%,4.00,25.2%,3.63,3.75,L,0.249,0.266,1%,3%,0%,25.5,25.5,25.5,25.5,25.5,19.9,3.9,29.5,5.8
Sandy Alcantara,,P,50,MIA,MIN,59%,3.14,6.5,0.314,24.4%,5.50,23.5%,3.57,3.39,R,0.275,0.270,1%,-1%,0%,8.7,8.7,8.7,8.7,8.7,22.1,4.4,37.4,7.5
Luis Castillo,1,P,48,SEA,LAA,61%,3.28,6,0.333,23.2%,6.75,25.4%,3.73,3.44,R,0.306,0.289,2%,2%,0%,29.1,29.1,29.1,29.1,29.1,21.2,4.4,29.4,6.1
Zac Gallen,,P,48,ARI,@SD,41%,3.83,5,0.332,20.2%,3.80,26.8%,3.63,3.58,R,0.258,0.302,7%,2%,0%,9.9,9.9,9.9,9.9,9.9,17.3,3.6,8.8,1.8
Hayden Wesneski,,P,43,CHC,@CIN,55%,4.48,4.5,0.319,23.5%,5.00,25.0%,3.32,3.64,R,,,-7%,1%,0%,0.0,0.0,0.0,0.0,0.0,13.6,3.2,8.8,2.0
Andrew Heaney,,P,41,TEX,BAL,57%,3.90,6.5,0.310,24.0%,6.25,30.0%,3.33,3.66,L,0.316,0.334,-1%,0%,0%,0.0,0.0,0.0,0.0,0.0,18.8,4.6,-10.1,-2.5
German Marquez,0,P,37,COL,@LAD,31%,4.57,4.5,0.339,21.0%,6.60,21.2%,4.15,3.82,R,0.333,0.298,10%,5%,0%,23.5,23.5,23.5,23.5,23.5,13.4,3.6,9.7,2.6
Kenta Maeda,,P,37,MIN,@MIA,41%,3.86,4,0.320,21.6%,1.80,24.9%,3.98,3.99,R,0.294,0.317,2%,-1%,0%,0.0,0.0,0.0,0.0,0.0,14.5,3.9,28.3,7.6
Jose Suarez,,P,34,LAA,@SEA,39%,4.22,4.5,0.343,24.5%,3.00,21.5%,4.16,4.08,L,0.346,0.294,7%,3%,0%,0.0,0.0,0.0,0.0,0.0,15.5,4.6,1.8,0.5
Roansy Contreras,,P,31,PIT,@BOS,42%,4.64,4.5,0.331,21.5%,8.25,21.4%,4.37,4.44,R,0.296,0.322,-6%,5%,1%,0.0,0.0,0.0,0.0,0.0,12.1,3.9,19.4,6.3
