Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Max Scherzer,5,SP,10800,NYM,@MIL,57%,3.65,7.5,0.328,23.7%,5.50,32.4%,2.90,3.25,R,0.289,0.236,-1%,0%,2%,19.9,19.9,19.9,19.9,19.9,20.1,1.9,0.0,0.0
Shane Bieber,3,SP,10500,CLE,@OAK,63%,2.99,6.5,0.314,,3.50,27.5%,3.22,2.99,R,0.266,0.272,4%,2%,0%,15.9,15.9,15.9,15.9,15.9,18.9,1.8,19.1,1.8
Julio Urias,2,SP,10200,LAD,COL,69%,2.93,5,0.329,21.5%,4.00,25.2%,3.63,3.75,L,0.249,0.266,1%,3%,0%,22.5,22.5,22.5,22.5,22.5,17.8,1.7,26.5,2.6
Framber Valdez,6,SP,9900,HOU,DET,71%,2.86,6,0.324,25.1%,2.50,22.7%,3.38,3.22,L,0.271,0.280,1%,-1%,0%,15.1,15.1,15.1,15.1,15.1,20.2,2.0,24.4,2.5
Sandy Alcantara,2,SP,9700,MIA,MIN,59%,3.14,6.5,0.314,24.4%,5.50,23.5%,3.57,3.39,R,0.275,0.270,1%,-1%,0%,6.6,6.6,6.6,6.6,6.6,19.8,2.0,36.9,3.8
Luis Castillo,2,SP,9500,SEA,LAA,61%,3.28,6,0.333,23.2%,6.75,25.4%,3.73,3.44,R,0.306,0.289,2%,2%,0%,24.9,24.9,24.9,24.9,24.9,19.0,2.0,26.4,2.8
German Marquez,,SP,9100,COL,@LAD,31%,4.57,4.5,0.339,21.0%,6.60,21.2%,4.15,3.82,R,0.333,0.298,10%,5%,0%,20.5,20.5,20.5,20.5,20.5,12.5,1.4,7.8,0.9
Andrew Heaney,3,SP,8900,TEX,BAL,57%,3.90,6.5,0.310,24.0%,6.25,30.0%,3.33,3.66,L,0.316,0.334,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,17.4,2.0,-9.4,-1.1
Nick Pivetta,,SP,8500,BOS,PIT,57%,3.86,4,0.323,21.4%,3.75,24.4%,4.18,4.27,R,0.341,0.315,-3%,4%,1%,0.0,0.0,0.0,0.0,0.0,13.8,1.6,17.6,2.1
Wade Miley,,SP,8100,MIL,NYM,42%,4.35,3,0.338,19.4%,3.40,18.0%,4.51,4.14,L,0.230,0.328,0%,0%,5%,0.0,0.0,0.0,0.0,0.0,10.4,1.3,19.9,2.5
Kenta Maeda,0,SP,8000,MIN,@MIA,41%,3.86,4,0.320,21.6%,1.80,24.9%,3.98,3.99,R,0.294,0.317,2%,-1%,0%,0.0,0.0,0.0,0.0,0.0,12.9,1.6,25.4,3.2
Domingo German,,SP,7700,NYY,PHI,60%,3.80,4.5,0.321,24.5%,3.00,22.0%,4.10,4.29,R,0.286,0.327,-1%,2%,0%,0.0,0.0,0.0,0.0,0.0,13.2,1.7,16.1,2.1
Steven Matz,,SP,7500,STL,ATL,56%,4.44,4,0.346,21.5%,5.75,23.2%,3.91,3.75,L,0.330,0.315,2%,-1%,-1%,0.0,0.0,0.0,0.0,0.0,12.7,1.7,11.4,1.5
Jose Suarez,,SP,7300,LAA,@SEA,39%,4.22,4.5,0.343,24.5%,3.00,21.5%,4.16,4.08,L,0.346,0.294,7%,3%,0%,0.0,0.0,0.0,0.0,0.0,13.5,1.8,0.9,0.1
Roansy Contreras,,SP,6900,PIT,@BOS,42%,4.64,4.5,0.331,21.5%,8.25,21.4%,4.37,4.44,R,0.296,0.322,-7%,5%,1%,0.0,0.0,0.0,0.0,0.0,10.7,1.6,16.4,2.4
