Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Ronald Acuna Jr.,1,OF,6500,ATL,@KC,4.53,Bubic,0.336,3%,L,R,0.370,0%,0.224,3%,1,1,0,-1%,-9%,0%,12.9,13.6,13.6,5.6,21.5,10.5,1.6,8.0,1.2
Aaron Judge,1,OF,6400,NYY,MIN,4.55,Mahle,0.352,7%,R,R,0.429,1%,0.318,0%,2,,0,1%,-1%,0%,9.1,10.3,10.3,1.8,18.8,10.5,1.6,11.0,1.7
Rafael Devers,1,3B,6300,BOS,LAA,4.64,Anderson,0.298,-6%,L,L,0.318,-12%,0.150,-35%,4,,-2,3%,-1%,0%,11.8,11.8,11.8,1.5,22.0,8.3,1.3,16.0,2.5
Randy Arozarena,1,OF,6200,TB,@TOR,4.81,Kikuchi,0.371,11%,L,R,0.403,13%,0.264,31%,4,4,-1,5%,-1%,0%,11.3,11.1,11.1,4.2,18.1,10.2,1.6,2.0,0.3
Trea Turner,-1,SS,6100,PHI,@CIN,4.79,Ashcraft,0.388,6%,R,R,0.348,-6%,0.154,-17%,2,2,0,7%,1%,0%,8.0,8.6,8.6,2.4,14.9,10.3,1.7,2.0,0.3
Shohei Ohtani,2,1B/OF,6100,LAA,@BOS,4.86,Pivetta,0.342,4%,R,L,0.388,3%,0.286,5%,3,3,0,2%,-1%,0%,13.7,12.8,12.8,3.7,22.0,10.9,1.8,10.0,1.6
Yordan Alvarez,2,OF,6100,HOU,TEX,4.53,Gray,0.326,1%,R,L,0.398,-1%,0.291,1%,3,3,0,0%,0%,0%,11.0,11.8,11.8,4.4,19.1,9.9,1.6,15.0,2.5
Bo Bichette,2,SS,6000,TOR,TB,5.19,Faucher,,-1%,R,R,0.350,-3%,0.180,-5%,2,2,0,1%,-1%,0%,11.4,11.4,11.4,2.6,20.1,9.4,1.6,2.0,0.3
Bryan Reynolds,,OF,6000,PIT,@STL,3.88,Matz,0.327,1%,L,S,0.341,-6%,0.169,-19%,2,2,0,-4%,-3%,0%,13.6,12.3,12.3,-0.3,24.9,8.3,1.4,10.0,1.7
Mike Trout,2,OF,5900,LAA,@BOS,4.86,Pivetta,0.312,-2%,R,R,0.425,2%,0.353,13%,2,2,0,10%,-1%,0%,9.0,9.9,9.9,2.1,17.8,10.8,1.8,19.0,3.2
Jose Ramirez,4,3B,5900,CLE,@WAS,5.34,Kuhl,0.352,7%,R,S,0.379,2%,0.265,4%,3,3,0,4%,-1%,0%,10.9,9.9,9.9,3.6,16.1,11.6,2.0,18.0,3.1
Julio Rodriguez,2,OF,5900,SEA,COL,4.83,Feltner,0.376,8%,R,R,,-1%,,-2%,1,1,0,0%,0%,0%,9.6,9.9,9.9,3.4,16.3,9.5,1.6,18.0,3.1
Adley Rutschman,2,C,5800,BAL,@CWS,4.50,Kopech,0.296,-6%,R,L,0.396,6%,0.232,13%,2,,0,2%,3%,0%,11.6,11.3,11.3,1.7,20.9,9.2,1.6,6.0,1.0
Vladimir Guerrero Jr.,1,1B,5800,TOR,TB,5.19,Faucher,,-1%,R,R,0.392,4%,0.254,8%,3,3,0,1%,-1%,0%,10.4,10.2,10.2,4.0,16.5,9.8,1.7,5.0,0.9
Mookie Betts,2,2B/OF,5800,LAD,CHC,4.83,Taillon,0.303,-4%,R,R,0.362,0%,0.238,5%,1,1,0,1%,-4%,0%,8.7,8.6,8.6,1.6,15.6,9.7,1.7,0.0,0.0
Wander Franco,1,SS,5700,TB,@TOR,4.81,Kikuchi,0.257,-9%,L,L,0.400,3%,0.222,2%,2,2,1,-4%,-1%,0%,9.8,11.6,11.6,2.9,20.4,9.3,1.6,13.0,2.3
Cedric Mullins,1,OF,5700,BAL,@CWS,4.50,Kopech,0.296,-6%,R,S,0.358,7%,0.202,12%,1,,1,1%,2%,0%,5.6,9.6,9.6,0.8,18.5,10.0,1.8,21.0,3.7
Nolan Arenado,1,3B,5700,STL,PIT,5.12,Contreras,0.326,-1%,R,R,0.352,-3%,0.213,-11%,4,,0,-3%,-4%,0%,9.4,9.4,9.4,2.7,16.2,8.5,1.5,0.0,0.0
Paul Goldschmidt,0,1B,5700,STL,PIT,5.12,Contreras,0.326,-1%,R,R,0.373,-6%,0.211,-13%,3,,0,-3%,-3%,0%,7.3,9.1,9.1,3.1,15.1,9.3,1.6,12.0,2.1
Will Smith,,C,5700,LAD,CHC,4.83,Taillon,0.303,-4%,R,R,0.365,3%,0.232,6%,x,x,-,0%,0%,0%,10.1,11.1,11.1,3.6,18.6,0.0,0.0,0.0,0.0
Austin Riley,1,3B,5600,ATL,@KC,4.53,Bubic,0.336,3%,L,R,0.390,3%,0.276,11%,3,3,0,-2%,-11%,0%,9.8,9.3,9.3,4.2,14.4,9.1,1.6,7.0,1.3
Juan Soto,,OF,5600,SD,MIL,4.04,Peralta,0.245,-17%,R,L,0.425,8%,0.248,12%,3,3,0,-2%,-2%,0%,8.1,7.7,7.7,0.0,15.4,8.5,1.5,12.0,2.1
Kyle Tucker,0,OF,5600,HOU,TEX,4.53,Gray,0.326,1%,R,L,0.379,4%,0.234,-3%,5,5,0,0%,0%,0%,10.4,10.6,10.6,1.8,19.3,9.6,1.7,12.0,2.1
Oneil Cruz,,SS,5500,PIT,@STL,3.88,Matz,0.320,-2%,L,L,0.248,-10%,0.136,-20%,x,x,-,0%,0%,0%,9.3,9.3,9.3,3.4,15.3,0.0,0.0,0.0,0.0
Kyle Schwarber,1,OF,5500,PHI,@CIN,4.79,Ashcraft,0.243,-8%,R,L,0.391,9%,0.339,24%,3,3,0,17%,1%,0%,11.5,8.6,8.6,1.1,16.1,9.8,1.8,2.0,0.4
