Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Drew Rasmussen,3,P,10500,TB,OAK,72%,2.78,5,0.311,22.3%,3.38,22.5%,3.75,3.56,R,0.260,0.275,1%,0%,0%,49.0,49.0,49.0,49.0,49.0,29.2,2.8,55.0,5.2
Nestor Cortes Jr.,0,P,10000,NYY,@BAL,56%,3.48,6.5,0.316,24.3%,5.25,26.6%,3.61,3.85,L,0.250,0.270,-1%,2%,0%,27.0,27.0,27.0,27.0,27.0,28.6,2.9,31.0,3.1
Freddy Peralta,1,P,9800,MIL,STL,59%,4.05,5.5,0.328,20.7%,4.38,31.3%,3.46,3.66,R,0.244,0.262,0%,1%,0%,49.0,49.0,49.0,49.0,49.0,27.8,2.8,46.0,4.7
Jon Gray,,P,9600,TEX,@CHC,49%,4.28,6,0.309,22.7%,5.71,25.1%,3.89,3.77,R,0.323,0.296,1%,1%,0%,38.0,38.0,38.0,38.0,38.0,28.6,3.0,29.0,3.0
Reid Detmers,,P,9400,LAA,TOR,55%,4.71,4.5,0.330,19.5%,4.67,22.4%,4.28,4.41,L,0.295,0.319,-1%,1%,0%,29.0,29.0,29.0,29.0,29.0,24.8,2.6,18.0,1.9
George Kirby,0,P,9200,SEA,@CLE,55%,3.80,3.5,0.332,16.4%,4.78,24.4%,3.35,3.37,R,0.258,0.365,-3%,3%,1%,16.0,16.0,16.0,16.0,16.0,24.5,2.7,31.0,3.4
Hunter Brown,1,P,8900,HOU,@MIN,53%,3.89,6,0.311,24.8%,4.50,,,,R,,,0%,1%,0%,17.0,17.0,17.0,17.0,17.0,28.8,3.2,52.0,5.8
Tyler Mahle,,P,8800,MIN,HOU,47%,4.11,5,0.328,20.5%,4.67,26.8%,3.80,3.81,R,0.264,0.349,0%,1%,0%,39.0,39.0,39.0,39.0,39.0,25.7,2.9,24.0,2.7
Michael Kopech,0,P,8700,CWS,@PIT,45%,4.76,5,0.317,23.5%,5.12,26.5%,3.95,4.20,R,0.302,0.288,1%,2%,0%,8.0,8.0,8.0,8.0,8.0,27.2,3.1,34.0,3.9
Jameson Taillon,0,P,8400,CHC,TEX,51%,4.22,5,0.314,23.8%,4.88,21.7%,4.07,4.21,R,0.317,0.304,1%,1%,0%,9.0,9.0,9.0,9.0,9.0,24.9,3.0,27.0,3.2
Anthony DeSclafani,,P,8400,SF,KC,59%,3.82,4.5,0.303,23.2%,2.89,21.9%,4.07,3.93,R,0.336,0.273,1%,0%,0%,40.0,40.0,40.0,40.0,40.0,24.9,3.0,41.0,4.9
