Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Nestor Cortes,0,P,48,NYY,PHI,61%,3.30,6.5,0.333,24.8%,3.67,26.9%,3.59,3.84,L,0.250,0.268,-1%,3%,0%,0.0,0.0,0.0,0.0,0.0,20.8,4.3,16.7,3.5
Hunter Brown,0,P,44,HOU,DET,69%,3.16,6.5,0.306,27.1%,1.00,,,,R,,,1%,-1%,0%,0.0,0.0,0.0,0.0,0.0,19.7,4.5,7.9,1.8
Drew Rasmussen,,P,43,TB,@WAS,62%,3.47,4.5,0.297,19.6%,2.33,22.2%,3.80,3.60,R,0.264,0.279,2%,2%,0%,0.0,0.0,0.0,0.0,0.0,16.2,3.8,34.2,8.0
Freddy Peralta,,P,42,MIL,NYM,51%,4.20,4,0.346,17.7%,4.25,31.3%,3.46,3.66,R,0.243,0.267,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,14.6,3.5,31.5,7.5
George Kirby,0,P,41,SEA,LAA,56%,3.28,5,0.339,24.1%,6.67,24.5%,3.32,3.33,R,0.245,0.366,2%,0%,0%,0.0,0.0,0.0,0.0,0.0,18.1,4.4,5.1,1.2
Charlie Morton,0,P,39,ATL,@STL,52%,4.15,5.5,0.336,21.1%,7.33,28.4%,3.52,3.45,R,0.300,0.287,4%,1%,0%,0.0,0.0,0.0,0.0,0.0,16.5,4.2,6.1,1.6
Brady Singer,,P,38,KC,TOR,44%,4.25,5,0.342,22.1%,5.00,23.3%,3.83,3.67,R,0.326,0.303,-1%,1%,0%,0.0,0.0,0.0,0.0,0.0,14.8,3.9,18.5,4.9
Carlos Carrasco,,P,37,NYM,@MIL,49%,4.30,5.5,0.333,25.2%,4.00,22.9%,3.83,3.68,R,0.311,0.352,-2%,0%,0%,0.0,0.0,0.0,0.0,0.0,15.8,4.3,2.8,0.8
Jon Gray,0,P,37,TEX,BAL,56%,3.98,5.5,0.325,22.5%,7.67,25.0%,3.89,3.77,R,0.324,0.295,-1%,0%,0%,0.0,0.0,0.0,0.0,0.0,16.8,4.5,23.6,6.4
Drew Smyly,,P,37,CHC,@CIN,52%,4.42,4.5,0.322,23.0%,4.33,20.9%,4.25,4.29,L,0.294,0.331,-6%,1%,0%,0.0,0.0,0.0,0.0,0.0,13.8,3.7,-3.7,-1.0
Ryne Nelson,,P,37,ARI,@SD,44%,4.28,3.5,0.330,21.6%,3.50,,,,R,,,10%,3%,0%,0.0,0.0,0.0,0.0,0.0,13.7,3.7,6.9,1.9
Taijuan Walker,,P,36,PHI,@NYY,39%,4.20,4,0.328,21.7%,5.33,21.3%,4.25,4.18,R,0.306,0.298,-2%,5%,0%,0.0,0.0,0.0,0.0,0.0,13.6,3.8,8.7,2.4
Tyler Mahle,,P,36,MIN,@MIA,54%,3.60,5,0.320,21.5%,2.00,26.6%,3.83,3.86,R,0.265,0.350,2%,-1%,0%,0.0,0.0,0.0,0.0,0.0,16.3,4.5,25.6,7.1
Michael Kopech,,P,35,CWS,SF,56%,3.73,5,0.327,24.7%,2.33,26.7%,3.92,4.15,R,0.289,0.281,0%,2%,0%,0.0,0.0,0.0,0.0,0.0,16.1,4.6,0.1,0.0
Jose Berrios,,P,34,TOR,@KC,56%,3.75,5.5,0.298,22.3%,1.33,23.0%,3.87,3.88,R,0.348,0.280,-2%,1%,0%,0.0,0.0,0.0,0.0,0.0,15.5,4.6,5.1,1.5
Reid Detmers,,P,34,LAA,@SEA,44%,3.72,5.5,0.341,24.3%,3.00,22.0%,4.29,4.43,L,0.290,0.321,6%,0%,0%,0.0,0.0,0.0,0.0,0.0,16.3,4.8,17.7,5.2
Connor Overton,,P,34,CIN,CHC,48%,4.58,1,0.311,25.6%,3.33,15.5%,4.95,4.74,R,,,-2%,1%,0%,0.0,0.0,0.0,0.0,0.0,10.5,3.1,3.9,1.1
Zach Plesac,0,P,33,CLE,@OAK,57%,3.42,4.5,0.313,23.3%,1.00,17.2%,4.60,4.59,R,0.320,0.309,6%,3%,0%,0.0,0.0,0.0,0.0,0.0,16.8,5.1,-14.2,-4.3
Kyle Bradish,,P,33,BAL,@TEX,44%,4.52,5.5,0.316,24.8%,9.67,21.8%,4.15,4.01,R,0.303,0.350,-1%,0%,0%,0.0,0.0,0.0,0.0,0.0,14.1,4.3,7.2,2.2
