Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Mason Miller,,P,54,OAK,CHC,40%,3.88,6,0.311,23.8%,5.44,,,,R,,,2%,1%,0%,0.0,0.0,0.0,0.0,0.0,14.4,2.7,13.6,2.5
Max Scherzer,,P,48,NYM,@LAD,56%,3.99,7,0.323,23.8%,5.33,32.0%,2.98,3.33,R,0.290,0.240,0%,1%,0%,17.0,17.0,17.0,2.9,31.1,20.3,4.2,12.3,2.6
Joe Ryan,0,P,46,MIN,@BOS,56%,4.21,5.5,0.326,20.1%,5.33,26.7%,3.75,4.11,R,0.273,0.283,-5%,4%,0%,32.7,32.7,32.7,26.0,39.4,17.0,3.7,14.8,3.2
Drew Rasmussen,,P,44,TB,@CIN,70%,3.67,5.5,0.311,24.1%,4.82,22.7%,3.75,3.55,R,0.257,0.278,-5%,2%,0%,24.8,24.8,24.8,3.3,46.4,18.1,4.1,27.6,6.3
Justin Steele,0,P,42,CHC,@OAK,60%,3.12,6,0.313,,3.50,24.5%,3.95,3.68,L,0.280,0.306,3%,1%,0%,27.5,27.5,27.5,19.8,35.2,19.8,4.7,23.7,5.6
Brady Singer,,P,40,KC,TEX,51%,4.72,6,0.303,24.1%,5.88,23.2%,3.82,3.66,R,0.327,0.312,-1%,1%,0%,11.1,11.1,11.1,4.5,17.7,15.8,4.0,4.9,1.2
Eric Lauer,,P,38,MIL,@SEA,45%,4.47,5,0.337,24.6%,4.56,23.8%,4.17,4.19,L,0.289,0.307,5%,0%,0%,14.8,14.8,14.8,1.1,28.5,15.5,4.1,26.5,7.0
Charlie Morton,,P,37,ATL,@SD,53%,4.34,5,0.330,20.0%,3.79,27.7%,3.59,3.53,R,0.303,0.290,5%,1%,0%,13.3,13.3,13.3,6.4,20.3,15.4,4.2,18.8,5.1
Martin Perez,,P,37,TEX,@KC,49%,4.78,4.5,0.323,22.9%,3.11,20.2%,4.25,4.05,L,0.286,0.328,-1%,1%,0%,18.2,18.2,18.2,13.8,22.5,14.8,4.0,13.8,3.7
Luis Garcia,1,P,37,HOU,TOR,50%,4.50,4.5,0.336,20.2%,4.78,25.2%,3.88,3.92,R,0.342,0.270,2%,-1%,0%,7.9,7.9,7.9,3.9,11.9,15.0,4.1,40.3,10.9
