Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Jeffrey Springs,,P,50,TB,BOS,68%,3.17,6,0.315,24.1%,5.67,29.2%,3.10,3.14,L,0.330,0.252,1%,0%,0%,39.4,39.4,39.4,31.2,47.5,20.1,4.0,16.1,3.2
Nick Lodolo,,P,46,CIN,PHI,52%,4.42,6.5,0.331,21.2%,4.25,30.9%,3.19,3.34,L,,0.335,-2%,0%,0%,32.7,32.7,32.7,21.7,43.7,19.9,4.3,18.0,3.9
Joe Ryan,,P,43,MIN,@NYY,44%,4.81,6.5,0.323,24.0%,5.08,26.3%,3.83,4.19,R,0.273,0.290,-2%,-2%,-1%,28.9,28.9,28.9,26.9,31.0,16.3,3.8,40.3,9.4
Jordan Montgomery,1,P,41,STL,PIT,70%,3.29,5,0.328,21.8%,4.25,23.2%,3.83,3.67,L,0.247,0.304,1%,0%,0%,25.6,25.6,25.6,7.4,43.8,18.2,4.4,17.8,4.3
Chris Bassitt,0,P,39,TOR,DET,69%,3.71,6.5,0.304,29.3%,3.00,23.2%,3.88,3.88,R,0.309,0.273,0%,0%,0%,2.3,2.3,2.3,-25.0,29.7,18.9,4.8,20.8,5.3
Bailey Falter,,P,31,PHI,@CIN,48%,4.58,4,0.324,22.2%,4.45,21.4%,3.84,4.10,L,0.294,0.340,-6%,0%,0%,12.6,12.6,12.6,11.3,13.8,12.9,4.2,3.9,1.3
Nick Martinez,,P,30,SD,MIL,57%,4.10,5.5,0.331,27.8%,4.83,20.8%,4.17,4.14,R,0.314,0.314,2%,3%,0%,10.9,10.9,10.9,3.8,17.9,15.7,5.2,8.8,2.9
Cole Irvin,,P,28,BAL,OAK,67%,4.03,4,0.316,,3.67,16.9%,4.63,4.61,L,0.322,0.318,-1%,-1%,0%,4.9,4.9,4.9,-3.4,13.2,14.7,5.3,0.8,0.3
Jhony Brito,1,P,27,NYY,MIN,56%,4.19,4,0.322,23.3%,3.92,,,,R,,,-1%,-3%,-1%,22.4,22.4,22.4,14.1,30.7,13.8,5.1,-18.3,-6.8
Adam Oller,,P,25,OAK,@BAL,33%,5.97,1,0.329,21.0%,5.50,13.7%,5.81,6.10,R,0.388,0.378,-6%,-2%,0%,0.0,0.0,0.0,0.0,0.0,8.0,3.2,-12.0,-4.8
Spencer Turnbull,,P,25,DET,@TOR,31%,5.79,3,0.339,19.4%,5.58,19.9%,4.19,4.20,R,0.299,,0%,0%,0%,-5.0,-5.0,-5.0,-14.6,4.6,8.6,3.4,22.7,9.1
Corey Kluber,,P,25,BOS,@TB,32%,4.83,4.5,0.316,22.7%,7.67,21.3%,4.05,4.14,R,0.308,0.324,7%,0%,0%,6.2,6.2,6.2,-4.0,16.4,12.7,5.1,15.5,6.2
Vince Velasquez,,P,25,PIT,@STL,30%,5.21,3.5,0.337,21.1%,4.67,22.5%,4.52,4.84,R,0.365,0.340,3%,1%,0%,-0.2,-0.2,-0.2,-12.6,12.2,8.9,3.6,29.5,11.8
