Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Jacob deGrom,6,SP,11000,TEX,OAK,76%,2.63,8,0.310,22.9%,3.48,43.5%,1.73,1.65,R,0.225,0.204,0%,0%,0%,21.9,21.9,21.9,10.7,33.1,25.2,2.3,35.7,3.2
Clayton Kershaw,0,SP,10700,LAD,@CHC,56%,3.48,5.5,0.327,19.5%,5.90,28.5%,3.06,2.87,L,0.235,0.268,0%,6%,0%,23.0,23.0,23.0,10.0,36.0,19.1,1.8,25.1,2.3
Kevin Gausman,0,SP,10000,TOR,@NYY,55%,4.00,5.5,0.323,20.8%,4.38,28.8%,3.18,3.04,R,0.271,0.299,-1%,2%,-1%,20.5,20.5,20.5,7.1,34.0,17.9,1.8,40.0,4.0
Jesus Luzardo,1,SP,9700,MIA,@CLE,47%,3.86,5.5,0.319,19.4%,3.95,26.2%,3.99,3.94,L,0.300,0.326,-3%,4%,0%,19.9,19.9,19.9,11.5,28.4,15.9,1.6,8.3,0.9
Yu Darvish,2,SP,9700,SD,@ARI,59%,4.08,6.5,0.311,22.9%,4.77,27.2%,3.46,3.68,R,0.271,0.284,-10%,-2%,0%,17.8,17.8,17.8,3.7,32.0,16.8,1.7,20.6,2.1
Corbin Burnes,0,SP,9200,MIL,BOS,61%,3.52,6.5,0.324,22.1%,5.45,32.0%,2.86,2.70,R,0.257,0.250,0%,0%,0%,13.4,13.4,13.4,-3.5,30.2,18.6,2.0,12.4,1.3
Marcus Stroman,,SP,9000,CHC,LAD,43%,4.02,4.5,0.335,21.9%,5.18,21.7%,3.84,3.52,R,0.290,0.274,1%,7%,0%,23.6,23.6,23.6,18.0,29.1,14.6,1.6,7.1,0.8
Reid Detmers,2,SP,8700,LAA,KC,66%,3.92,6,0.314,,3.33,22.5%,4.25,4.41,L,0.284,0.324,-1%,0%,0%,14.7,14.7,14.7,9.1,20.4,15.7,1.8,15.3,1.8
Cristian Javier,1,SP,8600,HOU,@ATL,44%,4.25,6.5,0.329,24.0%,4.95,31.2%,3.51,3.92,R,0.300,0.249,-4%,3%,-1%,15.5,15.5,15.5,8.4,22.6,17.0,2.0,28.5,3.3
Jack Flaherty,,SP,8400,STL,@SEA,51%,4.47,5,0.322,23.0%,4.52,23.4%,4.54,4.48,R,0.314,0.307,3%,0%,0%,13.4,13.4,13.4,7.4,19.3,13.8,1.6,24.7,2.9
