Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Jacob deGrom,0,P,59,TEX,KC,72%,3.00,8.5,0.309,23.9%,2.64,44.2%,1.68,1.58,R,0.222,0.210,0%,1%,0%,24.0,24.0,24.0,3.6,44.4,28.2,4.8,28.7,4.9
Shohei Ohtani,0,P,57,LAA,WAS,73%,3.12,7.5,0.298,22.1%,4.18,31.7%,3.14,3.08,R,0.295,0.237,-1%,1%,0%,14.6,12.2,12.2,3.4,21.0,21.0,3.7,30.7,5.4
Gerrit Cole,,P,56,NYY,@CLE,62%,3.68,6,0.334,18.0%,4.82,33.2%,2.84,2.84,R,0.283,0.278,-1%,0%,0%,35.5,35.5,35.5,30.0,41.1,21.9,3.9,20.7,3.7
Cristian Javier,,P,53,HOU,@PIT,60%,3.54,7.5,0.315,25.1%,4.40,31.8%,3.46,3.86,R,0.298,0.248,0%,0%,0%,19.2,19.2,19.2,10.3,28.1,20.9,3.9,9.7,1.8
Alek Manoah,0,P,50,TOR,DET,71%,3.42,7.5,0.304,28.3%,3.00,24.4%,3.91,4.10,R,0.310,0.219,0%,1%,0%,12.9,12.9,12.9,-10.8,36.5,20.8,4.2,4.9,1.0
Kyle Wright,0,P,47,ATL,CIN,68%,3.57,6.5,0.318,25.8%,4.33,23.3%,3.59,3.47,R,0.330,0.270,-1%,2%,0%,0.0,0.0,0.0,0.0,0.0,18.9,4.0,-2.0,-0.4
Corbin Burnes,,P,47,MIL,@ARI,53%,4.09,6.5,0.316,21.1%,4.82,32.2%,2.84,2.68,R,0.261,0.250,-6%,-2%,0%,1.9,1.9,1.9,-3.6,7.4,18.9,4.0,41.3,8.8
Shane McClanahan,,P,46,TB,BOS,62%,3.27,6.5,0.326,22.3%,5.90,28.8%,3.21,2.90,L,0.294,0.269,1%,0%,0%,25.7,25.7,25.7,20.3,31.1,22.5,4.9,29.6,6.4
Jesus Luzardo,,P,45,MIA,@PHI,43%,4.04,5.5,0.332,21.1%,4.50,26.3%,3.99,3.93,L,0.296,0.323,-1%,1%,0%,29.6,29.6,29.6,23.9,35.3,18.4,4.1,17.0,3.8
Aaron Nola,,P,45,PHI,MIA,56%,3.46,5.5,0.323,20.5%,2.73,29.2%,3.06,3.08,R,0.274,0.292,0%,1%,0%,9.2,9.2,9.2,1.3,17.1,19.8,4.4,12.9,2.9
Grayson Rodriguez,,P,43,BAL,OAK,64%,3.59,6,0.311,,2.80,,,,R,,,-1%,1%,0%,16.5,16.5,16.5,16.5,16.5,19.2,4.5,6.0,1.4
Pablo Lopez,1,P,43,MIN,CWS,61%,3.30,6,0.317,22.4%,5.09,25.5%,3.60,3.46,R,0.313,0.281,1%,-1%,0%,31.0,31.0,31.0,30.4,31.6,18.8,4.4,35.4,8.2
Lance Lynn,,P,42,CWS,@MIN,39%,4.20,6,0.316,24.3%,4.00,25.9%,3.61,3.73,R,0.298,0.261,1%,-1%,0%,7.0,7.0,7.0,-8.3,22.3,17.8,4.2,25.7,6.1
Dustin May,,P,38,LAD,@SF,57%,3.63,6,0.340,24.5%,4.80,27.3%,3.56,3.37,R,0.283,0.266,1%,1%,0%,25.9,25.9,25.9,25.2,26.6,17.3,4.6,12.6,3.3
Hayden Wesneski,,P,37,CHC,SEA,52%,5.14,4.5,0.318,22.4%,4.09,24.3%,3.50,3.72,R,,,1%,-1%,-15%,8.8,8.8,8.8,8.8,8.8,13.1,3.5,-8.1,-2.2
Merrill Kelly,,P,36,ARI,MIL,47%,4.41,5.5,0.323,26.4%,4.80,20.8%,4.25,4.07,R,0.294,0.309,-5%,-3%,0%,10.3,10.3,10.3,7.0,13.7,15.6,4.3,20.6,5.7
Jordan Lyles,,P,32,KC,@TEX,28%,5.00,4.5,0.319,24.0%,5.80,18.9%,4.51,4.56,R,0.353,0.343,-1%,3%,0%,14.8,14.8,14.8,10.4,19.1,12.5,3.9,10.0,3.1
Mitch Keller,,P,32,PIT,HOU,40%,4.46,5,0.317,22.9%,5.00,20.3%,4.48,4.30,R,0.352,0.338,0%,1%,0%,22.3,22.3,22.3,9.1,35.5,14.2,4.4,20.8,6.5
Miles Mikolas,,P,31,STL,@COL,61%,5.24,4.5,0.318,21.5%,4.36,18.8%,4.07,3.87,R,0.281,0.301,-12%,-1%,0%,6.5,6.5,6.5,0.3,12.8,12.7,4.1,-1.8,-0.6
Chris Flexen,,P,30,SEA,@CHC,48%,5.36,4,0.309,24.2%,5.00,16.4%,4.85,4.80,R,0.279,0.340,-1%,-1%,-15%,15.4,15.4,15.4,15.4,15.4,10.8,3.6,-17.8,-5.9
David Peterson,0,P,29,NYM,SD,56%,4.19,4,0.338,20.2%,4.55,26.1%,3.88,3.57,L,0.297,0.340,1%,0%,0%,8.9,8.9,8.9,0.5,17.4,15.6,5.4,17.8,6.1
Kyle Freeland,,P,29,COL,STL,39%,6.76,3,0.358,18.3%,4.00,18.2%,4.52,4.44,L,0.363,0.334,-13%,-4%,0%,24.5,24.5,24.5,18.7,30.3,6.1,2.1,16.8,5.8
Kyle Muller,,P,28,OAK,@BAL,36%,4.91,5.5,0.316,24.3%,5.00,22.0%,4.86,4.69,L,,0.286,-4%,1%,0%,15.2,15.2,15.2,14.2,16.1,13.2,4.7,-3.0,-1.1
Josiah Gray,,P,27,WAS,@LAA,27%,5.38,6.5,0.311,26.3%,6.00,23.9%,4.37,4.70,R,0.390,0.321,-5%,2%,0%,12.4,12.4,12.4,1.8,23.0,13.9,5.1,11.8,4.4
Matt Manning,,P,27,DET,@TOR,28%,5.58,3.5,0.342,22.1%,5.40,16.2%,4.94,4.81,R,0.315,0.313,0%,1%,0%,17.8,17.8,17.8,17.8,17.8,10.1,3.7,9.7,3.6
Luis Cessa,,P,27,CIN,@ATL,32%,5.43,3.5,0.327,23.6%,4.64,18.5%,4.22,4.16,R,0.292,0.310,-1%,4%,0%,9.7,9.7,9.7,9.7,9.7,10.0,3.7,-5.1,-1.9
Alex Wood,,P,27,SF,LAD,42%,4.37,4,0.348,22.1%,6.27,24.7%,3.56,3.45,L,0.258,0.324,1%,2%,0%,5.8,5.8,5.8,5.8,5.8,13.3,4.9,18.6,6.9
Garrett Whitlock,,P,26,BOS,@TB,38%,4.23,4.5,0.316,22.7%,7.60,26.8%,3.07,3.21,R,0.290,0.265,5%,0%,0%,0.0,0.0,0.0,0.0,0.0,14.3,5.5,7.8,3.0
Hunter Gaddis,,P,25,CLE,NYY,38%,4.82,4.5,0.318,21.9%,4.60,,,,R,,,-1%,1%,0%,14.0,14.0,14.0,0.8,27.2,12.1,4.8,-10.9,-4.4
Ryan Weathers,,P,25,SD,@NYM,44%,4.81,3,0.344,18.8%,4.00,17.4%,4.80,4.79,L,0.328,0.365,2%,1%,0%,9.6,9.6,9.6,9.6,9.6,10.5,4.2,18.5,7.4
