Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Drew Rasmussen,,P,11200,TB,@TOR,53%,4.33,5,0.341,22.2%,5.23,22.8%,3.71,3.52,R,0.253,0.271,-1%,0%,0%,52.0,52.0,52.0,47.8,56.2,26.1,2.3,10.0,0.9
Koudai Senga,1,P,10800,NYM,@OAK,67%,3.25,7.5,0.309,24.7%,3.92,,,,R,,,1%,1%,0%,43.0,43.0,43.0,43.0,43.0,33.9,3.1,23.0,2.1
Justin Steele,,P,10500,CHC,@LAD,41%,4.68,5,0.347,22.5%,6.08,24.3%,4.00,3.73,L,0.273,0.311,1%,2%,0%,40.0,40.0,40.0,31.5,48.5,25.9,2.5,49.0,4.7
Nestor Cortes Jr.,1,P,10300,NYY,MIN,62%,3.66,5.5,0.334,22.1%,4.46,26.6%,3.64,3.89,L,0.247,0.270,0%,-1%,0%,29.0,29.0,29.0,26.2,31.8,31.9,3.1,40.0,3.9
Martin Perez,,P,10100,TEX,@HOU,41%,4.67,3.5,0.351,19.2%,5.08,20.2%,4.23,4.03,L,0.282,0.327,2%,0%,0%,32.5,32.5,32.5,20.5,44.5,26.4,2.6,27.0,2.7
Michael Wacha,1,P,9600,SD,MIL,61%,3.71,5,0.322,25.3%,4.77,21.7%,4.04,3.97,R,0.297,0.334,1%,1%,0%,38.0,38.0,38.0,9.7,66.3,29.3,3.1,1.0,0.1
Patrick Sandoval,,P,9400,LAA,@BOS,51%,4.47,5,0.316,21.8%,5.46,23.8%,4.03,3.77,L,0.238,0.315,-2%,1%,0%,24.5,24.5,24.5,23.8,25.2,26.1,2.8,29.0,3.1
Johan Oviedo,,P,9200,PIT,@STL,40%,4.99,4,0.334,21.2%,4.31,19.7%,4.73,4.70,R,0.323,0.307,2%,0%,0%,29.5,29.5,29.5,7.6,51.4,23.3,2.5,52.0,5.7
Charlie Morton,2,P,9000,ATL,@KC,54%,4.29,6,0.311,22.5%,3.38,27.9%,3.58,3.51,R,0.304,0.288,0%,0%,0%,21.5,21.5,21.5,13.7,29.3,30.0,3.3,37.0,4.1
Luis Garcia,0,P,8900,HOU,TEX,59%,3.83,6,0.307,24.5%,5.58,25.1%,3.89,3.91,R,0.340,0.268,1%,0%,0%,15.0,15.0,15.0,10.8,19.2,30.3,3.4,21.0,2.4
Mike Clevinger,,P,8700,CWS,BAL,47%,4.67,4,0.334,20.3%,5.69,18.7%,4.58,4.87,R,0.316,0.314,0%,-1%,0%,29.0,29.0,29.0,6.4,51.6,24.2,2.8,37.0,4.3
Sean Manaea,,P,8600,SF,@DET,59%,3.84,5.5,0.324,25.3%,3.00,24.6%,3.78,3.79,L,0.268,0.338,-1%,-1%,0%,43.0,43.0,43.0,43.0,43.0,26.3,3.1,16.0,1.9
Brady Singer,,P,8400,KC,ATL,46%,4.71,5.5,0.329,23.8%,4.85,23.0%,3.86,3.69,R,0.324,0.305,0%,0%,0%,21.0,21.0,21.0,12.5,29.5,26.9,3.2,15.0,1.8
Tyler Wells,,P,8300,BAL,@CWS,53%,4.33,4,0.320,21.5%,4.62,21.7%,4.07,4.42,R,0.232,0.314,0%,-1%,0%,24.0,24.0,24.0,24.0,24.0,22.8,2.7,16.0,1.9
Tanner Houck,,P,8100,BOS,LAA,49%,4.53,5,0.338,23.6%,5.42,26.6%,3.45,3.44,R,0.309,0.240,-1%,1%,0%,27.0,27.0,27.0,27.0,27.0,24.6,3.0,24.0,3.0
Noah Syndergaard,,P,8000,LAD,CHC,59%,3.82,4.5,0.313,25.2%,5.55,17.0%,4.35,4.27,R,0.333,0.307,1%,3%,0%,18.5,18.5,18.5,-7.7,44.7,27.1,3.4,40.0,5.0
