Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Max Scherzer,2,SP,10800,NYM,@LAD,56%,3.99,7,0.323,23.8%,5.33,32.0%,2.98,3.33,R,0.290,0.240,0%,1%,0%,14.9,14.9,14.9,1.8,28.1,19.1,1.8,10.9,1.0
Taijuan Walker,,SP,9900,PHI,@CWS,51%,4.19,4.5,0.319,22.2%,4.50,21.3%,4.28,4.19,R,0.303,0.300,-1%,2%,0%,13.0,13.0,13.0,6.8,19.3,13.4,1.4,16.1,1.6
Justin Steele,7,SP,9700,CHC,@OAK,60%,3.12,6,0.313,,3.50,24.5%,3.95,3.68,L,0.280,0.306,3%,1%,0%,24.4,24.4,24.4,17.6,31.1,17.0,1.8,21.3,2.2
Joe Ryan,4,SP,9600,MIN,@BOS,56%,4.21,5.5,0.326,20.1%,5.33,26.7%,3.75,4.11,R,0.273,0.283,-5%,4%,0%,29.2,29.2,29.2,23.2,35.2,15.1,1.6,12.7,1.3
Eric Lauer,,SP,9200,MIL,@SEA,45%,4.47,5,0.337,24.6%,4.56,23.8%,4.17,4.19,L,0.289,0.307,5%,0%,0%,13.4,13.4,13.4,0.9,25.8,14.1,1.5,22.3,2.4
Luis Garcia,,RP,9100,HOU,TOR,50%,4.50,4.5,0.336,20.2%,4.78,25.2%,3.88,3.92,R,0.342,0.270,1%,-1%,0%,7.1,7.1,7.1,3.7,10.5,14.6,1.6,36.0,4.0
Charlie Morton,0,SP,8800,ATL,@SD,53%,4.34,5,0.330,20.0%,3.79,27.7%,3.59,3.53,R,0.303,0.290,5%,1%,0%,12.3,12.3,12.3,5.8,18.7,14.7,1.7,16.7,1.9
Trevor Rogers,5,RP,8500,MIA,SF,50%,4.00,5.5,0.325,26.1%,4.62,25.5%,3.93,3.82,L,0.295,0.315,1%,0%,0%,14.4,14.4,14.4,4.3,24.5,16.0,1.9,8.3,1.0
Cal Quantrill,0,SP,8300,CLE,@DET,56%,3.72,5,0.302,27.0%,3.44,17.7%,4.55,4.47,R,0.286,0.314,1%,5%,0%,5.9,5.9,5.9,2.7,9.0,14.1,1.7,22.5,2.7
Marco Gonzales,,SP,8100,SEA,MIL,55%,4.03,4.5,0.315,27.0%,5.00,15.3%,4.98,5.02,L,0.311,0.338,3%,0%,0%,9.9,9.9,9.9,-3.5,23.3,12.7,1.6,24.5,3.0
Jose Berrios,0,SP,8100,TOR,@HOU,50%,4.50,5,0.318,21.9%,4.89,23.2%,3.84,3.84,R,0.349,0.281,2%,-1%,0%,11.3,11.3,11.3,1.1,21.4,13.8,1.7,14.8,1.8
Mike Clevinger,,SP,7900,CWS,PHI,49%,4.31,5,0.325,22.9%,4.56,18.9%,4.62,4.89,R,0.313,0.309,0%,2%,0%,16.8,16.8,16.8,5.2,28.3,13.4,1.7,-1.4,-0.2
