Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Justin Steele,,P,11400,CHC,SD,51%,3.45,4.5,0.347,19.7%,3.83,24.4%,3.96,3.69,L,0.284,0.305,0%,3%,2%,42.3,42.3,42.3,35.6,48.9,30.0,2.6,37.0,3.2
Joe Ryan,2,P,11000,MIN,NYY,55%,3.08,6,0.316,21.7%,4.09,26.3%,3.78,4.13,R,0.274,0.286,0%,2%,0%,42.8,42.8,42.8,30.5,55.0,33.2,3.0,49.0,4.5
Drew Rasmussen,1,P,10800,TB,HOU,63%,3.22,5.5,0.310,22.6%,5.04,23.0%,3.75,3.54,R,0.258,0.277,1%,0%,0%,39.0,39.0,39.0,19.0,59.0,30.6,2.8,14.0,1.3
Nestor Cortes Jr.,0,P,10500,NYY,@MIN,45%,3.42,6,0.329,23.0%,4.22,26.6%,3.64,3.92,L,0.240,0.273,1%,2%,0%,34.5,34.5,34.5,27.9,41.1,31.5,3.0,24.0,2.3
Johan Oviedo,,P,10200,PIT,LAD,48%,4.33,5,0.328,22.0%,5.26,20.5%,4.59,4.53,R,0.311,0.304,0%,3%,0%,38.5,38.5,38.5,21.7,55.3,27.4,2.7,16.0,1.6
Charlie Morton,4,P,9800,ATL,MIA,68%,3.61,6.5,0.305,22.9%,3.13,27.6%,3.62,3.56,R,0.304,0.290,-1%,1%,0%,28.5,28.5,28.5,19.2,37.8,34.4,3.5,55.0,5.6
Martin Perez,,P,9500,TEX,@CIN,54%,4.53,4.5,0.323,,4.13,20.0%,4.26,4.06,L,0.287,0.328,-3%,2%,0%,28.8,28.8,28.8,20.4,37.1,26.7,2.8,38.0,4.0
Eric Lauer,2,P,9300,MIL,DET,61%,3.73,5.5,0.326,24.8%,3.05,23.6%,4.19,4.21,L,0.282,0.306,0%,3%,0%,29.8,29.8,29.8,13.7,45.8,31.1,3.3,9.0,1.0
Luis Garcia,,P,9000,HOU,@TB,37%,4.28,6,0.311,23.8%,6.83,25.5%,3.85,3.90,R,0.340,0.266,3%,0%,0%,27.3,27.3,27.3,6.4,48.1,28.2,3.1,49.0,5.4
Griffin Canning,1,P,8800,LAA,OAK,63%,3.87,5.5,0.316,24.3%,3.74,22.0%,4.65,4.73,R,0.329,0.355,-1%,1%,0%,21.5,21.5,21.5,20.8,22.2,28.4,3.2,33.0,3.8
Mike Clevinger,,P,8700,CWS,@TOR,36%,5.22,4,0.340,22.3%,4.57,18.5%,4.66,4.93,R,0.315,0.320,0%,4%,0%,24.5,24.5,24.5,4.7,44.3,21.9,2.5,6.0,0.7
Kyle Bradish,,P,8600,BAL,BOS,60%,3.99,4,0.328,19.2%,5.67,22.0%,4.09,3.93,R,0.291,0.348,-1%,4%,0%,28.5,28.5,28.5,3.8,53.2,25.9,3.0,-11.0,-1.3
Ryne Nelson,,P,8400,ARI,KC,56%,4.38,4.5,0.308,22.6%,3.35,18.8%,4.88,4.91,R,,,-2%,-1%,0%,21.5,21.5,21.5,12.1,30.9,24.9,3.0,12.0,1.4
Noah Syndergaard,,P,8200,LAD,@PIT,52%,4.17,4.5,0.297,24.1%,4.83,17.4%,4.35,4.26,R,0.340,0.301,0%,3%,0%,24.8,24.8,24.8,6.5,43.0,26.3,3.2,-3.0,-0.4
