Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Mike Trout,,OF,26,LAA,WAS,5.38,Gray,0.321,0%,R,R,0.427,2%,0.357,13%,2,2,0,2%,-5%,0%,12.2,12.2,12.2,4.0,20.3,10.8,4.2,2.6,1.0
Aaron Judge,,OF,25,NYY,@CLE,4.82,Gaddis,,-1%,R,R,0.432,1%,0.320,0%,2,2,0,-2%,-1%,0%,11.9,11.9,11.9,3.2,20.7,10.6,4.2,7.1,2.8
Julio Rodriguez,,OF,24,SEA,@CHC,5.14,Wesneski,,-1%,R,R,,-1%,,-2%,1,1,0,0%,0%,0%,11.6,10.6,10.6,4.1,17.0,9.6,4.0,1.9,0.8
Paul Goldschmidt,,1B,24,STL,@COL,6.76,Freeland,0.334,3%,L,R,0.464,15%,0.324,30%,3,3,0,27%,2%,0%,9.2,9.2,9.2,3.2,15.1,13.0,5.4,12.8,5.3
Matt Olson,,1B,23,ATL,CIN,5.43,Cessa,0.292,-5%,R,L,0.365,2%,0.251,-1%,2,2,0,-2%,-4%,0%,12.5,12.3,12.3,1.8,22.8,9.6,4.2,14.2,6.2
Ronald Acuna Jr.,,OF,23,ATL,CIN,5.43,Cessa,0.310,-3%,R,R,0.369,0%,0.213,-2%,1,1,0,1%,-3%,0%,11.8,11.6,11.6,4.1,19.1,10.4,4.5,9.7,4.2
Pete Alonso,,1B,23,NYM,SD,4.81,Weathers,0.365,9%,L,R,0.365,0%,0.301,14%,4,4,0,-4%,-1%,0%,11.2,10.4,10.4,-0.4,21.1,9.3,4.0,7.1,3.1
Yordan Alvarez,,OF,23,HOU,@PIT,4.46,Keller,0.352,7%,R,L,0.400,-1%,0.292,2%,3,3,0,6%,-1%,0%,12.6,12.6,12.6,5.4,19.9,10.6,4.6,2.6,1.1
Jordan Walker,,OF,23,STL,@COL,6.76,Freeland,0.334,3%,L,R,,2%,,7%,7,8,0,29%,2%,0%,8.6,8.6,8.6,1.3,15.8,8.8,3.8,4.5,2.0
Rafael Devers,,3B,22,BOS,@TB,3.27,McClanahan,0.294,-11%,L,L,0.316,-12%,0.146,-36%,2,2,0,-9%,0%,0%,11.2,11.2,11.2,0.0,22.5,6.6,3.0,4.5,2.0
Wander Franco,,SS,22,TB,BOS,4.23,Whitlock,0.290,-8%,R,L,0.321,-6%,0.152,-10%,4,4,-1,-2%,0%,0%,11.9,11.9,11.9,3.8,20.1,7.2,3.3,7.1,3.2
Xander Bogaerts,,SS,22,SD,@NYM,4.19,Peterson,0.340,4%,L,R,0.387,4%,0.203,7%,1,1,2,-6%,-1%,0%,10.7,11.1,11.1,5.0,17.3,8.5,3.9,18.7,8.5
Will Smith,,C,22,LAD,@SF,4.37,Wood,0.324,1%,L,R,0.337,-4%,0.192,-8%,3,3,0,-3%,-3%,0%,12.6,12.6,12.6,5.5,19.7,8.5,3.9,0.0,0.0
Gleyber Torres,,2B,21,NYY,@CLE,4.82,Gaddis,,-1%,R,R,0.315,-5%,0.139,-18%,4,5,0,-1%,-1%,0%,12.9,12.9,12.9,1.8,23.9,7.6,3.6,7.1,3.4
Matt Chapman,,3B,21,TOR,DET,5.58,Manning,0.313,-2%,R,R,0.321,-3%,0.188,-11%,5,5,0,0%,-1%,0%,13.8,13.8,13.8,3.5,24.1,8.1,3.9,18.7,8.9
Bo Bichette,,SS,21,TOR,DET,5.58,Manning,0.313,-2%,R,R,0.346,-3%,0.177,-6%,2,2,0,1%,-1%,0%,11.3,11.3,11.3,2.6,20.0,9.2,4.4,14.2,6.8
Randy Arozarena,,OF,21,TB,BOS,4.23,Whitlock,0.265,-12%,R,R,0.330,-6%,0.164,-15%,3,3,0,-4%,0%,0%,12.2,12.2,12.2,5.6,18.7,8.0,3.8,0.0,0.0
