Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Aaron Judge,,OF,25,NYY,@BAL,4.02,Wells,0.315,-4%,R,R,0.428,1%,0.314,0%,2,,0,5%,-8%,0%,10.3,10.3,10.3,5.3,15.2,9.7,3.9,32.9,13.2
Julio Rodriguez,,OF,25,SEA,@CLE,4.20,Plesac,0.311,-2%,R,R,,-1%,,-2%,1,,0,0%,0%,0%,11.4,11.4,11.4,4.5,18.3,7.8,3.1,8.7,3.5
Mike Trout,,OF,24,LAA,TOR,5.29,Kikuchi,0.369,10%,L,R,0.408,-2%,0.271,-12%,2,2,0,2%,-2%,0%,13.5,13.5,13.5,5.3,21.8,11.0,4.6,11.6,4.8
James Outman,,OF,24,LAD,@ARI,5.03,Nelson,,1%,R,L,0.542,6%,0.400,10%,7,6,0,7%,1%,0%,13.8,13.8,13.8,4.7,22.8,8.1,3.4,0.0,0.0
Shohei Ohtani,,OF,23,LAA,TOR,5.29,Kikuchi,0.250,-10%,L,L,0.357,-5%,0.250,-8%,3,3,0,5%,-2%,0%,11.8,11.8,11.8,3.9,19.7,10.0,4.3,25.1,10.9
Jose Ramirez,,3B,23,CLE,SEA,3.80,Kirby,0.258,-9%,R,S,0.379,2%,0.268,5%,3,,0,0%,-6%,-3%,9.5,9.5,9.5,2.6,16.4,8.6,3.7,15.8,6.9
Rafael Devers,,3B,23,BOS,@DET,4.08,Boyd,0.239,-14%,L,L,0.317,-12%,0.144,-37%,2,,0,-14%,-6%,0%,13.4,13.4,13.4,1.8,24.9,7.7,3.3,5.2,2.3
Yordan Alvarez,,OF,23,HOU,@MIN,4.11,Mahle,0.264,-13%,R,L,0.398,-1%,0.291,2%,3,,0,3%,-3%,0%,12.5,12.5,12.5,5.7,19.4,9.5,4.1,4.5,2.0
Ronald Acuna Jr.,,OF,23,ATL,SD,4.67,Lugo,0.304,-5%,R,R,0.368,0%,0.217,-1%,1,1,0,1%,-6%,0%,11.8,11.8,11.8,3.6,19.9,9.6,4.2,13.9,6.0
Pete Alonso,,1B,23,NYM,MIA,4.52,Garrett,0.360,8%,L,R,0.363,0%,0.298,13%,4,,0,-4%,-9%,-1%,12.2,12.2,12.2,1.1,23.2,8.0,3.5,4.5,2.0
