Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Zac Gallen,,P,11600,ARI,KC,70%,3.07,7,0.299,21.5%,3.42,27.3%,3.54,3.48,R,0.252,0.296,-2%,0%,0%,42.8,42.8,42.8,19.0,66.6,36.2,3.1,65.0,5.6
Bryce Elder,2,P,10900,ATL,MIA,56%,3.68,5,0.308,22.9%,3.17,21.7%,4.16,3.97,R,0.273,0.298,-1%,2%,0%,38.8,38.8,38.8,29.3,48.3,31.2,2.9,13.0,1.2
Graham Ashcraft,,P,10600,CIN,TEX,50%,4.26,5,0.312,24.5%,6.57,16.4%,4.26,4.08,R,0.237,0.387,-3%,6%,-1%,36.0,36.0,36.0,25.3,46.7,25.0,2.4,25.0,2.4
Koudai Senga,4,P,10400,NYM,WAS,65%,3.52,6,0.299,20.5%,3.68,,,,R,,,0%,1%,0%,32.5,32.5,32.5,20.3,44.7,33.1,3.2,30.0,2.9
Anthony DeSclafani,,P,10200,SF,STL,50%,4.50,4.5,0.335,22.1%,4.50,22.0%,4.01,3.84,R,0.333,0.269,1%,0%,0%,33.0,33.0,33.0,22.4,43.6,25.9,2.5,40.0,3.9
Freddy Peralta,3,P,10000,MIL,DET,65%,3.51,8.5,0.303,28.8%,3.09,30.6%,3.54,3.72,R,0.250,0.267,0%,2%,0%,31.8,31.8,31.8,13.5,50.0,38.2,3.8,52.0,5.2
Logan Gilbert,1,P,10000,SEA,@PHI,52%,4.16,5.5,0.324,23.6%,4.46,24.3%,3.78,3.87,R,0.266,0.327,-1%,2%,-2%,34.8,34.8,34.8,23.0,46.5,30.5,3.1,21.0,2.1
Sandy Alcantara,2,P,9800,MIA,@ATL,43%,4.32,6,0.330,23.7%,5.17,23.5%,3.59,3.40,R,0.275,0.271,-3%,4%,0%,24.0,24.0,24.0,0.2,47.8,30.6,3.1,29.0,3.0
MacKenzie Gore,,P,9700,WAS,@NYM,35%,4.98,4.5,0.338,19.4%,4.67,24.6%,4.46,4.31,L,,0.310,0%,3%,-1%,33.5,33.5,33.5,26.1,40.9,24.4,2.5,55.0,5.7
Hunter Brown,2,P,9500,HOU,@TB,48%,4.09,6,0.315,21.7%,6.54,26.0%,3.48,3.38,R,,,2%,0%,0%,34.5,34.5,34.5,17.4,51.6,28.2,3.0,55.0,5.8
Patrick Sandoval,4,P,9200,LAA,OAK,70%,3.68,5,0.321,,3.71,23.9%,4.08,3.79,L,0.246,0.313,-1%,0%,0%,22.5,22.5,22.5,15.2,29.8,30.6,3.3,40.0,4.3
Tony Gonsolin,1,P,9000,LAD,@PIT,56%,3.93,6,0.315,24.0%,4.92,25.0%,4.01,3.98,R,0.244,0.277,0%,2%,0%,0.0,0.0,0.0,0.0,0.0,23.3,2.6,13.0,1.4
Drew Smyly,2,P,8800,CHC,SD,52%,3.93,3.5,0.352,18.2%,3.68,21.3%,4.21,4.29,L,0.296,0.323,0%,3%,2%,32.5,32.5,32.5,8.7,56.3,25.4,2.9,21.0,2.4
Yusei Kikuchi,1,P,8700,TOR,CWS,63%,4.31,6,0.328,25.4%,4.00,25.5%,4.09,3.92,L,0.255,0.367,0%,0%,0%,30.8,30.8,30.8,14.2,47.3,29.8,3.4,47.0,5.4
Kenta Maeda,,P,8500,MIN,NYY,50%,3.75,4,0.317,20.9%,4.00,24.8%,3.95,4.03,R,0.297,0.310,0%,2%,0%,19.0,19.0,19.0,0.7,37.3,24.4,2.9,-15.0,-1.8
Jon Gray,,P,8400,TEX,@CIN,50%,4.24,5,0.313,20.7%,4.25,24.5%,3.99,3.87,R,0.331,0.291,-3%,3%,-1%,22.3,22.3,22.3,8.7,35.8,28.4,3.4,19.0,2.3
Tanner Houck,,P,8200,BOS,@BAL,46%,4.44,4.5,0.329,20.9%,5.17,26.7%,3.48,3.44,R,0.311,0.243,1%,2%,0%,30.3,30.3,30.3,21.6,38.9,25.8,3.1,12.0,1.5
Tanner Bibee,,P,8100,CLE,COL,62%,3.25,5,0.319,22.3%,3.88,,,,R,,,-1%,3%,1%,0.0,0.0,0.0,0.0,0.0,26.2,3.2,44.0,5.4
Domingo German,,P,8000,NYY,@MIN,50%,3.75,4.5,0.316,23.3%,4.29,22.9%,4.03,4.19,R,0.289,0.321,1%,2%,0%,28.8,28.8,28.8,6.7,50.8,26.9,3.4,30.0,3.8
Taijuan Walker,,P,7700,PHI,SEA,48%,4.34,4.5,0.322,23.1%,4.48,21.2%,4.30,4.20,R,0.302,0.302,0%,3%,-2%,27.0,27.0,27.0,17.7,36.3,27.9,3.6,15.0,1.9
Tyler Wells,,P,7600,BAL,BOS,54%,4.06,4,0.331,19.8%,5.76,21.5%,4.12,4.46,R,0.229,0.310,-1%,3%,0%,26.7,26.7,26.7,14.4,38.9,24.7,3.3,38.0,5.0
Roansy Contreras,,P,7400,PIT,LAD,43%,4.57,5,0.327,21.6%,5.38,21.2%,4.47,4.53,R,0.313,0.314,1%,3%,0%,27.3,27.3,27.3,5.1,49.4,24.1,3.3,43.0,5.8
German Marquez,,P,7100,COL,@CLE,38%,4.25,3.5,0.331,16.1%,3.79,21.2%,4.14,3.81,R,0.334,0.297,1%,3%,1%,26.7,26.7,26.7,16.2,37.2,23.0,3.2,14.0,2.0
Steven Matz,1,P,6900,STL,@SF,50%,4.50,5,0.332,24.1%,4.52,23.3%,3.93,3.74,L,0.316,0.327,1%,0%,0%,22.5,22.5,22.5,14.6,30.4,29.6,4.3,15.0,2.2
Michael Wacha,2,P,6700,SD,@CHC,48%,4.07,4.5,0.318,23.9%,5.77,21.4%,4.08,4.01,R,0.308,0.342,0%,5%,4%,20.8,20.8,20.8,-5.1,46.6,25.9,3.9,21.0,3.1
Michael Kopech,,P,6500,CWS,@TOR,38%,5.69,4,0.337,19.1%,4.67,26.4%,4.04,4.26,R,0.303,0.296,0%,0%,0%,21.8,21.8,21.8,10.5,33.0,22.9,3.5,15.0,2.3
Michael Lorenzen,,P,6300,DET,@MIL,35%,4.99,4,0.325,23.1%,4.71,20.2%,4.51,4.33,R,0.313,0.291,0%,4%,1%,19.5,19.5,19.5,8.9,30.1,22.3,3.5,15.0,2.4
Ryan Yarbrough,,P,5700,KC,@ARI,30%,4.93,2.5,0.327,17.9%,4.76,17.2%,4.46,4.74,L,0.278,0.351,-10%,-1%,0%,0.0,0.0,0.0,0.0,0.0,15.3,2.7,15.0,2.6
Calvin Faucher,,P,5600,TB,HOU,52%,3.91,1.5,0.319,23.1%,5.04,20.1%,4.00,4.28,R,,,1%,0%,0%,8.5,8.5,8.5,5.0,12.0,14.0,2.5,6.0,1.1
