Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Aaron Judge,3,OF,4600,NYY,MIN,4.81,Ryan,0.290,-8%,R,R,0.430,1%,0.317,0%,2,,0,1%,5%,1%,13.0,14.2,14.2,2.9,25.5,15.0,3.3,0.0,0.0
Matt Chapman,1,3B,4500,TOR,DET,5.79,Turnbull,,-3%,R,R,0.323,-3%,0.191,-11%,x,x,-,0%,0%,0%,21.0,18.8,18.8,5.6,32.0,0.0,0.0,0.0,0.0
Bo Bichette,,SS,4300,TOR,DET,5.79,Turnbull,,-3%,R,R,0.346,-3%,0.179,-6%,2,,0,1%,-1%,0%,13.8,14.0,14.0,2.6,25.5,12.9,3.0,6.0,1.4
Rafael Devers,,3B,4200,BOS,@TB,3.17,Springs,0.330,-7%,L,L,0.318,-12%,0.150,-35%,x,x,-,0%,0%,0%,14.8,15.2,15.2,0.4,29.9,0.0,0.0,0.0,0.0
Bryan Reynolds,,OF,4100,PIT,@STL,3.29,Montgomery,0.304,-4%,L,S,0.341,-6%,0.169,-20%,x,x,-,0%,0%,0%,19.4,17.2,17.2,-0.5,35.0,0.0,0.0,0.0,0.0
Wander Franco,1,SS,4100,TB,BOS,4.83,Kluber,0.308,-3%,R,L,0.323,-6%,0.154,-11%,4,,-1,-2%,0%,0%,15.2,17.1,17.1,5.4,28.9,10.7,2.6,6.2,1.5
Brandon Lowe,,2B,4000,TB,BOS,4.83,Kluber,0.308,-3%,R,L,0.373,5%,0.263,4%,2,,0,-2%,0%,0%,17.4,17.4,17.4,0.8,34.1,11.6,2.9,28.4,7.1
Vladimir Guerrero Jr.,1,1B,3900,TOR,DET,5.79,Turnbull,,-3%,R,R,0.392,4%,0.256,8%,3,,0,1%,-1%,0%,13.6,13.9,13.9,5.5,22.3,13.7,3.5,9.5,2.4
Gleyber Torres,1,2B,3900,NYY,MIN,4.81,Ryan,0.290,-8%,R,R,0.315,-5%,0.138,-18%,1,,3,0%,4%,1%,14.4,16.2,16.2,1.8,30.7,11.1,2.8,0.0,0.0
Paul Goldschmidt,3,1B,3800,STL,PIT,5.21,Velasquez,0.340,4%,R,R,0.374,-6%,0.211,-13%,3,,0,-3%,-1%,0%,12.4,13.2,13.2,5.0,21.4,13.1,3.4,6.0,1.6
Xander Bogaerts,1,SS,3800,SD,MIL,4.90,Rea,,-1%,R,R,0.364,-2%,0.183,-4%,4,4,-1,-4%,-5%,1%,13.7,14.6,14.6,5.7,23.5,10.6,2.8,6.0,1.6
Randy Arozarena,,OF,3800,TB,BOS,4.83,Kluber,0.324,1%,R,R,0.327,-6%,0.163,-16%,3,,0,-5%,0%,0%,16.7,16.3,16.3,5.9,26.7,11.7,3.1,9.7,2.6
George Springer,1,OF,3700,TOR,DET,5.79,Turnbull,,-3%,R,R,0.360,0%,0.232,0%,1,,0,0%,-1%,0%,9.9,11.9,11.9,2.0,21.8,13.3,3.6,3.0,0.8
Nolan Arenado,1,3B,3700,STL,PIT,5.21,Velasquez,0.340,4%,R,R,0.351,-3%,0.215,-11%,4,,0,-4%,-1%,0%,12.3,12.6,12.6,2.7,22.6,11.8,3.2,3.0,0.8
Adley Rutschman,,C,3700,BAL,OAK,5.97,Oller,0.388,11%,R,L,0.392,6%,0.225,13%,2,,0,2%,2%,0%,11.4,13.7,13.7,0.4,27.0,13.0,3.5,18.7,5.1
Juan Soto,3,OF,3600,SD,MIL,4.90,Rea,,1%,R,L,0.428,9%,0.250,12%,3,3,0,-3%,-5%,1%,13.3,11.9,11.9,1.4,22.4,13.2,3.7,0.0,0.0
Jorge Mateo,,SS,3600,BAL,OAK,5.97,Oller,0.378,10%,R,R,0.291,1%,0.150,-1%,9,,-1,1%,2%,0%,14.9,14.9,14.9,3.8,25.9,9.9,2.8,13.0,3.6
Fernando Tatis Jr.,,OF,3500,SD,MIL,4.90,Rea,,-1%,R,R,0.404,-1%,0.334,5%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Byron Buxton,,OF,3500,MIN,@NYY,4.19,Brito,,-1%,R,R,0.373,-1%,0.309,2%,3,,-2,5%,5%,1%,11.5,11.5,11.5,3.6,19.4,12.6,3.6,9.2,2.6
Bryce Harper,,OF,3500,PHI,@CIN,4.42,Lodolo,,-2%,L,L,0.371,-8%,0.220,-20%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trea Turner,1,SS,3500,PHI,@CIN,4.42,Lodolo,0.335,3%,L,R,0.407,10%,0.247,32%,2,,-1,7%,1%,0%,9.2,10.5,10.5,1.9,19.0,13.2,3.8,9.2,2.6
Willy Adames,2,SS,3500,MIL,@SD,4.10,Martinez,0.314,-2%,R,R,0.348,6%,0.232,9%,2,3,0,-9%,-6%,1%,13.5,12.0,12.0,0.9,23.1,11.0,3.1,18.0,5.1
Cedric Mullins,2,OF,3500,BAL,OAK,5.97,Oller,0.388,11%,R,S,0.358,7%,0.204,13%,1,,1,1%,2%,0%,8.2,12.3,12.3,-0.4,24.9,13.6,3.9,12.0,3.4
Giancarlo Stanton,2,OF,3400,NYY,MIN,4.81,Ryan,0.290,-8%,R,R,0.355,1%,0.261,5%,4,,0,1%,5%,1%,11.9,11.9,11.9,3.7,20.1,11.1,3.3,0.0,0.0
Alec Bohm,,3B,3400,PHI,@CIN,4.42,Lodolo,0.335,3%,L,R,0.376,17%,0.182,40%,6,,0,9%,1%,0%,11.0,12.6,12.6,-2.4,27.5,9.9,2.9,3.0,0.9
Masataka Yoshida,,OF,3400,BOS,@TB,3.17,Springs,0.330,-7%,L,L,,-6%,,-16%,x,x,-,0%,0%,0%,12.2,12.2,12.2,1.0,23.4,0.0,0.0,0.0,0.0
Ryan Mountcastle,1,1B,3400,BAL,OAK,5.97,Oller,0.378,10%,R,R,0.321,-2%,0.196,-5%,3,,0,2%,2%,0%,15.9,16.9,16.9,-1.8,35.6,12.3,3.6,18.7,5.5
Nelson Cruz,,OF,3300,SD,MIL,4.90,Rea,,-1%,R,R,0.307,-12%,0.170,-21%,5,x,-1,-4%,-6%,1%,14.9,14.9,14.9,-5.3,35.0,8.6,2.6,3.0,0.9
Jonathan India,2,2B,3300,CIN,PHI,4.58,Falter,0.340,4%,L,R,0.344,1%,0.126,-11%,1,,0,5%,1%,0%,12.4,12.9,12.9,5.2,20.6,11.3,3.4,18.2,5.5
Anthony Rizzo,2,1B,3300,NYY,MIN,4.81,Ryan,0.273,-10%,R,L,0.333,-3%,0.213,2%,3,,0,1%,4%,1%,10.6,9.9,9.9,0.7,19.1,11.2,3.4,40.4,12.2
Nolan Gorman,3,2B,3300,STL,PIT,5.21,Velasquez,0.365,9%,R,L,0.338,2%,0.228,6%,6,,0,-5%,-1%,0%,14.4,14.4,14.4,2.0,26.8,10.6,3.2,9.0,2.7
Brandon Marsh,,OF,3300,PHI,@CIN,4.42,Lodolo,,-2%,L,L,0.248,-11%,0.076,-28%,x,x,-,0%,0%,0%,13.8,13.8,13.8,2.4,25.3,0.0,0.0,3.0,0.9
Yandy Diaz,1,1B/3B,3300,TB,BOS,4.83,Kluber,0.324,1%,R,R,0.344,-3%,0.117,-19%,1,,0,-5%,0%,0%,15.0,15.0,15.0,-1.9,32.0,10.4,3.2,18.7,5.7
Jose Siri,,OF,3300,TB,BOS,4.83,Kluber,0.324,1%,R,R,0.308,1%,0.170,1%,x,x,-,0%,0%,0%,16.3,16.3,16.3,7.8,24.8,0.0,0.0,0.0,0.0
Joey Gallo,,OF,3200,MIN,@NYY,4.19,Brito,,1%,R,L,0.336,1%,0.256,1%,x,x,-,0%,0%,0%,14.2,14.2,14.2,-8.9,37.3,0.0,0.0,0.0,0.0
Kyle Schwarber,,OF,3200,PHI,@CIN,4.42,Lodolo,,-2%,L,L,0.314,-12%,0.176,-35%,3,,-1,18%,1%,0%,11.2,9.6,9.6,0.0,19.2,11.1,3.5,21.7,6.8
Nick Castellanos,,OF,3200,PHI,@CIN,4.42,Lodolo,0.335,3%,L,R,0.381,6%,0.232,10%,4,,0,10%,1%,0%,10.6,11.7,11.7,2.9,20.5,10.7,3.3,6.5,2.0
Daulton Varsho,2,OF,3200,TOR,DET,5.79,Turnbull,0.299,-3%,R,L,0.337,5%,0.230,19%,4,,0,-5%,-1%,0%,11.6,12.1,12.1,5.7,18.4,12.4,3.9,0.0,0.0
Christian Yelich,2,OF,3200,MIL,@SD,4.10,Martinez,0.314,-1%,R,L,0.337,-1%,0.133,-15%,1,1,1,-5%,-4%,1%,10.9,9.8,9.8,1.9,17.8,10.6,3.3,15.4,4.8
Brian Anderson,,3B/OF,3200,MIL,@SD,4.10,Martinez,0.314,-2%,R,R,0.321,3%,0.132,-9%,6,7,0,-8%,-5%,1%,13.3,12.3,12.3,-4.3,29.0,8.5,2.7,3.0,0.9
Garrett Mitchell,1,OF,3200,MIL,@SD,4.10,Martinez,0.314,-1%,R,L,0.375,3%,0.196,4%,5,6,1,-5%,-4%,1%,12.4,11.3,11.3,0.4,22.2,9.8,3.1,0.0,0.0
Lars Nootbaar,,OF,3200,STL,PIT,5.21,Velasquez,0.365,9%,R,L,0.327,-1%,0.209,1%,x,x,-,0%,0%,0%,12.2,12.2,12.2,12.2,12.2,0.0,0.0,0.0,0.0
Manny Machado,1,3B,3200,SD,MIL,4.90,Rea,,-1%,R,R,0.364,-2%,0.217,-6%,2,2,0,-4%,-6%,1%,8.7,8.0,8.0,0.7,15.4,11.8,3.7,18.7,5.8
Josh Lowe,,OF,3200,TB,BOS,4.83,Kluber,0.308,-3%,R,L,0.350,5%,0.193,7%,8,,-1,-2%,0%,0%,15.6,15.6,15.6,4.6,26.6,8.7,2.7,6.2,1.9
Jordan Walker,,OF/3B,3100,STL,PIT,5.21,Velasquez,0.340,4%,R,R,0.382,0%,0.132,-3%,8,,-1,-3%,-1%,0%,10.3,10.4,10.4,1.4,19.4,9.0,2.9,0.0,0.0
Franchy Cordero,,1B/OF,3100,NYY,MIN,4.81,Ryan,0.273,-10%,R,L,0.295,1%,0.175,6%,7,,0,1%,4%,1%,17.2,17.2,17.2,6.6,27.8,8.3,2.7,0.0,0.0
