Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Ronald Acuna Jr.,1,OF,6500,ATL,HOU,4.27,Valdez,0.278,-10%,L,R,0.371,0%,0.223,4%,1,1,0,2%,-4%,3%,12.8,12.6,12.6,5.5,19.7,9.3,1.4,21.0,3.2
Yordan Alvarez,4,OF,6400,HOU,@ATL,4.23,Wright,0.330,2%,R,L,0.394,-1%,0.286,0%,3,3,0,-3%,-5%,4%,9.2,10.7,10.7,3.6,17.7,9.1,1.4,16.0,2.5
Randy Arozarena,1,OF,6300,TB,CWS,4.04,Cease,0.261,-13%,R,R,0.327,-7%,0.160,-17%,3,3,0,-4%,0%,0%,9.0,10.8,10.8,4.0,17.7,7.6,1.2,26.0,4.1
Paul Goldschmidt,,1B,6300,STL,@SEA,3.35,Castillo,0.283,-8%,R,R,0.371,-6%,0.210,-13%,3,3,0,1%,0%,0%,9.4,9.0,9.0,2.5,15.5,7.0,1.1,0.0,0.0
Aaron Judge,3,OF,6200,NYY,TOR,3.94,Manoah,0.230,-20%,R,R,0.430,1%,0.319,1%,2,,0,1%,-4%,-10%,7.3,9.7,9.7,1.7,17.6,8.9,1.4,0.0,0.0
Matt Olson,,1B,6200,ATL,HOU,4.27,Valdez,0.279,-11%,L,L,0.346,-3%,0.249,-2%,2,2,0,-2%,-5%,4%,9.3,10.9,10.9,1.3,20.5,7.0,1.1,5.0,0.8
Trea Turner,6,SS,6100,PHI,COL,5.94,Freeland,0.340,4%,L,R,0.407,10%,0.245,32%,1,2,1,2%,0%,7%,9.4,8.8,8.8,0.6,17.1,11.8,1.9,0.0,0.0
Shohei Ohtani,5,1B/OF,6100,LAA,KC,5.36,Greinke,0.277,-10%,R,L,0.386,3%,0.282,5%,3,2,0,5%,0%,0%,12.1,12.5,12.5,1.6,23.5,10.2,1.7,0.0,0.0
Wander Franco,0,SS,6000,TB,CWS,4.04,Cease,0.305,-4%,R,L,0.317,-7%,0.150,-11%,2,4,1,-2%,0%,0%,6.8,9.9,9.9,1.6,18.3,7.4,1.2,5.0,0.8
Rafael Devers,,3B,6000,BOS,@MIL,4.00,Miley,0.231,-14%,L,L,0.318,-12%,0.154,-33%,4,4,-1,-3%,0%,0%,8.7,10.0,10.0,0.7,19.3,7.5,1.3,21.0,3.5
Kyle Schwarber,4,OF,5900,PHI,COL,5.94,Freeland,0.360,6%,L,L,0.317,-12%,0.181,-33%,3,3,0,1%,0%,10%,8.0,7.8,7.8,0.5,15.1,9.7,1.6,0.0,0.0
Kyle Tucker,5,OF,5900,HOU,@ATL,4.23,Wright,0.330,2%,R,L,0.378,4%,0.231,-3%,5,5,0,-2%,-5%,3%,8.8,9.4,9.4,1.6,17.2,8.6,1.5,16.0,2.7
Pete Alonso,,1B,5800,NYM,@SF,4.07,Webb,0.253,-15%,R,R,0.366,0%,0.243,-9%,4,4,0,0%,1%,0%,13.6,11.8,11.8,2.1,21.5,8.3,1.4,0.0,0.0
Julio Rodriguez,2,OF,5800,SEA,STL,4.15,Mikolas,0.307,-3%,R,R,,-1%,,-2%,1,1,0,0%,0%,0%,9.4,10.4,10.4,3.9,17.0,7.9,1.4,0.0,0.0
Marcus Semien,6,2B,5800,TEX,OAK,5.23,Fujinami,,-1%,R,R,0.350,1%,0.240,5%,1,1,0,-1%,-6%,0%,13.1,10.4,10.4,1.5,19.4,9.3,1.6,16.0,2.8
Austin Riley,3,3B,5800,ATL,HOU,4.27,Valdez,0.278,-10%,L,R,0.391,4%,0.277,12%,3,3,0,2%,-6%,4%,8.7,8.7,8.7,3.4,14.0,7.6,1.3,0.0,0.0
