Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Spencer Strider,1,P,54,ATL,@SD,56%,3.51,6.5,0.334,21.0%,3.94,38.0%,2.52,2.47,R,0.247,0.233,3%,1%,0%,25.6,25.6,25.6,17.9,33.4,23.5,4.4,35.5,6.6
Clayton Kershaw,,P,50,LAD,NYM,57%,3.64,5,0.338,19.3%,4.88,28.3%,3.08,2.90,L,0.237,0.272,1%,3%,0%,21.0,21.0,21.0,8.3,33.8,18.6,3.7,40.3,8.1
Marcus Stroman,0,P,45,CHC,@OAK,63%,3.22,5,0.314,,3.71,21.7%,3.83,3.51,R,0.291,0.277,3%,2%,0%,27.0,27.0,27.0,20.4,33.6,19.4,4.3,24.4,5.4
Logan Gilbert,,P,44,SEA,MIL,59%,3.59,5.5,0.328,23.1%,4.94,24.1%,3.81,3.89,R,0.268,0.324,2%,0%,0%,22.6,22.6,22.6,11.9,33.3,18.8,4.3,21.5,4.9
Sonny Gray,,P,42,MIN,@BOS,52%,4.17,5,0.324,22.1%,5.35,25.7%,3.81,3.69,R,0.275,0.301,-5%,3%,-1%,26.6,26.6,26.6,13.5,39.6,15.4,3.7,18.9,4.5
Nathan Eovaldi,0,P,40,TEX,@KC,51%,4.44,5,0.310,22.6%,3.18,24.5%,3.56,3.43,R,0.295,0.321,-1%,0%,0%,15.1,15.1,15.1,8.9,21.4,16.1,4.0,20.8,5.2
Blake Snell,,P,39,SD,ATL,44%,3.99,5.5,0.339,21.6%,5.24,31.0%,3.68,3.54,L,0.264,0.313,2%,1%,0%,8.6,8.6,8.6,-1.8,19.0,18.9,4.8,15.6,4.0
Jordan Montgomery,0,P,39,STL,ARI,60%,3.57,4.5,0.330,19.7%,4.41,23.1%,3.84,3.66,L,0.246,0.305,1%,1%,3%,23.0,23.0,23.0,9.3,36.7,18.1,4.6,-7.0,-1.8
Chris Sale,1,P,38,BOS,MIN,48%,4.33,5,0.333,21.1%,3.94,27.9%,3.53,3.41,L,,0.375,-2%,3%,0%,8.2,8.2,8.2,-3.3,19.7,15.6,4.1,31.7,8.3
Chris Bassitt,,P,35,TOR,@HOU,49%,4.53,4.5,0.319,21.9%,5.06,23.3%,3.88,3.91,R,0.309,0.274,3%,0%,0%,8.5,8.5,8.5,-13.6,30.6,15.8,4.5,29.4,8.4
Jose Urquidy,,P,35,HOU,TOR,51%,4.47,3.5,0.339,20.0%,4.82,20.3%,4.24,4.37,R,0.268,0.324,2%,0%,0%,16.4,16.4,16.4,9.7,23.1,13.4,3.8,4.9,1.4
Colin Rea,,P,33,MIL,@SEA,41%,4.41,4.5,0.319,23.5%,4.53,,,,R,,,4%,0%,0%,24.3,24.3,24.3,24.3,24.3,13.1,4.0,3.8,1.2
Drey Jameson,,P,32,ARI,@STL,40%,4.43,4,0.329,22.8%,4.12,24.7%,3.60,3.41,R,,,8%,1%,3%,17.3,17.3,17.3,17.3,17.3,12.9,4.0,6.7,2.1
Tylor Megill,,P,30,NYM,@LAD,42%,4.36,5,0.323,21.7%,5.35,25.3%,3.83,3.83,R,0.401,0.243,1%,3%,0%,20.3,20.3,20.3,16.1,24.5,14.2,4.7,7.1,2.4
Brad Keller,,P,30,KC,TEX,49%,4.56,5,0.305,26.0%,5.50,18.3%,4.69,4.44,R,0.325,0.350,-1%,0%,0%,21.4,21.4,21.4,12.0,30.7,13.7,4.6,2.8,0.9
Dean Kremer,,P,29,BAL,@WAS,56%,4.15,4,0.302,20.5%,3.88,17.4%,4.81,4.90,R,0.333,0.351,5%,2%,0%,2.1,2.1,2.1,-2.9,7.1,14.0,4.8,31.5,10.9
Vince Velasquez,,P,29,PIT,@COL,50%,6.48,4,0.322,21.5%,3.88,22.6%,4.52,4.86,R,0.362,0.334,-12%,2%,0%,9.7,9.7,9.7,-9.6,29.0,8.2,2.8,22.8,7.9
Jose Suarez,,P,29,LAA,@NYY,42%,5.19,3.5,0.337,19.0%,4.62,21.1%,4.18,4.11,L,0.343,0.306,0%,5%,-1%,0.0,0.0,0.0,-2.7,2.6,11.7,4.0,-0.1,-0.0
Clarke Schmidt,,P,27,NYY,LAA,57%,4.31,4,0.343,24.7%,5.06,22.3%,4.12,4.27,R,0.406,0.252,-1%,4%,-1%,5.0,5.0,5.0,1.1,9.0,13.3,4.9,6.7,2.5
Josiah Gray,,P,26,WAS,BAL,43%,4.85,5,0.326,21.1%,5.88,23.6%,4.38,4.72,R,0.386,0.324,3%,2%,0%,12.2,12.2,12.2,4.7,19.7,13.9,5.3,11.8,4.5
Ken Waldichuk,,P,26,OAK,CHC,37%,4.28,4.5,0.327,22.2%,5.53,20.1%,4.41,4.69,L,,0.417,2%,2%,0%,2.0,2.0,2.0,-10.4,14.4,13.9,5.3,17.8,6.8
Jose Urena,,P,25,COL,PIT,50%,6.52,3.5,0.305,23.2%,4.71,14.5%,5.09,4.84,R,0.402,0.323,-8%,2%,0%,-0.2,-0.2,-0.2,-13.9,13.5,6.3,2.5,-0.1,-0.0
