Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Kodai Senga,7,SP,10400,NYM,@OAK,67%,3.25,7.5,0.309,24.7%,3.92,,,,R,,,2%,1%,0%,25.1,25.1,25.1,23.4,26.9,19.0,1.8,9.9,1.0
Drew Rasmussen,0,SP,10000,TB,@TOR,53%,4.33,5,0.341,22.2%,5.23,22.8%,3.71,3.52,R,0.253,0.271,-2%,0%,0%,32.7,32.7,32.7,29.3,36.2,14.1,1.4,0.6,0.1
Sean Manaea,,SP,9600,SF,@DET,59%,3.84,5.5,0.324,25.3%,3.00,24.6%,3.78,3.79,L,0.268,0.338,-1%,-1%,0%,24.5,24.5,24.5,24.5,24.5,14.3,1.5,8.5,0.9
Nestor Cortes,2,SP,9500,NYY,MIN,62%,3.66,5.5,0.334,23.4%,4.46,26.6%,3.64,3.89,L,0.247,0.270,-1%,-1%,0%,16.7,16.7,16.7,14.4,19.1,17.9,1.9,21.6,2.3
Charlie Morton,2,SP,9100,ATL,@KC,54%,4.29,6,0.311,22.5%,3.38,27.9%,3.58,3.51,R,0.304,0.288,0%,0%,0%,9.3,9.3,9.3,3.8,14.9,15.7,1.7,18.1,2.0
Taijuan Walker,1,SP,9100,PHI,@CIN,57%,4.54,5,0.317,24.4%,4.58,21.4%,4.27,4.18,R,0.304,0.302,-6%,1%,0%,9.6,9.6,9.6,6.7,12.6,13.4,1.5,19.9,2.2
Cal Quantrill,1,SP,8700,CLE,@WAS,60%,4.03,4,0.300,20.8%,3.69,17.8%,4.53,4.45,R,0.285,0.316,7%,1%,0%,4.5,4.5,4.5,1.7,7.3,12.3,1.4,8.7,1.0
Luis Garcia,2,RP,8600,HOU,TEX,59%,3.83,6,0.307,24.5%,5.58,25.1%,3.89,3.91,R,0.340,0.268,1%,0%,0%,5.4,5.4,5.4,2.8,8.0,16.6,1.9,10.5,1.2
Patrick Sandoval,2,SP,8500,LAA,@BOS,51%,4.47,5,0.316,21.8%,5.46,23.8%,4.03,3.77,L,0.238,0.315,-3%,2%,0%,13.1,13.1,13.1,10.6,15.6,13.4,1.6,16.6,2.0
Eric Lauer,1,SP,8400,MIL,@SD,39%,4.79,4,0.343,19.9%,4.21,23.8%,4.17,4.19,L,0.287,0.306,6%,3%,0%,9.4,9.4,9.4,-5.3,24.1,12.7,1.5,21.3,2.5
Mike Clevinger,,SP,8300,CWS,BAL,47%,4.67,4,0.334,20.3%,5.69,18.7%,4.58,4.87,R,0.316,0.314,0%,-2%,0%,15.2,15.2,15.2,-0.6,31.1,12.0,1.4,19.9,2.4
Trevor Rogers,1,RP,8300,MIA,ARI,59%,4.04,4.5,0.332,,4.69,25.4%,3.96,3.84,L,0.297,0.317,1%,0%,0%,8.6,8.6,8.6,6.3,11.0,14.1,1.7,25.9,3.1
Michael Wacha,0,SP,8100,SD,MIL,61%,3.71,5,0.322,25.3%,4.77,21.7%,4.04,3.97,R,0.297,0.334,2%,2%,0%,21.9,21.9,21.9,2.4,41.4,15.8,2.0,-5.4,-0.7
Justin Steele,3,SP,7900,CHC,@LAD,41%,4.68,5,0.347,22.5%,6.08,24.3%,4.00,3.73,L,0.273,0.311,2%,3%,0%,21.9,21.9,21.9,14.5,29.3,13.4,1.7,29.4,3.7
Brady Singer,,SP,7600,KC,ATL,46%,4.71,5.5,0.329,23.9%,4.85,23.0%,3.86,3.69,R,0.324,0.305,-1%,0%,0%,11.5,11.5,11.5,4.7,18.2,13.8,1.8,5.3,0.7
Madison Bumgarner,,SP,7500,ARI,@MIA,41%,4.96,3.5,0.333,21.1%,3.15,17.9%,4.75,4.94,L,0.320,0.348,12%,0%,0%,3.8,3.8,3.8,-4.9,12.4,10.6,1.4,-2.7,-0.4
Jose Berrios,,SP,7200,TOR,TB,47%,4.67,5,0.322,22.3%,7.77,23.1%,3.87,3.86,R,0.350,0.283,0%,0%,0%,5.5,5.5,5.5,3.6,7.3,13.2,1.8,22.9,3.2
