Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Nestor Cortes,1,SP,10300,NYY,LAA,57%,3.88,5,0.348,22.1%,4.89,26.6%,3.63,3.90,L,0.244,0.273,-1%,2%,0%,18.3,18.3,18.3,15.1,21.6,16.8,1.6,21.3,2.1
Kodai Senga,4,SP,10300,NYM,@SF,53%,4.13,5.5,0.337,21.1%,4.65,,,,R,,,1%,1%,0%,20.1,20.1,20.1,11.2,29.0,15.6,1.5,9.8,1.0
Sean Manaea,,SP,9900,SF,NYM,47%,4.37,4,0.331,19.1%,4.63,24.7%,3.78,3.80,L,0.271,0.338,1%,1%,0%,16.5,16.5,16.5,5.2,27.8,13.5,1.4,-1.1,-0.1
Michael Wacha,2,SP,8600,SD,@ARI,56%,4.84,4,0.309,21.2%,4.63,21.6%,4.05,3.99,R,0.304,0.340,-14%,-1%,0%,12.8,12.8,12.8,-8.2,33.8,12.9,1.5,-1.6,-0.2
Kenta Maeda,1,SP,8300,MIN,@BOS,48%,4.61,5,0.323,22.5%,5.26,25.2%,3.88,3.95,R,0.294,0.314,-5%,3%,0%,16.1,16.1,16.1,2.8,29.3,13.2,1.6,1.3,0.2
Ryne Nelson,,SP,7800,ARI,SD,43%,5.66,3.5,0.342,20.9%,3.65,18.7%,4.77,4.82,R,,,-7%,-1%,0%,12.1,12.1,12.1,6.5,17.6,10.1,1.3,5.7,0.7
Michael Grove,,RP,7400,LAD,@CHC,50%,5.48,4.5,0.316,24.5%,5.82,19.9%,4.41,4.50,R,,,0%,0%,-15%,6.2,6.2,6.2,-9.2,21.7,10.5,1.4,-2.0,-0.3
Matt Strahm,5,RP,7000,PHI,COL,67%,3.64,1.5,0.328,22.2%,3.79,25.8%,3.49,3.95,L,0.274,0.288,0%,0%,0%,15.7,15.7,15.7,7.9,23.5,12.3,1.8,25.0,3.6
Patrick Sandoval,1,SP,6800,LAA,@NYY,42%,4.62,5,0.338,,4.39,24.0%,4.03,3.76,L,0.240,0.314,0%,2%,0%,14.3,14.3,14.3,11.5,17.0,12.9,1.9,3.0,0.4
Roansy Contreras,2,SP,6400,PIT,CIN,61%,4.19,5.5,0.316,24.4%,4.56,20.7%,4.52,4.55,R,0.315,0.317,0%,-1%,0%,7.9,7.9,7.9,-6.7,22.4,13.4,2.1,28.8,4.5
Luke Weaver,0,SP,5900,CIN,@PIT,39%,5.31,5,0.308,23.6%,5.21,22.3%,4.05,4.10,R,0.376,0.321,4%,-1%,0%,0.0,0.0,0.0,0.0,0.0,11.5,1.9,17.9,3.0
Ryan Feltner,0,SP,5700,COL,@PHI,33%,5.36,4,0.326,22.9%,4.58,20.0%,4.58,4.68,R,0.331,0.381,8%,1%,0%,6.1,6.1,6.1,3.3,9.0,10.7,1.9,25.1,4.4
Tanner Houck,1,SP,5400,BOS,MIN,52%,4.39,5.5,0.316,23.8%,4.28,26.8%,3.49,3.47,R,0.310,0.245,-2%,2%,0%,14.7,14.7,14.7,12.5,16.9,14.3,2.6,23.6,4.4
