Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Aaron Judge,5,OF,6500,NYY,MIN,4.81,Ryan,0.290,-8%,R,R,0.430,1%,0.317,0%,2,,0,1%,5%,1%,9.8,10.8,10.8,2.2,19.5,11.1,1.7,0.0,0.0
Rafael Devers,,3B,6300,BOS,@TB,3.17,Springs,0.330,-7%,L,L,0.318,-12%,0.150,-35%,x,x,-,0%,0%,0%,10.8,11.3,11.3,0.7,21.8,0.0,0.0,0.0,0.0
Trea Turner,4,SS,6300,PHI,@CIN,4.42,Lodolo,0.335,3%,L,R,0.407,10%,0.247,32%,2,,-1,7%,1%,0%,7.7,8.7,8.7,1.9,15.4,10.3,1.6,7.0,1.1
Bryan Reynolds,0,OF,6000,PIT,@STL,3.29,Montgomery,0.304,-4%,L,S,0.341,-6%,0.169,-20%,x,x,-,0%,0%,0%,14.7,13.1,13.1,0.2,25.9,0.0,0.0,0.0,0.0
Randy Arozarena,0,OF,5900,TB,BOS,4.83,Kluber,0.324,1%,R,R,0.327,-6%,0.163,-16%,3,,0,-4%,0%,0%,12.4,12.0,12.0,4.9,19.1,8.9,1.5,7.0,1.2
Paul Goldschmidt,4,1B,5900,STL,PIT,5.21,Velasquez,0.340,4%,R,R,0.374,-6%,0.211,-13%,3,,0,-3%,-1%,0%,9.3,10.0,10.0,4.0,16.0,9.8,1.7,5.0,0.8
Bo Bichette,4,SS,5800,TOR,DET,5.79,Turnbull,,-3%,R,R,0.346,-3%,0.179,-6%,2,,0,1%,-1%,0%,10.5,10.8,10.8,2.2,19.5,9.8,1.7,6.0,1.0
Vladimir Guerrero Jr.,5,1B,5700,TOR,DET,5.79,Turnbull,,-3%,R,R,0.392,4%,0.256,8%,3,,0,1%,-1%,0%,10.9,10.9,10.9,4.4,17.4,10.3,1.8,7.0,1.2
Byron Buxton,4,OF,5700,MIN,@NYY,4.19,Brito,,-1%,R,R,0.373,-1%,0.309,2%,3,,-2,5%,5%,1%,9.0,9.0,9.0,3.5,14.5,9.5,1.7,6.0,1.1
Cedric Mullins,0,OF,5600,BAL,OAK,5.97,Oller,0.388,11%,R,S,0.358,7%,0.204,13%,1,,1,1%,2%,0%,6.0,9.1,9.1,-0.3,18.5,10.4,1.9,10.0,1.8
Juan Soto,5,OF,5600,SD,MIL,4.90,Rea,,1%,R,L,0.428,9%,0.250,12%,3,3,0,-2%,-5%,1%,9.9,8.8,8.8,1.0,16.5,9.8,1.8,0.0,0.0
Oneil Cruz,,SS,5500,PIT,@STL,3.29,Montgomery,0.247,-14%,L,L,0.248,-10%,0.136,-20%,x,x,-,0%,0%,0%,9.3,9.3,9.3,3.4,15.3,0.0,0.0,0.0,0.0
Kyle Schwarber,0,OF,5500,PHI,@CIN,4.42,Lodolo,,-2%,L,L,0.314,-12%,0.176,-35%,3,,-1,18%,1%,0%,8.4,7.2,7.2,0.0,14.4,8.3,1.5,16.0,2.9
Manny Machado,4,3B,5500,SD,MIL,4.90,Rea,,-1%,R,R,0.364,-2%,0.217,-6%,2,2,0,-4%,-6%,1%,6.8,6.3,6.3,0.5,12.1,8.9,1.6,14.0,2.5
Nolan Arenado,1,3B,5400,STL,PIT,5.21,Velasquez,0.340,4%,R,R,0.351,-3%,0.215,-11%,4,,0,-3%,-1%,0%,9.3,9.5,9.5,2.6,16.4,8.9,1.6,3.0,0.6
Wander Franco,1,SS,5300,TB,BOS,4.83,Kluber,0.308,-3%,R,L,0.323,-6%,0.154,-11%,4,,-1,-2%,0%,0%,11.6,13.0,13.0,4.3,21.7,8.2,1.5,4.0,0.8
Xander Bogaerts,1,SS,5300,SD,MIL,4.90,Rea,,-1%,R,R,0.364,-2%,0.183,-4%,4,4,-1,-4%,-5%,1%,10.3,11.0,11.0,4.6,17.4,8.0,1.5,6.0,1.1
