Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Matt Chapman,,3B,4600,TOR,TB,4.33,Rasmussen,0.271,-11%,R,R,0.323,-3%,0.191,-11%,5,,-1,0%,0%,0%,21.0,18.8,18.8,5.6,32.0,9.4,2.0,3.0,0.7
Aaron Judge,0,OF,4500,NYY,MIN,4.84,Varland,,-1%,R,R,0.429,1%,0.316,0%,2,,0,1%,2%,0%,11.1,13.1,13.1,1.6,24.6,15.1,3.4,18.7,4.2
Yordan Alvarez,,OF,4500,HOU,TEX,4.67,Perez,0.282,-7%,L,L,0.405,1%,0.279,-2%,3,,0,-1%,1%,1%,15.3,16.1,16.1,5.3,27.0,12.7,2.8,18.7,4.2
Bo Bichette,,SS,4400,TOR,TB,4.33,Rasmussen,0.271,-11%,R,R,0.347,-3%,0.179,-6%,2,,0,1%,0%,0%,14.1,13.4,13.4,2.2,24.6,10.8,2.5,27.7,6.3
Mike Trout,1,OF,4400,LAA,@BOS,4.53,Houck,0.240,-15%,R,R,0.425,2%,0.354,13%,2,,0,11%,-4%,0%,15.0,14.0,14.0,2.9,25.2,13.1,3.0,9.0,2.0
Matt Olson,1,1B,4300,ATL,@KC,4.71,Singer,0.324,1%,R,L,0.364,2%,0.252,0%,2,,0,2%,0%,0%,13.8,15.1,15.1,1.4,28.9,12.7,3.0,28.4,6.6
Rafael Devers,,3B,4200,BOS,LAA,4.47,Sandoval,0.238,-15%,L,L,0.318,-12%,0.150,-35%,4,,-2,3%,-4%,0%,14.8,15.2,15.2,0.4,29.9,10.6,2.5,24.9,5.9
Ronald Acuna,,OF,4100,ATL,@KC,4.71,Singer,0.305,-4%,R,R,0.371,0%,0.212,-2%,1,,0,-1%,0%,0%,17.1,16.2,16.2,6.1,26.3,13.6,3.3,34.6,8.4
Will Smith,,C,4100,LAD,CHC,4.68,Steele,0.311,-2%,L,R,0.334,-4%,0.190,-9%,x,x,-,0%,0%,0%,13.8,15.2,15.2,4.6,25.7,0.0,0.0,0.0,0.0
Brandon Lowe,,2B,4100,TB,@TOR,4.67,Berrios,0.350,6%,R,L,0.374,5%,0.267,5%,2,,0,-7%,0%,0%,18.5,18.5,18.5,2.4,34.7,12.3,3.0,12.2,3.0
Wander Franco,2,SS,4100,TB,@TOR,4.67,Berrios,0.350,6%,R,L,0.321,-7%,0.153,-11%,4,,-1,-5%,0%,0%,13.7,16.3,16.3,4.7,27.9,11.1,2.7,3.0,0.7
Julio E. Rodriguez,1,OF,4000,SEA,COL,4.77,Gomber,0.350,6%,L,R,,2%,,7%,1,1,0,0%,0%,0%,13.3,12.6,12.6,3.8,21.3,12.4,3.1,15.7,3.9
C.J. Cron,,1B,4000,COL,@SEA,3.73,Milone,,2%,L,R,0.355,-2%,0.252,5%,4,4,0,-13%,-5%,0%,6.2,10.8,10.8,-7.1,28.7,9.8,2.5,6.2,1.6
Bryan Reynolds,,OF,4000,PIT,@STL,4.01,Woodford,0.332,0%,R,S,0.375,4%,0.235,12%,2,,0,-12%,-1%,0%,19.4,17.2,17.2,-0.5,35.0,11.3,2.8,3.0,0.8
Kyle Tucker,,OF,4000,HOU,TEX,4.67,Perez,0.282,-7%,L,L,0.340,-6%,0.253,5%,5,,0,-1%,0%,1%,14.0,14.9,14.9,3.1,26.7,11.7,2.9,3.0,0.8
Gleyber Torres,,2B,3900,NYY,MIN,4.84,Varland,,-1%,R,R,0.314,-5%,0.137,-19%,5,,-1,0%,2%,0%,14.4,14.9,14.9,0.3,29.5,10.5,2.7,0.0,0.0
Luis Robert Jr.,,OF,3900,CWS,BAL,4.33,Wells,0.314,-4%,R,R,0.333,-8%,0.162,-16%,2,,0,1%,3%,-2%,16.6,14.9,14.9,0.1,29.6,11.5,2.9,0.0,0.0
Vladimir Guerrero Jr.,,1B,3900,TOR,TB,4.33,Rasmussen,0.271,-11%,R,R,0.392,4%,0.255,8%,3,,0,1%,0%,0%,13.9,13.6,13.6,5.5,21.7,11.5,2.9,6.2,1.6
Mookie Betts,,OF,3900,LAD,CHC,4.68,Steele,0.311,-2%,L,R,0.365,0%,0.212,-7%,1,1,0,1%,-6%,0%,12.4,12.6,12.6,3.4,21.8,12.9,3.3,0.0,0.0
Paul Goldschmidt,,1B,3900,STL,PIT,4.99,Oviedo,0.307,-3%,R,R,0.373,-6%,0.211,-13%,3,,0,-3%,-1%,0%,12.1,12.6,12.6,4.5,20.7,12.2,3.1,3.0,0.8
