Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Kodai Senga,2,SP,10600,NYM,WAS,65%,3.52,6,0.299,20.5%,3.68,,,,R,,,1%,2%,0%,17.5,17.5,17.5,8.6,26.4,17.4,1.6,15.8,1.5
Freddy Peralta,2,SP,10100,MIL,DET,65%,3.51,8.5,0.303,28.8%,3.09,30.6%,3.54,3.72,R,0.250,0.267,0%,2%,1%,16.9,16.9,16.9,5.2,28.6,21.6,2.1,30.5,3.0
Sandy Alcantara,1,SP,9900,MIA,@ATL,43%,4.32,6,0.330,23.7%,5.17,23.5%,3.59,3.40,R,0.275,0.271,-4%,5%,0%,13.8,13.8,13.8,-5.1,32.7,16.4,1.7,16.6,1.7
Bryce Elder,8,SP,9400,ATL,MIA,56%,3.68,5,0.308,22.9%,3.17,21.7%,4.16,3.97,R,0.273,0.298,-1%,4%,0%,20.8,20.8,20.8,14.6,27.0,16.7,1.8,5.8,0.6
Domingo German,,SP,9200,NYY,@MIN,50%,3.75,4.5,0.316,23.3%,4.29,22.9%,4.03,4.19,R,0.289,0.321,2%,3%,0%,17.2,17.2,17.2,3.2,31.2,14.4,1.6,16.7,1.8
Taijuan Walker,,SP,9200,PHI,SEA,48%,4.34,4.5,0.322,23.1%,4.48,21.2%,4.30,4.20,R,0.302,0.302,0%,4%,-3%,13.8,13.8,13.8,8.5,19.1,14.4,1.6,6.8,0.7
Logan Gilbert,5,SP,9100,SEA,@PHI,52%,4.16,5.5,0.324,23.6%,4.46,24.3%,3.78,3.87,R,0.266,0.327,-1%,3%,-2%,19.8,19.8,19.8,12.3,27.3,16.4,1.8,10.4,1.1
Hunter Brown,2,RP,9000,HOU,@TB,48%,4.09,6,0.315,21.7%,6.54,26.0%,3.48,3.38,R,,,2%,0%,0%,18.5,18.5,18.5,7.0,29.9,15.0,1.7,33.4,3.7
Anthony DeSclafani,1,SP,8600,SF,STL,50%,4.50,4.5,0.335,22.1%,4.50,22.0%,4.01,3.84,R,0.333,0.269,1%,0%,0%,18.4,18.4,18.4,10.7,26.0,13.4,1.6,21.3,2.5
Tanner Houck,1,SP,8400,BOS,@BAL,46%,4.44,4.5,0.329,20.9%,5.17,26.7%,3.48,3.44,R,0.311,0.243,1%,3%,0%,16.9,16.9,16.9,12.1,21.7,13.5,1.6,3.8,0.5
Michael Wacha,,SP,8300,SD,@CHC,48%,4.07,4.5,0.319,23.3%,5.77,21.4%,4.08,4.01,R,0.308,0.342,-1%,8%,6%,9.2,9.2,9.2,-9.4,27.8,13.4,1.6,12.3,1.5
Yusei Kikuchi,2,SP,8200,TOR,CWS,63%,4.31,6,0.328,25.4%,4.00,25.5%,4.09,3.92,L,0.255,0.367,0%,0%,0%,16.8,16.8,16.8,5.8,27.7,15.5,1.9,29.8,3.6
German Marquez,2,SP,7900,COL,@CLE,38%,4.25,3.5,0.331,16.1%,3.79,21.2%,4.14,3.81,R,0.334,0.297,3%,6%,2%,15.3,15.3,15.3,8.6,21.9,11.4,1.4,6.1,0.8
Kenta Maeda,,SP,7800,MIN,NYY,50%,3.75,4,0.317,20.9%,4.00,24.8%,3.95,4.03,R,0.297,0.310,1%,3%,0%,11.2,11.2,11.2,-1.5,23.8,13.3,1.7,-17.1,-2.2
Michael Kopech,,SP,7600,CWS,@TOR,38%,5.69,4,0.337,19.1%,4.67,26.4%,4.04,4.26,R,0.303,0.296,0%,0%,0%,9.7,9.7,9.7,1.7,17.7,11.1,1.5,5.3,0.7
Tyler Wells,1,SP,7500,BAL,BOS,54%,4.06,4,0.332,19.8%,5.76,21.5%,4.12,4.46,R,0.229,0.310,-2%,5%,0%,15.2,15.2,15.2,7.7,22.8,12.9,1.7,23.8,3.2
MacKenzie Gore,,SP,7500,WAS,@NYM,35%,4.98,4.5,0.338,19.4%,4.67,24.6%,4.46,4.31,L,,0.310,1%,4%,-1%,18.0,18.0,18.0,13.2,22.7,12.5,1.7,31.9,4.3
Drew Smyly,0,SP,7300,CHC,SD,52%,3.93,3.5,0.352,18.2%,3.68,21.3%,4.21,4.29,L,0.296,0.323,1%,5%,4%,20.2,20.2,20.2,0.1,40.3,12.9,1.8,12.3,1.7
Tony Gonsolin,,SP,7000,LAD,@PIT,56%,3.93,6,0.315,24.0%,4.92,25.0%,4.01,3.98,R,0.244,0.277,0%,3%,0%,0.0,0.0,0.0,0.0,0.0,13.0,1.9,6.5,0.9
Patrick Sandoval,5,SP,6500,LAA,OAK,70%,3.68,5,0.321,,3.71,23.9%,4.08,3.79,L,0.246,0.313,-1%,1%,0%,11.4,11.4,11.4,5.4,17.5,16.4,2.5,21.6,3.3
Michael Lorenzen,,RP,6100,DET,@MIL,35%,4.99,4,0.325,23.1%,4.71,20.2%,4.51,4.33,R,0.313,0.291,0%,6%,2%,9.9,9.9,9.9,0.1,19.7,11.6,1.9,5.3,0.9
Steven Matz,5,SP,6000,STL,@SF,50%,4.50,5,0.332,24.1%,4.52,23.3%,3.93,3.74,L,0.316,0.327,1%,0%,0%,11.0,11.0,11.0,4.8,17.2,15.8,2.6,5.6,0.9
Roansy Contreras,2,SP,5700,PIT,LAD,43%,4.57,5,0.327,21.6%,5.38,21.2%,4.47,4.53,R,0.313,0.314,1%,4%,0%,13.1,13.1,13.1,-2.7,28.9,12.3,2.2,25.1,4.4
Calvin Faucher,,RP,5300,TB,HOU,52%,3.91,1.5,0.319,23.1%,5.04,20.1%,4.00,4.28,R,,,1%,0%,0%,5.1,5.1,5.1,0.0,10.2,7.0,1.3,2.7,0.5
Luis Medina,1,SP,5000,OAK,@LAA,30%,5.82,1,0.343,23.8%,5.00,,,,R,,,-6%,1%,0%,0.0,0.0,0.0,0.0,0.0,8.2,1.6,2.7,0.5
