Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Shane Bieber,3,P,11000,CLE,@OAK,63%,2.99,6.5,0.314,,3.50,27.5%,3.22,2.99,R,0.266,0.272,3%,1%,0%,31.0,31.0,31.0,31.0,31.0,34.1,3.1,34.0,3.1
Max Scherzer,2,P,10800,NYM,@MIL,57%,3.65,7.5,0.328,23.7%,5.50,32.4%,2.90,3.25,R,0.289,0.236,-1%,0%,1%,37.0,37.0,37.0,37.0,37.0,35.5,3.3,7.0,0.6
Julio Urias,3,P,10500,LAD,COL,69%,2.93,5,0.329,21.5%,4.00,25.2%,3.63,3.75,L,0.249,0.266,1%,2%,0%,40.0,40.0,40.0,40.0,40.0,32.3,3.1,46.0,4.4
Sandy Alcantara,,P,10300,MIA,MIN,59%,3.14,6.5,0.314,24.4%,5.50,23.5%,3.57,3.39,R,0.275,0.270,1%,-1%,0%,14.0,14.0,14.0,14.0,14.0,36.5,3.5,52.0,5.0
Luis Castillo,2,P,10100,SEA,LAA,61%,3.28,6,0.333,23.2%,6.75,25.4%,3.73,3.44,R,0.306,0.289,1%,1%,0%,40.0,40.0,40.0,40.0,40.0,34.5,3.4,41.0,4.1
Yu Darvish,1,P,9900,SD,ARI,59%,3.17,6.5,0.309,22.3%,2.20,27.3%,3.43,3.66,R,0.267,0.291,1%,1%,0%,0.0,0.0,0.0,0.0,0.0,34.5,3.5,21.0,2.1
Framber Valdez,6,P,9800,HOU,DET,71%,2.86,6,0.324,25.1%,2.50,22.7%,3.38,3.22,L,0.271,0.280,0%,0%,0%,27.0,27.0,27.0,27.0,27.0,37.1,3.8,46.0,4.7
Zac Gallen,,P,9600,ARI,@SD,41%,3.83,5,0.332,20.2%,3.80,26.8%,3.63,3.58,R,0.258,0.302,5%,1%,0%,20.0,20.0,20.0,20.0,20.0,28.9,3.0,15.0,1.6
Kenta Maeda,,P,9200,MIN,@MIA,41%,3.86,4,0.320,21.6%,1.80,24.9%,3.98,3.99,R,0.294,0.317,1%,-1%,0%,0.0,0.0,0.0,0.0,0.0,24.2,2.6,39.0,4.2
Andrew Heaney,0,P,8800,TEX,BAL,57%,3.90,6.5,0.310,24.0%,6.25,30.0%,3.33,3.66,L,0.316,0.334,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,31.2,3.5,-7.0,-0.8
Hayden Wesneski,1,P,8600,CHC,@CIN,55%,4.48,4.5,0.319,23.5%,5.00,25.0%,3.32,3.64,R,,,-5%,1%,0%,0.0,0.0,0.0,0.0,0.0,23.8,2.8,17.0,2.0
Nick Pivetta,1,P,8500,BOS,PIT,57%,3.86,4.5,0.323,,3.75,24.4%,4.18,4.27,R,0.341,0.315,-2%,3%,1%,0.0,0.0,0.0,0.0,0.0,26.9,3.2,30.0,3.5
