Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Spencer Strider,2,P,10800,ATL,@WAS,69%,3.53,7,0.301,20.2%,2.00,37.6%,2.47,2.40,R,0.248,0.226,2%,0%,0%,0.0,0.0,0.0,0.0,0.0,34.3,3.2,55.0,5.1
Brandon Woodruff,1,P,10500,MIL,@CHC,52%,3.18,7,0.309,22.9%,4.00,30.2%,3.18,3.09,R,0.248,0.285,1%,3%,0%,0.0,0.0,0.0,0.0,0.0,34.6,3.3,43.0,4.1
Zack Wheeler,2,P,10400,PHI,@TEX,53%,3.64,7,0.324,25.8%,11.00,28.2%,3.18,2.93,R,0.267,0.265,0%,1%,0%,0.0,0.0,0.0,0.0,0.0,32.2,3.1,22.0,2.1
Kevin Gausman,0,P,10200,TOR,@STL,55%,3.78,5.5,0.327,20.7%,9.00,28.8%,3.18,3.03,R,0.267,0.301,2%,3%,0%,0.0,0.0,0.0,0.0,0.0,32.5,3.2,43.0,4.2
Clayton Kershaw,1,P,10000,LAD,ARI,70%,3.11,6,0.332,,2.00,28.6%,3.04,2.85,L,0.235,0.269,0%,1%,0%,0.0,0.0,0.0,0.0,0.0,34.3,3.4,52.0,5.2
Logan Gilbert,,P,9800,SEA,CLE,56%,3.26,4,0.329,16.2%,4.50,23.8%,3.85,3.94,R,0.267,0.330,1%,0%,0%,0.0,0.0,0.0,0.0,0.0,28.5,2.9,40.0,4.1
Nick Lodolo,2,P,9600,CIN,PIT,57%,3.88,7.5,0.321,23.9%,5.00,29.7%,3.29,3.49,L,,0.344,-1%,3%,-1%,0.0,0.0,0.0,0.0,0.0,33.7,3.5,42.0,4.4
Lucas Giolito,,P,9500,CWS,@HOU,44%,4.55,5.5,0.337,,4.00,26.7%,3.75,3.71,R,0.279,0.344,1%,0%,0%,0.0,0.0,0.0,0.0,0.0,26.7,2.8,27.0,2.8
Patrick Sandoval,,P,9400,LAA,@OAK,61%,3.28,5.5,0.310,21.2%,2.00,24.5%,3.97,3.71,L,0.235,0.319,3%,1%,0%,0.0,0.0,0.0,0.0,0.0,31.0,3.3,24.0,2.6
Sonny Gray,,P,9200,MIN,@KC,59%,3.59,5.5,0.311,23.3%,,25.6%,3.79,3.66,R,0.274,0.309,-1%,3%,0%,0.0,0.0,0.0,0.0,0.0,26.9,2.9,24.0,2.6
