Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Bryce Miller,,SP,10600,SEA,NYY,56%,3.73,5.5,,,4.60,25.5%,3.65,3.83,R,,,2%,0%,0%,24.1,24.1,24.1,17.6,30.5,16.7,1.6,0.0,0.0
Nathan Eovaldi,1,SP,10500,TEX,@DET,60%,3.76,8.5,0.298,25.3%,3.82,24.5%,3.56,3.44,R,0.276,0.318,0%,-1%,0%,32.5,23.9,23.9,11.3,36.4,22.9,2.2,0.0,0.0
Sonny Gray,1,SP,10000,MIN,@HOU,48%,4.09,5.5,,,4.50,26.2%,3.77,3.61,R,0.278,0.295,2%,0%,0%,17.3,20.9,20.9,11.7,30.2,16.1,1.6,0.0,0.0
Taj Bradley,1,SP,9600,TB,@CHC,55%,4.03,5,,,4.65,,,,R,,,0%,0%,3%,18.7,18.7,18.7,10.0,27.3,14.5,1.5,0.0,0.0
Tyler Wells,0,SP,9000,BAL,CLE,56%,3.73,5,,,3.42,22.5%,4.05,4.39,R,0.241,0.308,-1%,1%,0%,18.0,17.7,17.7,9.9,25.6,15.5,1.7,0.0,0.0
Michael Kopech,,SP,8800,CWS,LAA,56%,3.99,7,,,4.80,26.3%,4.07,4.31,R,0.291,0.293,0%,1%,0%,23.7,16.3,16.3,2.8,29.7,17.8,2.0,0.0,0.0
Domingo German,,SP,8500,NYY,@SEA,44%,4.27,5,,,4.57,22.9%,4.06,4.23,R,0.273,0.319,5%,0%,0%,16.1,16.6,16.6,6.9,26.3,14.6,1.7,0.0,0.0
Marcus Stroman,,SP,8300,CHC,TB,45%,4.47,5,,,6.09,21.3%,3.89,3.56,R,0.288,0.280,1%,0%,5%,14.1,16.7,16.7,7.1,26.3,13.2,1.6,0.0,0.0
Logan Allen,,SP,8100,CLE,@BAL,44%,4.27,4,,,5.00,16.8%,4.85,4.94,L,,0.366,-1%,2%,0%,12.7,15.2,15.2,7.6,22.9,10.0,1.2,0.0,0.0
Michael Soroka,,SP,7800,ATL,@OAK,68%,3.60,4,,,3.44,,,,R,,,5%,1%,0%,0.0,0.0,0.0,0.0,0.0,13.9,1.8,0.0,0.0
Griffin Canning,,SP,7200,LAA,@CWS,44%,4.51,5,,,4.27,21.2%,4.70,4.70,R,0.328,0.355,1%,1%,0%,11.9,11.9,11.9,3.0,20.8,14.3,2.0,0.0,0.0
J.P. France,,SP,7000,HOU,MIN,52%,3.91,5,,,4.53,,,,R,,,1%,0%,0%,13.9,13.9,13.9,0.3,27.6,14.0,2.0,0.0,0.0
Matthew Boyd,,SP,6900,DET,TEX,40%,4.74,4.5,,,6.33,20.6%,4.60,4.86,L,0.245,0.320,0%,-3%,0%,8.7,10.4,10.4,0.1,20.8,10.7,1.6,0.0,0.0
Trevor Williams,,SP,6800,WAS,@LAD,31%,5.46,3.5,,,5.52,21.3%,4.10,4.18,R,0.346,0.311,0%,4%,0%,11.2,10.8,10.8,5.2,16.4,9.0,1.3,0.0,0.0
Ryne Nelson,,SP,6700,ARI,COL,64%,4.20,4,,,4.63,18.1%,4.73,4.62,R,0.365,0.263,-6%,-4%,0%,9.6,9.2,9.2,1.3,17.2,10.9,1.6,0.0,0.0
Paul Blackburn,,SP,6500,OAK,ATL,32%,5.40,4,,,5.19,17.9%,4.26,4.06,R,0.351,0.335,4%,2%,0%,0.0,0.0,0.0,0.0,0.0,11.1,1.7,0.0,0.0
Adam Wainwright,,SP,6100,STL,KC,66%,4.11,4,,,3.94,18.9%,4.32,4.07,R,0.301,0.285,2%,-1%,0%,6.4,6.4,6.4,2.8,10.0,13.1,2.1,0.0,0.0
Bobby Miller,,SP,5400,LAD,WAS,69%,3.54,4.5,,,4.26,,,,R,,,1%,1%,0%,20.3,20.3,20.3,20.3,20.3,15.1,2.8,0.0,0.0
Karl Kauffmann,,SP,4800,COL,@ARI,36%,5.80,3,,,4.98,,,,R,,,-15%,-10%,0%,1.1,1.1,1.1,-3.6,5.7,4.6,1.0,0.0,0.0
