Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Shohei Ohtani,8,SP,10800,LAA,KC,68%,3.39,7,0.301,21.7%,3.11,31.5%,3.18,3.13,R,0.291,0.237,-1%,0%,0%,7.0,11.0,11.0,2.0,20.1,19.9,1.8,39.4,3.6
Freddy Peralta,1,SP,10200,MIL,BOS,61%,3.97,6,0.324,21.5%,5.55,30.9%,3.50,3.68,R,0.248,0.265,0%,4%,0%,19.7,19.7,19.7,7.1,32.3,17.2,1.7,8.6,0.8
Hunter Brown,2,RP,9800,HOU,@ATL,48%,4.34,6,0.329,23.6%,5.11,25.5%,3.37,3.31,R,,,-4%,1%,0%,21.1,21.1,21.1,8.7,33.6,15.3,1.6,10.5,1.1
Zac Gallen,,SP,9600,ARI,SD,50%,4.50,5.5,0.344,21.1%,3.81,27.0%,3.59,3.54,R,0.256,0.299,-3%,-1%,0%,21.6,21.6,21.6,5.4,37.8,16.0,1.7,40.5,4.2
Aaron Nola,2,SP,9400,PHI,COL,72%,3.18,5.5,0.322,20.5%,3.85,28.9%,3.10,3.13,R,0.274,0.295,0%,0%,0%,10.8,10.8,10.8,4.9,16.8,20.0,2.1,11.6,1.2
Jon Gray,3,SP,9100,TEX,OAK,68%,3.39,6,0.312,24.2%,3.42,24.9%,3.92,3.79,R,0.327,0.292,0%,1%,0%,13.8,13.8,13.8,6.0,21.6,18.5,2.0,3.4,0.4
Graham Ashcraft,,SP,9100,CIN,@PIT,43%,4.56,5,0.307,23.9%,5.15,16.3%,4.21,4.07,R,0.237,0.391,5%,-1%,0%,21.8,21.8,21.8,17.4,26.3,12.0,1.3,11.7,1.3
George Kirby,1,SP,8900,SEA,STL,54%,3.82,4.5,0.335,20.2%,4.79,23.7%,3.42,3.43,R,0.253,0.360,2%,0%,0%,12.8,12.8,12.8,6.2,19.4,15.2,1.7,21.1,2.4
Tyler Mahle,4,SP,8700,MIN,WAS,68%,2.98,5.5,0.300,21.3%,3.44,26.7%,3.82,3.82,R,0.263,0.354,0%,4%,0%,15.8,15.8,15.8,8.9,22.6,17.3,2.0,18.4,2.1
Mitch Keller,0,SP,8600,PIT,CIN,56%,3.94,5.5,0.315,24.6%,4.47,20.3%,4.49,4.33,R,0.354,0.336,0%,-1%,0%,16.9,16.9,16.9,8.2,25.6,15.2,1.8,19.9,2.3
Seth Lugo,,RP,8500,SD,@ARI,50%,4.50,4.5,0.316,20.1%,4.65,26.3%,3.35,3.53,R,0.299,0.309,-13%,-2%,0%,18.6,18.6,18.6,6.9,30.2,12.9,1.5,17.3,2.0
Bryce Elder,1,SP,8300,ATL,HOU,52%,4.16,4,0.327,20.5%,5.05,21.4%,4.25,4.06,R,0.280,0.298,-2%,1%,0%,20.6,20.6,20.6,13.1,28.2,14.1,1.7,21.3,2.6
Anthony DeSclafani,,SP,8100,SF,NYM,51%,4.20,3.5,0.343,17.5%,4.85,22.1%,4.01,3.86,R,0.331,0.268,2%,1%,0%,21.8,21.8,21.8,18.0,25.7,12.7,1.6,7.8,1.0
Domingo German,1,SP,7800,NYY,TOR,55%,4.01,4,0.341,23.4%,4.58,22.9%,4.02,4.17,R,0.287,0.320,-1%,3%,3%,18.5,18.5,18.5,1.7,35.4,14.8,1.9,13.3,1.7
Nick Pivetta,,SP,7600,BOS,@MIL,39%,5.03,4.5,0.327,22.2%,5.00,24.4%,4.20,4.31,R,0.342,0.315,3%,5%,0%,12.5,12.5,12.5,1.3,23.7,13.1,1.7,19.9,2.6
Michael Kopech,,SP,7500,CWS,@TB,37%,5.14,4.5,0.324,22.0%,7.00,26.1%,4.04,4.27,R,0.303,0.292,8%,0%,0%,8.5,8.5,8.5,-0.8,17.9,12.1,1.6,13.3,1.8
Steven Matz,,SP,7300,STL,@SEA,46%,4.18,5,0.336,24.5%,4.47,23.1%,3.94,3.75,L,0.317,0.327,2%,0%,0%,9.8,9.8,9.8,2.8,16.9,15.5,2.1,14.4,2.0
Yusei Kikuchi,,SP,7100,TOR,@NYY,45%,4.49,5,0.336,,4.63,25.7%,4.07,3.92,L,0.257,0.368,-1%,2%,2%,16.4,16.4,16.4,2.9,29.8,13.6,1.9,17.9,2.5
Braxton Garrett,,SP,6900,MIA,@CLE,46%,3.90,3.5,0.322,19.1%,4.21,22.8%,3.93,3.76,L,0.294,0.358,-4%,5%,2%,15.8,15.8,15.8,14.0,17.7,12.2,1.8,0.0,0.0
Zach Plesac,,SP,6500,CLE,MIA,54%,3.60,3.5,0.324,21.4%,3.11,17.0%,4.60,4.56,R,0.326,0.306,-1%,4%,2%,5.5,5.5,5.5,-11.1,22.2,13.1,2.0,0.0,0.0
Tyler Wells,3,SP,6200,BAL,DET,63%,3.83,5.5,0.300,27.5%,3.35,21.5%,4.11,4.45,R,0.233,0.315,-1%,0%,0%,11.2,11.2,11.2,7.3,15.0,14.5,2.3,23.4,3.8
