Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Ronald Acuna,0,OF,4600,ATL,MIA,5.39,Hoeing,,-1%,R,R,0.375,0%,0.213,-1%,1,1,0,2%,-4%,0%,15.9,16.1,16.1,6.7,25.5,14.1,3.1,18.2,4.0
Max Muncy,,3B,4500,LAD,@PIT,4.33,Oviedo,0.311,-2%,R,L,0.355,-1%,0.248,0%,x,x,-,0%,0%,0%,16.4,16.2,16.2,-0.4,32.9,0.0,0.0,0.0,0.0
Yordan Alvarez,,OF,4500,HOU,@TB,3.22,Rasmussen,0.258,-13%,R,L,0.394,-1%,0.288,1%,x,x,-,0%,0%,0%,12.7,15.1,15.1,5.4,24.7,0.0,0.0,0.0,0.0
Peter Alonso,1,1B,4400,NYM,WAS,4.99,Gray,0.325,1%,R,R,0.364,0%,0.241,-9%,4,4,0,-5%,-7%,0%,14.5,14.6,14.6,1.0,28.2,12.2,2.8,0.0,0.0
Randy Arozarena,,OF,4400,TB,HOU,4.28,Garcia,0.266,-12%,R,R,0.332,-6%,0.165,-16%,3,3,0,-5%,0%,0%,15.0,15.7,15.7,5.0,26.5,10.8,2.5,3.0,0.7
Fernando Tatis Jr.,1,OF/SS,4300,SD,@CHC,3.45,Steele,0.305,-4%,L,R,0.412,2%,0.285,-2%,1,1,0,1%,-11%,-11%,7.7,7.7,7.7,-3.8,19.3,13.3,3.1,6.0,1.4
Rafael Devers,,3B,4300,BOS,@BAL,3.99,Bradish,0.291,-1%,R,L,0.395,10%,0.300,28%,2,2,1,2%,-9%,0%,12.3,14.4,14.4,1.8,26.9,11.4,2.7,6.5,1.5
Patrick Wisdom,,3B,4200,CHC,SD,3.55,Snell,0.314,-2%,L,R,0.364,6%,0.306,13%,5,5,1,-1%,-11%,-11%,17.6,14.7,14.7,0.0,29.4,9.3,2.2,9.2,2.2
Mike Trout,2,OF,4200,LAA,OAK,5.13,Miller,,-1%,R,R,0.431,3%,0.356,14%,2,2,1,2%,-4%,0%,12.3,13.7,13.7,2.7,24.8,14.1,3.4,12.2,2.9
Matt Olson,1,1B,4100,ATL,MIA,5.39,Hoeing,,1%,R,L,0.365,2%,0.255,1%,2,2,0,-1%,-5%,0%,12.9,14.2,14.2,1.6,26.7,12.5,3.0,6.0,1.5
Aaron Judge,,OF,4100,NYY,@MIN,3.08,Ryan,0.286,-8%,R,R,0.426,1%,0.315,1%,3,2,-1,-6%,-8%,0%,9.3,11.5,11.5,1.0,22.0,11.8,2.9,6.2,1.5
Marcus Semien,,2B,4100,TEX,@CIN,4.97,Weaver,0.322,3%,R,R,0.350,1%,0.238,6%,1,1,0,13%,-7%,0%,20.5,14.3,14.3,2.6,26.1,13.1,3.2,21.7,5.3
Vladimir Guerrero Jr.,2,1B,4000,TOR,CWS,5.22,Clevinger,0.320,-1%,R,R,0.391,4%,0.256,8%,3,3,0,1%,-10%,0%,11.5,12.7,12.7,3.9,21.5,12.8,3.2,6.0,1.5
Matt Chapman,1,3B,4000,TOR,CWS,5.22,Clevinger,0.320,-1%,R,R,0.323,-3%,0.194,-10%,5,5,0,1%,-9%,0%,8.6,14.2,14.2,2.1,26.3,10.5,2.6,9.2,2.3
Francisco Lindor,1,SS,4000,NYM,WAS,4.99,Gray,0.382,12%,R,S,0.331,0%,0.181,1%,3,3,0,-5%,-5%,0%,14.5,12.8,12.8,-0.2,25.8,11.9,3.0,3.0,0.8
Bryan Reynolds,,OF,4000,PIT,LAD,4.17,Syndergaard,0.340,2%,R,S,0.372,3%,0.231,12%,x,x,-,0%,0%,0%,7.5,13.3,13.3,-1.2,27.7,0.0,0.0,0.0,0.0
Julio E. Rodriguez,1,OF,4000,SEA,@PHI,4.36,Falter,0.336,3%,L,R,,2%,,7%,1,1,0,0%,0%,0%,12.2,12.7,12.7,3.7,21.7,11.6,2.9,0.0,0.0
Adolis Garcia,,OF,4000,TEX,@CIN,4.97,Weaver,0.322,3%,R,R,0.331,3%,0.221,4%,4,4,0,15%,-8%,0%,19.1,15.3,15.3,-5.5,36.1,12.5,3.1,12.2,3.0
Brandon Lowe,,2B,4000,TB,HOU,4.28,Garcia,0.340,4%,R,L,0.366,4%,0.258,4%,x,x,-,0%,0%,0%,9.4,13.2,13.2,-1.1,27.5,0.0,0.0,0.0,0.0
Josh Lowe,,OF,4000,TB,HOU,4.28,Garcia,0.340,4%,R,L,0.361,6%,0.208,10%,4,x,2,-2%,0%,0%,18.2,16.1,16.1,5.6,26.6,9.9,2.5,3.0,0.8
Shohei Ohtani,2,OF,3900,LAA,OAK,5.13,Miller,,1%,R,L,0.384,3%,0.283,5%,3,3,0,5%,-4%,0%,15.8,17.7,17.7,-0.1,35.5,13.7,3.5,12.0,3.1
Jose Ramirez,1,3B,3900,CLE,COL,4.71,Feltner,0.330,4%,R,S,0.380,3%,0.268,5%,3,3,0,0%,-9%,-2%,11.1,11.9,11.9,1.3,22.5,13.2,3.4,6.0,1.5
Adley Rutschman,1,C,3900,BAL,BOS,5.01,Kluber,0.317,-1%,R,L,0.387,7%,0.223,16%,2,2,0,2%,-6%,0%,9.1,11.6,11.6,0.1,23.1,11.4,2.9,3.0,0.8
Jorge Mateo,,SS,3900,BAL,BOS,5.01,Kluber,0.322,0%,R,R,0.297,1%,0.157,0%,9,9,-2,1%,-6%,0%,13.7,15.0,15.0,5.1,24.9,9.3,2.4,21.9,5.6
Jonah Heim,1,C,3800,TEX,@CIN,4.97,Weaver,0.372,9%,R,S,0.278,-6%,0.156,-10%,6,6,0,13%,-7%,0%,18.0,13.6,13.6,1.0,26.2,9.9,2.6,3.5,0.9
Jonathan India,1,2B,3800,CIN,TEX,4.53,Perez,0.328,1%,L,R,0.345,1%,0.125,-11%,1,1,0,4%,-5%,0%,10.2,11.8,11.8,3.9,19.8,10.9,2.9,10.0,2.6
Kyle Tucker,,OF,3800,HOU,@TB,3.22,Rasmussen,0.258,-13%,R,L,0.377,4%,0.233,-2%,3,3,2,-4%,0%,0%,10.2,12.9,12.9,2.8,22.9,10.8,2.8,12.7,3.3
Ryan Mountcastle,,1B,3800,BAL,BOS,5.01,Kluber,0.322,0%,R,R,0.316,-2%,0.193,-4%,4,3,-1,2%,-8%,0%,6.2,12.0,12.0,-3.0,27.1,10.5,2.8,6.0,1.6
Wander Franco,,SS,3800,TB,HOU,4.28,Garcia,0.340,4%,R,L,0.321,-7%,0.152,-10%,2,2,1,-2%,0%,0%,9.8,13.8,13.8,2.5,25.1,10.8,2.8,6.0,1.6
Cedric Mullins,1,OF,3800,BAL,BOS,5.01,Kluber,0.317,-1%,R,S,0.361,6%,0.203,12%,1,1,5,1%,-6%,0%,13.2,12.7,12.7,1.1,24.3,12.5,3.3,29.2,7.7
Nico Hoerner,,2B,3700,CHC,SD,3.55,Snell,0.314,-2%,L,R,0.321,0%,0.100,-3%,1,1,0,-1%,-7%,-8%,16.5,14.5,14.5,3.5,25.4,9.6,2.6,19.5,5.3
Rowdy Tellez,,1B,3700,MIL,DET,4.77,Turnbull,0.297,-5%,R,L,0.332,2%,0.252,13%,4,4,0,0%,-13%,0%,15.0,12.4,12.4,0.2,24.5,10.9,2.9,18.7,5.1
Hunter Renfroe,,OF,3700,LAA,OAK,5.13,Miller,,-1%,R,R,0.335,-4%,0.243,-5%,x,x,-,0%,0%,0%,12.2,12.7,12.7,-0.3,25.7,0.0,0.0,0.0,0.0
Freddie Freeman,2,1B,3700,LAD,@PIT,4.33,Oviedo,0.311,-2%,R,L,0.397,6%,0.197,4%,2,2,0,8%,-6%,0%,9.6,10.7,10.7,0.1,21.3,11.9,3.2,12.7,3.4
Taylor Walls,,SS,3700,TB,HOU,4.28,Garcia,0.340,4%,R,L,0.264,-4%,0.126,3%,7,x,0,-2%,0%,0%,18.1,16.3,16.3,0.4,32.3,7.8,2.1,3.0,0.8
Will Smith,,C,3700,LAD,@PIT,4.33,Oviedo,0.304,-4%,R,R,0.365,3%,0.232,6%,x,x,-,0%,0%,0%,13.8,15.2,15.2,4.6,25.7,0.0,0.0,0.0,0.0
Cody Bellinger,,OF,3600,CHC,SD,3.55,Snell,0.262,-11%,L,L,0.308,3%,0.193,0%,x,x,-,0%,0%,0%,17.6,14.2,14.2,5.1,23.4,0.0,0.0,0.0,0.0
Xander Bogaerts,,SS,3600,SD,@CHC,3.45,Steele,0.305,-4%,L,R,0.383,3%,0.197,5%,4,4,0,1%,-9%,-9%,9.2,12.0,12.0,3.2,20.8,9.3,2.6,6.0,1.7
Lars Nootbaar,,OF,3600,STL,@SF,4.72,Brebbia,0.324,1%,R,L,0.332,-2%,0.216,2%,1,1,2,-3%,-1%,0%,13.4,13.4,13.4,2.3,24.5,11.2,3.1,0.0,0.0
Bo Bichette,1,SS,3600,TOR,CWS,5.22,Clevinger,0.320,-1%,R,R,0.346,-3%,0.176,-6%,2,2,0,1%,-9%,0%,7.4,10.8,10.8,0.7,20.9,11.9,3.3,3.0,0.8
Thairo Estrada,,2B/SS,3600,SF,STL,4.78,Woodford,0.290,-5%,R,R,0.327,0%,0.146,-5%,6,7,-4,-1%,-1%,0%,12.9,12.8,12.8,1.8,23.8,9.8,2.7,12.2,3.4
Alec Bohm,,3B,3600,PHI,SEA,4.64,Gonzales,0.336,3%,L,R,0.367,15%,0.175,40%,6,2,0,2%,-6%,0%,9.4,10.8,10.8,-1.4,23.0,9.3,2.6,12.7,3.5
Trea Turner,,SS,3600,PHI,SEA,4.64,Gonzales,0.336,3%,L,R,0.404,10%,0.243,30%,2,1,0,2%,-6%,0%,11.5,10.9,10.9,0.2,21.5,12.5,3.5,0.0,0.0
Mookie Betts,,OF,3600,LAD,@PIT,4.33,Oviedo,0.304,-4%,R,R,0.364,0%,0.238,5%,1,1,0,-4%,-5%,0%,10.6,11.7,11.7,1.1,22.2,11.8,3.3,0.0,0.0
Yandy Diaz,,1B/3B,3600,TB,HOU,4.28,Garcia,0.266,-12%,R,R,0.348,-2%,0.122,-18%,1,1,0,-5%,0%,0%,12.1,13.8,13.8,0.7,27.0,9.7,2.7,6.0,1.7
Brandon Marsh,,OF,3600,PHI,SEA,4.64,Gonzales,0.309,-3%,L,L,0.259,-11%,0.094,-25%,8,8,-3,0%,-5%,0%,13.6,13.7,13.7,3.4,24.0,7.7,2.1,3.0,0.8
Chas McCormick,,OF,3600,HOU,@TB,3.22,Rasmussen,0.277,-10%,R,R,0.305,-8%,0.148,-16%,x,x,-,0%,0%,0%,15.6,15.6,15.6,4.3,26.9,0.0,0.0,0.0,0.0
Paul Goldschmidt,2,1B,3500,STL,@SF,4.72,Brebbia,0.327,1%,R,R,0.370,-6%,0.209,-13%,2,2,1,0%,-1%,0%,8.6,11.1,11.1,2.6,19.6,12.7,3.6,13.0,3.7
Sean Murphy,0,C,3500,ATL,MIA,5.39,Hoeing,,-1%,R,R,0.325,-2%,0.185,-5%,4,4,0,2%,-5%,0%,18.4,14.8,14.8,-0.1,29.7,10.6,3.0,6.2,1.8
Joey Gallo,,OF,3500,MIN,NYY,3.42,Cortes,0.240,-17%,L,L,0.327,-3%,0.246,-5%,x,x,-,0%,0%,0%,17.0,14.1,14.1,-3.5,31.7,0.0,0.0,6.0,1.7
