Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Aaron Judge,0,OF,25,NYY,PHI,3.66,Nola,0.293,-6%,R,R,0.430,1%,0.317,0%,2,,0,1%,-9%,-9%,10.8,10.8,10.8,4.6,17.1,8.8,3.5,11.3,4.5
Mike Trout,0,OF,24,LAA,@SEA,3.91,Flexen,0.341,4%,R,R,0.427,2%,0.355,12%,2,2,0,-3%,-6%,0%,12.0,12.0,12.0,2.5,21.6,9.3,3.9,9.7,4.0
Rafael Devers,0,3B,23,BOS,PIT,4.69,Keller,0.356,7%,R,L,0.395,10%,0.293,30%,2,,0,3%,-10%,-3%,9.9,9.9,9.9,3.4,16.5,9.5,4.1,0.0,0.0
Jose Ramirez,0,3B,23,CLE,@OAK,4.19,Muller,0.297,-2%,L,S,0.359,-3%,0.238,-7%,3,3,0,-8%,-3%,0%,10.6,10.6,10.6,2.2,18.9,9.1,4.0,9.7,4.2
Yordan Alvarez,0,OF,23,HOU,DET,4.54,Rodriguez,0.343,-1%,L,L,0.405,1%,0.280,-2%,3,,0,0%,0%,1%,13.6,13.6,13.6,6.8,20.5,9.6,4.2,7.1,3.1
Vladimir Guerrero Jr.,0,1B,22,TOR,@KC,4.63,Greinke,0.341,4%,R,R,0.389,4%,0.255,7%,3,3,0,-1%,-10%,0%,9.0,9.0,9.0,5.3,12.7,9.4,4.3,21.3,9.7
Marcus Semien,,2B,22,TEX,BAL,4.30,Rodriguez,,-1%,R,R,0.343,-1%,0.237,4%,1,,0,-1%,-6%,0%,7.3,7.3,7.3,-0.4,15.0,8.3,3.8,5.2,2.4
Ronald Acuna Jr.,0,OF,22,ATL,@STL,4.42,Mikolas,0.302,-4%,R,R,0.370,0%,0.220,-1%,1,,0,-7%,-6%,1%,14.5,14.5,14.5,5.2,23.7,9.2,4.2,9.0,4.1
Wander Franco,1,SS,21,TB,@WAS,5.29,Corbin,0.317,1%,L,L,0.395,2%,0.208,1%,2,,1,7%,2%,2%,13.0,13.0,13.0,4.5,21.6,9.8,4.7,21.3,10.1
Matt Olson,,1B,21,ATL,@STL,4.42,Mikolas,0.275,-10%,R,L,0.360,2%,0.249,-1%,2,,0,-8%,-7%,1%,10.3,10.3,10.3,-2.8,23.5,8.3,4.0,30.3,14.4
