Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Jacob deGrom,4,P,11400,TEX,NYY,67%,2.84,8,0.301,21.6%,4.31,43.8%,1.71,1.62,R,0.223,0.204,0%,0%,0%,41.2,41.2,41.2,22.7,59.7,42.8,3.8,17.0,1.5
Luis Castillo,2,P,11000,SEA,@TOR,49%,4.29,5.5,0.340,21.2%,4.80,25.7%,3.70,3.41,R,0.305,0.282,-1%,0%,0%,40.0,40.0,40.0,28.8,51.2,30.3,2.8,21.0,1.9
Pablo Lopez,,P,10800,MIN,KC,73%,2.96,7.5,0.304,24.6%,3.19,25.7%,3.57,3.44,R,0.310,0.286,0%,1%,0%,39.0,39.0,39.0,24.7,53.3,37.1,3.4,27.0,2.5
Framber Valdez,5,P,10500,HOU,PHI,57%,3.44,5.5,0.333,21.1%,4.38,23.1%,3.37,3.20,L,0.279,0.280,0%,0%,0%,40.4,40.4,40.4,32.0,48.8,34.2,3.3,25.0,2.4
Zach Eflin,,P,10000,TB,@CWS,60%,3.80,5,0.317,23.3%,3.88,22.0%,3.74,3.64,R,0.335,0.298,-2%,1%,0%,34.3,34.3,34.3,29.2,39.5,25.6,2.6,24.0,2.4
Alek Manoah,2,P,9800,TOR,SEA,51%,4.21,5.5,0.322,23.7%,4.32,24.0%,4.00,4.18,R,0.308,0.228,0%,0%,0%,22.2,22.2,22.2,2.8,41.6,28.5,2.9,30.0,3.1
Marcus Stroman,1,P,9700,CHC,@MIA,50%,3.75,4.5,0.318,21.6%,3.27,21.7%,3.84,3.52,R,0.292,0.277,1%,0%,0%,36.8,36.8,36.8,22.7,50.9,28.9,3.0,26.0,2.7
Shane Bieber,2,P,9600,CLE,@BOS,54%,4.32,5,0.331,19.3%,5.62,26.8%,3.33,3.08,R,0.265,0.277,-3%,3%,0%,29.4,29.4,29.4,22.5,36.3,28.8,3.0,37.0,3.9
Max Fried,2,P,9400,ATL,@NYM,55%,3.53,4,0.340,19.0%,4.69,23.3%,3.53,3.28,L,0.269,0.264,2%,2%,0%,28.3,28.3,28.3,14.7,41.9,29.7,3.2,42.0,4.5
Grayson Rodriguez,,P,9300,BAL,@DET,54%,3.34,6,,,3.08,,,,R,,,0%,1%,0%,25.0,25.0,25.0,17.9,32.1,29.1,3.1,0.0,0.0
Eduardo Rodriguez,,P,9200,DET,BAL,46%,3.66,5.5,,,5.28,23.9%,3.96,3.79,L,0.330,0.312,0%,3%,0%,32.4,32.4,32.4,10.1,54.7,28.6,3.1,0.0,0.0
