,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,RP,Jeff Hoffman (28220943),Jeff Hoffman,28220943,P,8100,DET@PHI 06/05/2023 06:40PM ET,PHI,4.72
,,,,,,,,,,,SP,Shintaro Fujinami (28220947),Shintaro Fujinami,28220947,P,8100,OAK@PIT 06/05/2023 07:05PM ET,OAK,1.04
,,,,,,,,,,,RP,Jarlin Garcia (28220948),Jarlin Garcia,28220948,P,8100,OAK@PIT 06/05/2023 07:05PM ET,PIT,0
,,,,,,,,,,,SP,Adrian Sampson (28220942),Adrian Sampson,28220942,P,8100,CHC@SD 06/05/2023 09:10PM ET,CHC,0
,,,,,,,,,,,SP,Kris Bubic (28220944),Kris Bubic,28220944,P,8100,KC@MIA 06/05/2023 06:40PM ET,KC,13.6
,,,,,,,,,,,SP,Martin Perez (28220330),Martin Perez,28220330,P,8000,STL@TEX 06/05/2023 08:05PM ET,TEX,12.02
,,,,,,,,,,,RP,Zack Thompson (28220955),Zack Thompson,28220955,P,8000,STL@TEX 06/05/2023 08:05PM ET,STL,3.79
,,,,,,,,,,,SP,Chris Bassitt (28220951),Chris Bassitt,28220951,P,8000,HOU@TOR 06/05/2023 07:07PM ET,TOR,18.16
,,,,,,,,,,,SP,Eric Lauer (28220953),Eric Lauer,28220953,P,8000,MIL@CIN 06/05/2023 07:10PM ET,MIL,11.44
,,,,,,,,,,,SP,Tarik Skubal (28220952),Tarik Skubal,28220952,P,8000,DET@PHI 06/05/2023 06:40PM ET,DET,0
,,,,,,,,,,,SP,Rich Hill (28220954),Rich Hill,28220954,P,8000,OAK@PIT 06/05/2023 07:05PM ET,PIT,14.2
,,,,,,,,,,,RP,Seth Lugo (28220949),Seth Lugo,28220949,P,8000,CHC@SD 06/05/2023 09:10PM ET,SD,13.54
,,,,,,,,,,,SP,Johnny Cueto (28220950),Johnny Cueto,28220950,P,8000,KC@MIA 06/05/2023 06:40PM ET,MIA,-8.15
,,,,,,,,,,,RP,Matt Strahm (28220956),Matt Strahm,28220956,P,7900,DET@PHI 06/05/2023 06:40PM ET,PHI,10.11
,,,,,,,,,,,RP,Michael Lorenzen (28220958),Michael Lorenzen,28220958,P,7900,DET@PHI 06/05/2023 06:40PM ET,DET,15.51
,,,,,,,,,,,SP,Sam Long (28220957),Sam Long,28220957,P,7900,OAK@PIT 06/05/2023 07:05PM ET,OAK,3.35
,,,,,,,,,,,SP,Jordan Montgomery (28220961),Jordan Montgomery,28220961,P,7800,STL@TEX 06/05/2023 08:05PM ET,STL,13.18
,,,,,,,,,,,SP,Luke Weaver (28220331),Luke Weaver,28220331,P,7800,MIL@CIN 06/05/2023 07:10PM ET,CIN,12.21
,,,,,,,,,,,SP,Reiver Sanmartin (28220960),Reiver Sanmartin,28220960,P,7800,MIL@CIN 06/05/2023 07:10PM ET,CIN,1.66
,,,,,,,,,,,SP,Javier Assad (28220959),Javier Assad,28220959,P,7800,CHC@SD 06/05/2023 09:10PM ET,CHC,5.16
,,,,,,,,,,,SP,Miles Mikolas (28220965),Miles Mikolas,28220965,P,7700,STL@TEX 06/05/2023 08:05PM ET,STL,13.82
,,,,,,,,,,,SP,Thomas Hatch (28220963),Thomas Hatch,28220963,P,7700,HOU@TOR 06/05/2023 07:07PM ET,TOR,3.9
,,,,,,,,,,,SP,Andrew Painter (28220962),Andrew Painter,28220962,P,7700,DET@PHI 06/05/2023 06:40PM ET,PHI,0
,,,,,,,,,,,SP,Adrian Martinez (28220964),Adrian Martinez,28220964,P,7700,OAK@PIT 06/05/2023 07:05PM ET,OAK,3.9
,,,,,,,,,,,SP,Vince Velasquez (28220966),Vince Velasquez,28220966,P,7700,OAK@PIT 06/05/2023 07:05PM ET,PIT,14
,,,,,,,,,,,SP,Jon Gray (28220969),Jon Gray,28220969,P,7600,STL@TEX 06/05/2023 08:05PM ET,TEX,17.54
,,,,,,,,,,,RP,Dakota Hudson (28220970),Dakota Hudson,28220970,P,7600,STL@TEX 06/05/2023 08:05PM ET,STL,0
,,,,,,,,,,,RP,JP Sears (28220332),JP Sears,28220332,P,7600,OAK@PIT 06/05/2023 07:05PM ET,OAK,12.93
,,,,,,,,,,,SP,Mason Miller (28220968),Mason Miller,28220968,P,7600,OAK@PIT 06/05/2023 07:05PM ET,OAK,15.55
,,,,,,,,,,,RP,Max Castillo (28220967),Max Castillo,28220967,P,7600,KC@MIA 06/05/2023 06:40PM ET,KC,4.92
,,,,,,,,,,,SP,Dane Dunning (28220973),Dane Dunning,28220973,P,7500,STL@TEX 06/05/2023 08:05PM ET,TEX,10.32
,,,,,,,,,,,SP,Lance McCullers Jr. (28220972),Lance McCullers Jr.,28220972,P,7500,HOU@TOR 06/05/2023 07:07PM ET,HOU,0
,,,,,,,,,,,RP,Hayden Wesneski (28220971),Hayden Wesneski,28220971,P,7500,CHC@SD 06/05/2023 09:10PM ET,CHC,9.91
,,,,,,,,,,,SP,Alek Manoah (28220333),Alek Manoah,28220333,P,7400,HOU@TOR 06/05/2023 07:07PM ET,TOR,7.96
,,,,,,,,,,,SP,Michael Wacha (28220974),Michael Wacha,28220974,P,7400,CHC@SD 06/05/2023 09:10PM ET,SD,16.52
,,,,,,,,,,,SP,Joe Musgrove (28220975),Joe Musgrove,28220975,P,7400,CHC@SD 06/05/2023 09:10PM ET,SD,13.22
,,,,,,,,,,,SP,Ethan Small (28220977),Ethan Small,28220977,P,7300,MIL@CIN 06/05/2023 07:10PM ET,MIL,1.35
,,,,,,,,,,,RP,Alex Faedo (28220978),Alex Faedo,28220978,P,7300,DET@PHI 06/05/2023 06:40PM ET,DET,13.62
,,,,,,,,,,,SP,Adam Oller (28220979),Adam Oller,28220979,P,7300,OAK@PIT 06/05/2023 07:05PM ET,OAK,0.56
,,,,,,,,,,,SP,Luis Ortiz (28220980),Luis Ortiz,28220980,P,7300,OAK@PIT 06/05/2023 07:05PM ET,PIT,8.04
,,,,,,,,,,,SP,Brad Keller (28220976),Brad Keller,28220976,P,7300,KC@MIA 06/05/2023 06:40PM ET,KC,8.79
,,,,,,,,,,,RP,Brandon Bielak (28220334),Brandon Bielak,28220334,P,7200,HOU@TOR 06/05/2023 07:07PM ET,HOU,14.12
,,,,,,,,,,,SP,Jose Urquidy (28220982),Jose Urquidy,28220982,P,7200,HOU@TOR 06/05/2023 07:07PM ET,HOU,9.64
,,,,,,,,,,,RP,Chase De Jong (28220981),Chase De Jong,28220981,P,7200,OAK@PIT 06/05/2023 07:05PM ET,PIT,-0.48
,,,,,,,,,,,SP,Adam Wainwright (28220335),Adam Wainwright,28220335,P,7100,STL@TEX 06/05/2023 08:05PM ET,STL,7.25
,,,,,,,,,,,SP,Matthew Liberatore (28220990),Matthew Liberatore,28220990,P,7100,STL@TEX 06/05/2023 08:05PM ET,STL,8.18
,,,,,,,,,,,RP,Ben Lively (28220984),Ben Lively,28220984,P,7100,MIL@CIN 06/05/2023 07:10PM ET,CIN,16.46
,,,,,,,,,,,SP,Hunter Greene (28220987),Hunter Greene,28220987,P,7100,MIL@CIN 06/05/2023 07:10PM ET,CIN,17.88
,,,,,,,,,,,SP,Brandon Williamson (28220991),Brandon Williamson,28220991,P,7100,MIL@CIN 06/05/2023 07:10PM ET,CIN,11.46
,,,,,,,,,,,SP,Casey Mize (28220989),Casey Mize,28220989,P,7100,DET@PHI 06/05/2023 06:40PM ET,DET,0
,,,,,,,,,,,SP,JT Brubaker (28220985),JT Brubaker,28220985,P,7100,OAK@PIT 06/05/2023 07:05PM ET,PIT,0
,,,,,,,,,,,SP,Drew Smyly (28220983),Drew Smyly,28220983,P,7100,CHC@SD 06/05/2023 09:10PM ET,CHC,15.4
,,,,,,,,,,,SP,Jared Koenig (28220986),Jared Koenig,28220986,P,7100,CHC@SD 06/05/2023 09:10PM ET,SD,0
,,,,,,,,,,,SP,Chi Chi Gonzalez (28220988),Chi Chi Gonzalez,28220988,P,7100,KC@MIA 06/05/2023 06:40PM ET,MIA,2.5
,,,,,,,,,,,SP,J.P. France (28220994),J.P. France,28220994,P,7000,HOU@TOR 06/05/2023 07:07PM ET,HOU,14.75
,,,,,,,,,,,SP,Mitch White (28220995),Mitch White,28220995,P,7000,HOU@TOR 06/05/2023 07:07PM ET,TOR,0
,,,,,,,,,,,RP,Keegan Thompson (28220992),Keegan Thompson,28220992,P,7000,CHC@SD 06/05/2023 09:10PM ET,CHC,3.41
,,,,,,,,,,,SP,Anthony Kay (28220996),Anthony Kay,28220996,P,7000,CHC@SD 06/05/2023 09:10PM ET,CHC,0
,,,,,,,,,,,SP,Bryan Hoeing (28220993),Bryan Hoeing,28220993,P,7000,KC@MIA 06/05/2023 06:40PM ET,MIA,3.72
,,,,,,,,,,,SP,Steven Matz (28220997),Steven Matz,28220997,P,6900,STL@TEX 06/05/2023 08:05PM ET,STL,8.21
,,,,,,,,,,,SP,Matthew Boyd (28220998),Matthew Boyd,28220998,P,6900,DET@PHI 06/05/2023 06:40PM ET,DET,11.6
,,,,,,,,,,,SP,Johan Oviedo (28220336),Johan Oviedo,28220336,P,6900,OAK@PIT 06/05/2023 07:05PM ET,PIT,12.41
,,,,,,,,,,,SP,Jack Flaherty (28221000),Jack Flaherty,28221000,P,6800,STL@TEX 06/05/2023 08:05PM ET,STL,13.11
,,,,,,,,,,,SP,Cole Ragans (28221002),Cole Ragans,28221002,P,6800,STL@TEX 06/05/2023 08:05PM ET,TEX,3.93
,,,,,,,,,,,SP,Beau Brieske (28221001),Beau Brieske,28221001,P,6800,DET@PHI 06/05/2023 06:40PM ET,DET,0
,,,,,,,,,,,RP,Reiss Knehr (28220999),Reiss Knehr,28220999,P,6800,CHC@SD 06/05/2023 09:10PM ET,SD,0.02
,,,,,,,,,,,SP,Daniel Lynch (28221003),Daniel Lynch,28221003,P,6800,KC@MIA 06/05/2023 06:40PM ET,KC,14.82
,,,,,,,,,,,SP,Garrett Hill (28221004),Garrett Hill,28221004,P,6700,DET@PHI 06/05/2023 06:40PM ET,DET,1.31
,,,,,,,,,,,RP,Bailey Falter (28221006),Bailey Falter,28221006,P,6600,DET@PHI 06/05/2023 06:40PM ET,PHI,8.24
,,,,,,,,,,,RP,Mike Mayers (28220337),Mike Mayers,28220337,P,6600,KC@MIA 06/05/2023 06:40PM ET,KC,16.33
,,,,,,,,,,,SP,Carlos Hernandez (28221005),Carlos Hernandez,28221005,P,6600,KC@MIA 06/05/2023 06:40PM ET,KC,3.72
,,,,,,,,,,,SP,Jake Woodford (28221007),Jake Woodford,28221007,P,6500,STL@TEX 06/05/2023 08:05PM ET,STL,5.59
,,,,,,,,,,,SP,Hyun Jin Ryu (28221014),Hyun Jin Ryu,28221014,P,6500,HOU@TOR 06/05/2023 07:07PM ET,TOR,0
,,,,,,,,,,,SP,Drew Hutchison (28221016),Drew Hutchison,28221016,P,6500,HOU@TOR 06/05/2023 07:07PM ET,TOR,0
,,,,,,,,,,,SP,Graham Ashcraft (28221009),Graham Ashcraft,28221009,P,6500,MIL@CIN 06/05/2023 07:10PM ET,CIN,8.09
,,,,,,,,,,,SP,Wade Miley (28221015),Wade Miley,28221015,P,6500,MIL@CIN 06/05/2023 07:10PM ET,MIL,11.29
,,,,,,,,,,,RP,Louis Head (28221010),Louis Head,28221010,P,6500,DET@PHI 06/05/2023 06:40PM ET,PHI,0
,,,,,,,,,,,RP,Connor Brogdon (28221011),Connor Brogdon,28221011,P,6500,DET@PHI 06/05/2023 06:40PM ET,PHI,2.72
,,,,,,,,,,,RP,Nick Nelson (28221012),Nick Nelson,28221012,P,6500,DET@PHI 06/05/2023 06:40PM ET,PHI,0
,,,,,,,,,,,RP,Miguel Diaz (28221013),Miguel Diaz,28221013,P,6500,DET@PHI 06/05/2023 06:40PM ET,DET,0
,,,,,,,,,,,RP,Rony Garcia (28221017),Rony Garcia,28221017,P,6500,DET@PHI 06/05/2023 06:40PM ET,DET,0
,,,,,,,,,,,SP,Taijuan Walker (28221018),Taijuan Walker,28221018,P,6500,DET@PHI 06/05/2023 06:40PM ET,PHI,9.38
,,,,,,,,,,,SP,Paul Blackburn (28221008),Paul Blackburn,28221008,P,6500,OAK@PIT 06/05/2023 07:05PM ET,OAK,8.62
,,,,,,,,,,,RP,Colin Rea (28221022),Colin Rea,28221022,P,6400,MIL@CIN 06/05/2023 07:10PM ET,MIL,10.87
,,,,,,,,,,,SP,Tyler Alexander (28221019),Tyler Alexander,28221019,P,6400,DET@PHI 06/05/2023 06:40PM ET,DET,3.14
,,,,,,,,,,,SP,Zach Logue (28221020),Zach Logue,28221020,P,6400,DET@PHI 06/05/2023 06:40PM ET,DET,0
,,,,,,,,,,,SP,Matt Manning (28221021),Matt Manning,28221021,P,6400,DET@PHI 06/05/2023 06:40PM ET,DET,11.62
,,,,,,,,,,,RP,Taylor Hearn (28221026),Taylor Hearn,28221026,P,6300,STL@TEX 06/05/2023 08:05PM ET,TEX,1.49
,,,,,,,,,,,RP,Adrian Houser (28221025),Adrian Houser,28221025,P,6300,MIL@CIN 06/05/2023 07:10PM ET,MIL,10.92
,,,,,,,,,,,SP,Ken Waldichuk (28221024),Ken Waldichuk,28221024,P,6300,OAK@PIT 06/05/2023 07:05PM ET,OAK,5.55
,,,,,,,,,,,SP,Kyle Hendricks (28220338),Kyle Hendricks,28220338,P,6300,CHC@SD 06/05/2023 09:10PM ET,CHC,9.1
,,,,,,,,,,,SP,Nick Neidert (28221023),Nick Neidert,28221023,P,6300,CHC@SD 06/05/2023 09:10PM ET,CHC,0
,,,,,,,,,,,RP,Ryan Weathers (28221027),Ryan Weathers,28221027,P,6300,CHC@SD 06/05/2023 09:10PM ET,SD,6.28
