P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,"","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
"","","","","","","","","","",91073-11328:Martin Perez,91073-11328,P,Martin,Martin Perez,Perez,25.181818181818183,11,8800,STL@TEX,TEX,STL,,,,Yes,,P
"","","","","","","","","","",91073-17121:Miles Mikolas,91073-17121,P,Miles,Miles Mikolas,Mikolas,27.307692307692307,13,8800,STL@TEX,STL,TEX,,,,,0,P
"","","","","","","","","","",91073-181805:J.P. France,91073-181805,P,J.P.,J.P. France,France,27.333333333333332,6,8700,HOU@TOR,HOU,TOR,,,,,,P
"","","","","","","","","","",91073-52159:Lance McCullers Jr.,91073-52159,P,Lance,Lance McCullers Jr.,McCullers Jr.,34.09090909090909,11,8700,HOU@TOR,HOU,TOR,IL,Forearm,,,,P
"","","","","","","","","","",91073-119329:Nick Lodolo,91073-119329,P,Nick,Nick Lodolo,Lodolo,26.857142857142858,7,8600,MIL@CIN,CIN,MIL,IL,Lower leg,,,,P
"","","","","","","","","","",91073-72265:Matt Strahm,91073-72265,P,Matt,Matt Strahm,Strahm,16.5625,16,8600,DET@PHI,PHI,DET,,,,,0,P
"","","","","","","","","","",91073-17087:Drew Smyly,91073-17087,P,Drew,Drew Smyly,Smyly,28,13,8500,CHC@SD,CHC,SD,,,,,,P
"","","","","","","","","","",91073-5983:Rich Hill,91073-5983,P,Rich,Rich Hill,Hill,27.75,12,8500,OAK@PIT,PIT,OAK,,,,,0,P
"","","","","","","","","","",91073-79103:Dane Dunning,91073-79103,P,Dane,Dane Dunning,Dunning,18.384615384615383,13,8400,STL@TEX,TEX,STL,,,,,0,P
"","","","","","","","","","",91073-102001:Yusei Kikuchi,91073-102001,P,Yusei,Yusei Kikuchi,Kikuchi,26.833333333333332,12,8400,HOU@TOR,TOR,HOU,,,,,0,P
