P,C/1B,2B,3B,SS,OF,OF,OF,UTIL
90896-13233,90896-79082,90896-68514,90896-101850,90896-38614,90896-39086,90896-79884,90896-81953,90896-181814,
90896-13233,90896-79082,90896-21853,90896-82555,90896-102438,90896-119297,90896-79884,90896-81953,90896-82530,
90896-13233,90896-79188,90896-21853,90896-79122,90896-38614,90896-39086,90896-119297,90896-21875,90896-82530,
90896-13233,90896-79223,90896-21853,90896-38976,90896-68589,90896-119297,90896-163666,90896-21875,90896-82530,
90896-13233,90896-79082,90896-21853,90896-101850,90896-102438,90896-79125,90896-79884,90896-102282,90896-82530,
90896-13233,90896-79082,90896-97291,90896-101850,90896-38614,90896-39086,90896-79884,90896-21875,90896-79188,
90896-13233,90896-119307,90896-21853,90896-38976,90896-102438,90896-79884,90896-81953,90896-102282,90896-82530,
90896-13233,90896-38321,90896-181814,90896-68522,90896-38614,90896-39086,90896-79125,90896-81953,90896-49523,
90896-13233,90896-79188,90896-21853,90896-38976,90896-102438,90896-39086,90896-21875,90896-102282,90896-82530,
90896-13233,90896-82530,90896-21853,90896-68522,90896-102438,90896-79125,90896-119297,90896-81953,90896-49523,
90896-13233,90896-38321,90896-68514,90896-79122,90896-38614,90896-39086,90896-119297,90896-13909,90896-181814,
90896-13233,90896-17171,90896-21853,90896-119306,90896-68593,90896-82536,90896-119297,90896-21875,90896-82530,
90896-13233,90896-79188,90896-68514,90896-68522,90896-38614,90896-39086,90896-79125,90896-21875,90896-49523,
90896-13233,90896-79082,90896-68514,90896-101850,90896-108450,90896-154711,90896-79884,90896-81953,90896-165693,
90896-13233,90896-79082,90896-68514,90896-38976,90896-68589,90896-79884,90896-163666,90896-81953,90896-97257,
90896-13233,90896-38218,90896-21853,90896-79122,90896-108450,90896-119297,90896-154711,90896-165693,90896-82530,
90896-13233,90896-38218,90896-21853,90896-13719,90896-163674,90896-119297,90896-13229,90896-13262,90896-82530,
90896-13233,90896-38321,90896-181814,90896-38976,90896-38614,90896-39086,90896-163666,90896-102282,90896-68589,
