P,P,C,1B,2B,3B,SS,OF,OF,OF
28168750,28168752,28168796,28168847,28168766,28168777,28168831,28168846,28168856,28168972,
28168748,28168750,28168828,28168847,28168815,28168777,28168831,28168810,28168915,28168955,
28168750,28168757,28168828,28168830,28168766,28168829,28168767,28168770,28168915,28168972,
28168750,28168754,28168769,28168790,28168815,28168878,28168779,28168787,28168860,28168915,
28168750,28168752,28168880,28168830,28168817,28168888,28168779,28168770,28168810,28168955,
28168750,28168752,28168796,28168881,28168923,28168781,28168797,28168774,28168846,28168856,
28168752,28168757,28168796,28168790,28168815,28168781,28168779,28168774,28168860,28168915,
28168749,28168752,28168782,28168847,28168884,28168777,28168831,28168803,28168810,28168955,
28168750,28168752,28168952,28168790,28168786,28168918,28168779,28168800,28168806,28168860,
28168750,28168752,28168880,28168854,28168964,28168777,28168831,28168810,28168827,28168955,
28168750,28168757,28168796,28168795,28168920,28168781,28168791,28168774,28168824,28168856,
28168748,28168750,28168851,28168881,28168923,28168807,28168797,28168775,28168794,28168897,
28168748,28168752,28168828,28168830,28168920,28168829,28168791,28168770,28168824,28168915,
28168748,28168750,28168905,28168932,28168766,28168876,28168767,28168846,28168856,28168972,
28168748,28168750,28168873,28168830,28168962,28168829,28168949,28168770,28168849,28168850,
28168748,28168750,28168851,28168881,28168786,28168918,28168793,28168800,28168806,28168897,
28168750,28168761,28168769,28168795,28168766,28168878,28168767,28168787,28168846,28168972,
28168750,28168757,28168909,28168830,28168924,28168807,28168779,28168770,28168775,28168794,
28168750,28168756,28168828,28168830,28168804,28168829,28168779,28168770,28168792,28168935,
28168754,28168757,28168769,28168772,28168920,28168878,28168791,28168768,28168787,28168824,
28168750,28168752,28168922,28168854,28168964,28168813,28168793,28168800,28168806,28168827,
28168750,28168752,28168820,28168916,28168817,28168888,28168791,28168778,28168826,28168824,
28168754,28168757,28168828,28168830,28168786,28168829,28168779,28168770,28168800,28168806,
28168748,28168750,28168952,28168936,28168766,28168918,28168767,28168771,28168913,28168972,
28168750,28168757,28168835,28168795,28168766,28168858,28168767,28168774,28168874,28168972,
28168750,28168757,28168880,28168773,28168817,28168780,28168831,28168762,28168810,28168955,
28168750,28168754,28168873,28168773,28168798,28168780,28168949,28168762,28168850,28168861,
28168750,28168752,28168820,28168881,28168923,28168811,28168797,28168778,28168826,28168897,
28168752,28168757,28168782,28168830,28168884,28168832,28168779,28168770,28168803,28168821,
28168750,28168752,28168880,28168773,28168817,28168888,28168825,28168762,28168861,28168872,
28168748,28168750,28168880,28168916,28168817,28168888,28168793,28168800,28168806,28168955,
28168748,28168750,28168952,28168936,28168786,28168918,28168825,28168762,28168806,28168861,
28168752,28168756,28168835,28168795,28168766,28168813,28168767,28168819,28168827,28168874,
28168750,28168752,28168873,28168883,28168962,28168807,28168949,28168775,28168794,28168850,
28168750,28168754,28168828,28168795,28168815,28168829,28168767,28168774,28168860,28168915,
28168748,28168749,28168880,28168881,28168923,28168777,28168831,28168810,28168897,28168955,
28168750,28168752,28168785,28168830,28168798,28168829,28168825,28168770,28168872,28168904,
28168750,28168754,28168905,28168763,28168786,28168918,28168885,28168765,28168806,28168841,
28168749,28168752,28168873,28168795,28168962,28168781,28168949,28168774,28168849,28168850,
28168752,28168757,28168769,28168772,28168804,28168822,28168877,28168768,28168792,28168935,
28168749,28168750,28168873,28168854,28168964,28168813,28168949,28168819,28168827,28168850,
28168748,28168756,28168880,28168795,28168817,28168781,28168831,28168774,28168810,28168955,
28168750,28168757,28168851,28168773,28168907,28168780,28168825,28168762,28168861,28168897,
28168748,28168752,28168796,28168886,28168920,28168853,28168791,28168824,28168846,28168856,
28168750,28168752,28168952,28168936,28168786,28168918,28168791,28168771,28168778,28168824,
28168748,28168750,28168851,28168881,28168920,28168853,28168791,28168778,28168824,28168897,
28168750,28168752,28168837,28168854,28168804,28168813,28168877,28168792,28168827,28168935,
28168749,28168750,28168835,28168881,28168923,28168813,28168797,28168819,28168827,28168874,
28168750,28168752,28168873,28168916,28168817,28168888,28168949,28168849,28168850,28168855,
28168748,28168750,28168905,28168790,28168815,28168876,28168885,28168765,28168841,28168860,
28168752,28168756,28168828,28168773,28168815,28168780,28168825,28168762,28168861,28168915,
28168748,28168750,28168873,28168883,28168962,28168928,28168793,28168800,28168806,28168901,
28168750,28168754,28168785,28168790,28168798,28168780,28168779,28168860,28168872,28168904,
28168756,28168757,28168851,28168847,28168907,28168777,28168831,28168810,28168897,28168955,
28168749,28168752,28168828,28168799,28168815,28168829,28168801,28168770,28168915,28168973,
28168749,28168750,28168922,28168854,28168964,28168858,28168825,28168762,28168827,28168861,
28168752,28168757,28168837,28168773,28168798,28168780,28168877,28168762,28168861,28168906,
28168749,28168750,28168909,28168886,28168920,28168853,28168791,28168775,28168794,28168824,
28168757,28168761,28168769,28168772,28168786,28168918,28168793,28168768,28168800,28168806,
28168750,28168757,28168880,28168763,28168817,28168888,28168885,28168765,28168802,28168841,
28168748,28168750,28168851,28168881,28168804,28168822,28168877,28168792,28168897,28168935,
28168752,28168754,28168820,28168840,28168786,28168918,28168793,28168800,28168806,28168826,
28168756,28168757,28168796,28168795,28168804,28168781,28168767,28168774,28168792,28168935,
28168751,28168754,28168785,28168847,28168798,28168777,28168831,28168810,28168904,28168955,
28168750,28168752,28168873,28168844,28168804,28168822,28168949,28168792,28168850,28168935,
28168748,28168750,28168837,28168916,28168817,28168888,28168877,28168792,28168906,28168935,
28168749,28168750,28168905,28168932,28168920,28168876,28168791,28168778,28168826,28168824,
28168750,28168752,28168952,28168936,28168804,28168822,28168793,28168771,28168792,28168913,
28168748,28168756,28168785,28168773,28168798,28168780,28168949,28168849,28168850,28168904,
28168750,28168754,28168905,28168932,28168786,28168876,28168793,28168800,28168806,28168913,
28168754,28168757,28168782,28168799,28168766,28168832,28168767,28168803,28168821,28168972,
28168748,28168757,28168782,28168881,28168923,28168811,28168797,28168803,28168821,28168897,
28168754,28168757,28168880,28168790,28168815,28168777,28168831,28168810,28168860,28168955,
28168750,28168752,28168837,28168945,28168786,28168918,28168877,28168806,28168906,28168935,
28168752,28168757,28168785,28168773,28168798,28168780,28168793,28168800,28168904,28168913,
28168748,28168750,28168785,28168844,28168804,28168822,28168825,28168861,28168872,28168904,
28168749,28168752,28168880,28168799,28168817,28168832,28168831,28168810,28168821,28168955,
28168748,28168758,28168828,28168830,28168833,28168829,28168779,28168770,28168842,28168845,
28168748,28168752,28168909,28168799,28168924,28168807,28168801,28168775,28168794,28168973,
28168749,28168756,28168835,28168790,28168815,28168858,28168779,28168860,28168874,28168915,
28168757,28168758,28168909,28168795,28168766,28168807,28168767,28168775,28168794,28168842,
28168748,28168749,28168820,28168883,28168962,28168928,28168791,28168778,28168826,28168824,
28168752,28168754,28168952,28168936,28168786,28168918,28168831,28168806,28168810,28168955,
28168749,28168754,28168922,28168854,28168964,28168813,28168791,28168778,28168824,28168827,
28168754,28168757,28168952,28168795,28168786,28168918,28168767,28168774,28168800,28168806,
28168748,28168752,28168851,28168799,28168907,28168832,28168801,28168821,28168897,28168973,
28168748,28168754,28168952,28168936,28168786,28168918,28168949,28168771,28168849,28168850,
28168749,28168752,28168851,28168881,28168923,28168928,28168797,28168855,28168901,28168897,
28168749,28168752,28168873,28168883,28168962,28168928,28168825,28168762,28168861,28168901,
28168752,28168754,28168880,28168936,28168817,28168888,28168793,28168771,28168800,28168913,
28168748,28168756,28168782,28168799,28168920,28168832,28168791,28168803,28168821,28168824,
28168751,28168756,28168905,28168773,28168798,28168780,28168885,28168762,28168841,28168861,
28168754,28168756,28168837,28168773,28168804,28168780,28168877,28168762,28168792,28168935,
28168752,28168754,28168922,28168854,28168964,28168858,28168949,28168827,28168849,28168850,
28168748,28168749,28168873,28168886,28168920,28168853,28168949,28168849,28168850,28168855,
28168749,28168750,28168873,28168883,28168962,28168928,28168949,28168846,28168856,28168972,
28168749,28168750,28168905,28168932,28168804,28168876,28168885,28168792,28168841,28168935,
28168748,28168749,28168873,28168883,28168962,28168832,28168949,28168803,28168821,28168850,
28168750,28168757,28168922,28168936,28168964,28168858,28168793,28168771,28168800,28168913,
28168750,28168752,28168837,28168883,28168962,28168928,28168877,28168855,28168901,28168906,
28168748,28168749,28168837,28168883,28168804,28168928,28168877,28168792,28168901,28168935,
28168756,28168757,28168905,28168763,28168804,28168822,28168885,28168765,28168792,28168841,
28168754,28168757,28168820,28168844,28168804,28168822,28168791,28168778,28168826,28168824,
28168749,28168752,28168837,28168945,28168920,28168853,28168791,28168778,28168824,28168906,
28168749,28168754,28168922,28168763,28168964,28168858,28168885,28168765,28168802,28168841,
28168751,28168754,28168909,28168773,28168924,28168780,28168825,28168762,28168794,28168861,
28168756,28168757,28168785,28168795,28168798,28168780,28168767,28168774,28168872,28168904,
28168749,28168756,28168785,28168881,28168923,28168811,28168797,28168872,28168897,28168904,
28168748,28168756,28168952,28168799,28168786,28168918,28168801,28168800,28168806,28168973,
28168754,28168758,28168796,28168795,28168833,28168781,28168767,28168774,28168842,28168845,
28168748,28168754,28168880,28168799,28168817,28168888,28168801,28168810,28168955,28168973,
28168749,28168752,28168785,28168799,28168798,28168780,28168801,28168872,28168904,28168973,
28168749,28168757,28168905,28168854,28168964,28168876,28168885,28168765,28168827,28168841,
28168750,28168758,28168785,28168773,28168798,28168780,28168877,28168792,28168904,28168935,
