Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
90947-52859,P,Jacob,Jacob deGrom,deGrom,37.166666666666664,6,11400,TEX@DET,TEX,DET,IL,Elbow,,,,P
90947-162445,P,Spencer,Spencer Strider,Strider,45.1,11,11300,ATL@OAK,ATL,OAK,,,,,,P
90947-102407,P,Shane,Shane McClanahan,McClanahan,41.36363636363637,11,11200,TB@CHC,TB,CHC,,,,,,P
90947-79217,P,Mitch,Mitch Keller,Keller,41.81818181818182,11,11200,PIT@SF,PIT,SF,,,,Yes,,P
90947-13233,P,Nathan,Nathan Eovaldi,Eovaldi,41,10,11200,TEX@DET,TEX,DET,,,,,,P
90947-101839,P,Logan,Logan Webb,Webb,39.45454545454545,11,11000,PIT@SF,SF,PIT,,,,,,P
90947-85476,P,Jeffrey,Jeffrey Springs,Springs,45.666666666666664,4,11000,TB@CHC,TB,CHC,IL,Elbow,,,,P
90947-68482,P,Zach,Zach Eflin,Eflin,35.44444444444444,10,10800,TB@CHC,TB,CHC,,,,Yes,,P
90947-5427,P,Clayton,Clayton Kershaw,Kershaw,36.63636363636363,11,10600,WSH@LAD,LAD,WSH,,,,,,P
90947-146664,P,Bryce,Bryce Elder,Elder,33.1,10,10400,ATL@OAK,ATL,OAK,,,,,,P
90947-52166,P,Julio,Julio Urias,Urias,29.4,10,10400,WSH@LAD,LAD,WSH,IL,Hamstring,,,,P
90947-119361,P,Drew,Drew Rasmussen,Rasmussen,34,9,10300,TB@CHC,TB,CHC,IL,Elbow,,,,P
90947-82554,P,Shane,Shane Bieber,Bieber,31.636363636363637,11,10200,CLE@BAL,CLE,BAL,,,,Yes,,P
90947-39041,P,Marcus,Marcus Stroman,Stroman,31.90909090909091,11,10000,TB@CHC,CHC,TB,,,,,,P
90947-52198,P,Lucas,Lucas Giolito,Giolito,30.90909090909091,11,10000,LAA@CWS,CWS,LAA,,,,,,P
90947-165698,P,Taj,Taj Bradley,Bradley,31.4,5,9900,TB@CHC,TB,CHC,,,,,,P
90947-52185,P,Max,Max Fried,Fried,30.2,5,9900,ATL@OAK,ATL,OAK,IL,Forearm,,,,P
90947-79118,P,Triston,Triston McKenzie,McKenzie,34.6764705882353,34,9800,CLE@BAL,CLE,BAL,IL,Shoulder,,,,P
90947-5466,P,Charlie,Charlie Morton,Morton,34.3,11,9800,ATL@OAK,ATL,OAK,,,,,,P
90947-79390,P,Michael,Michael Kopech,Kopech,30.5,10,9800,LAA@CWS,CWS,LAA,,,,,,P
90947-11354,P,Lance,Lance Lynn,Lynn,29.363636363636363,11,9700,LAA@CWS,CWS,LAA,,,,Yes,,P
90947-145922,P,Tyler,Tyler Wells,Wells,29.3,11,9700,CLE@BAL,BAL,CLE,,,,,,P
90947-82594,P,Dustin,Dustin May,May,27.11111111111111,9,9700,WSH@LAD,LAD,WSH,IL,Forearm,,,,P
90947-52142,P,Eduardo,Eduardo Rodriguez,Rodriguez,36.7,10,9600,TEX@DET,DET,TEX,IL,Finger,,,,P
90947-79091,P,Dylan,Dylan Cease,Cease,27.636363636363637,11,9500,LAA@CWS,CWS,LAA,,,,,,P
90947-53607,P,Anthony,Anthony DeSclafani,DeSclafani,29.1,11,9500,PIT@SF,SF,PIT,,,,,,P
90947-82557,P,Aaron,Aaron Civale,Civale,30,2,9500,CLE@BAL,CLE,BAL,IL,Oblique,,,,P
