P,P,C,1B,2B,3B,SS,OF,OF,OF
28038678,28038684,28039023,28038786,28039070,28038776,28038743,28038733,28038840,28038919,
28038678,28038684,28039023,28038901,28039070,28038776,28039046,28038706,28038727,28038830,
28038684,28038685,28039023,28039021,28039070,28038776,28038770,28038706,28038728,28038840,
28038684,28038685,28039023,28038714,28039070,28038776,28038726,28038795,28038840,28038919,
28038678,28038684,28039023,28038829,28039070,28038776,28038732,28038706,28038840,28039044,
28038678,28038684,28039023,28038855,28039070,28038867,28038770,28038728,28038840,28039148,
28038678,28038690,28039023,28038724,28039070,28038776,28038833,28038701,28038840,28038919,
28038684,28038698,28038946,28038913,28039070,28038776,28038721,28038706,28038727,28038799,
28038678,28038685,28039023,28038860,28039070,28038776,28038736,28038707,28038840,28038919,
28038677,28038678,28039023,28038913,28038774,28038803,28038744,28038757,28038840,28038919,
28038684,28038685,28038885,28038980,28039070,28038776,28038726,28038706,28038787,28038938,
28038684,28038685,28039023,28038724,28039070,28038776,28038833,28038701,28038839,28038898,
28038677,28038678,28039023,28038925,28039070,28038772,28038744,28038800,28038840,28038919,
28038678,28038690,28039023,28038714,28039070,28038754,28038744,28038795,28038840,28038919,
28038678,28038685,28038950,28038913,28038975,28038776,28038744,28038706,28038727,28039062,
28038684,28038685,28038991,28038913,28038806,28038776,28038744,28038706,28038727,28038930,
28038678,28038684,28038895,28038977,28039069,28038867,28038767,28038728,28038778,28039148,
28038690,28038698,28039023,28038714,28039070,28038776,28038726,28038706,28038787,28038840,
