P,P,C,1B,2B,3B,SS,OF,OF,OF
28145294,28145300,28145345,28145404,28145334,28145328,28145371,28145321,28145407,28145406,
28145294,28145297,28145399,28145378,28145415,28145359,28145356,28145310,28145495,28145406,
28145294,28145303,28145345,28145378,28145415,28145328,28145356,28145310,28145495,28145407,
28145294,28145295,28145399,28145342,28145402,28145368,28145371,28145349,28145370,28145406,
28145294,28145295,28145345,28145350,28145415,28145328,28145356,28145391,28145407,28145485,
28145294,28145300,28145345,28145314,28145363,28145328,28145365,28145353,28145407,28145452,
28145294,28145300,28145345,28145389,28145308,28145319,28145372,28145391,28145407,28145485,
28145294,28145297,28145399,28145314,28145363,28145359,28145365,28145353,28145406,28145452,
28145294,28145295,28145462,28145342,28145402,28145368,28145395,28145341,28145349,28145357,
28145294,28145295,28145399,28145404,28145308,28145359,28145371,28145391,28145406,28145485,
28145294,28145295,28145345,28145393,28145422,28145328,28145395,28145313,28145407,28145485,
28145294,28145300,28145462,28145342,28145402,28145368,28145336,28145344,28145349,28145348,
28145294,28145300,28145408,28145343,28145334,28145319,28145372,28145321,28145354,28145468,
28145294,28145295,28145462,28145342,28145402,28145368,28145340,28145391,28145407,28145485,
28145294,28145300,28145464,28145342,28145325,28145448,28145336,28145349,28145348,28145370,
28145294,28145295,28145347,28145409,28145332,28145327,28145365,28145391,28145407,28145485,
28145294,28145295,28145465,28145350,28145415,28145439,28145356,28145335,28145341,28145357,
28145294,28145303,28145462,28145378,28145402,28145368,28145340,28145310,28145318,28145495,
28145294,28145295,28145465,28145350,28145308,28145439,28145309,28145391,28145407,28145485,
28145294,28145297,28145462,28145413,28145402,28145368,28145340,28145312,28145318,28145435,
28145294,28145300,28145345,28145333,28145330,28145328,28145320,28145391,28145407,28145485,
28145294,28145300,28145462,28145343,28145402,28145368,28145340,28145318,28145321,28145346,
28145294,28145296,28145462,28145342,28145402,28145368,28145372,28145349,28145354,28145468,
28145294,28145295,28145399,28145393,28145422,28145359,28145395,28145341,28145357,28145406,
28145294,28145300,28145399,28145314,28145332,28145359,28145371,28145346,28145353,28145406,
28145294,28145303,28145408,28145314,28145332,28145319,28145372,28145353,28145354,28145468,
28145294,28145303,28145374,28145404,28145334,28145375,28145371,28145321,28145323,28145406,
28145294,28145300,28145399,28145343,28145363,28145359,28145365,28145321,28145346,28145452,
28145294,28145300,28145347,28145409,28145332,28145327,28145365,28145344,28145348,28145437,
28145294,28145297,28145465,28145350,28145415,28145439,28145356,28145344,28145348,28145437,
28145294,28145295,28145464,28145455,28145415,28145448,28145356,28145307,28145310,28145437,
28145294,28145300,28145326,28145393,28145422,28145338,28145395,28145352,28145349,28145370,
28145294,28145303,28145399,28145343,28145325,28145359,28145336,28145346,28145348,28145406,
28145294,28145298,28145462,28145342,28145402,28145368,28145340,28145307,28145344,28145437,
28145294,28145303,28145464,28145378,28145325,28145448,28145336,28145310,28145348,28145495,
28145294,28145297,28145464,28145413,28145325,28145448,28145336,28145312,28145348,28145435,
28145294,28145295,28145374,28145389,28145366,28145319,28145372,28145354,28145398,28145468,
28145294,28145300,28145347,28145409,28145422,28145327,28145395,28145335,28145341,28145357,
28145294,28145297,28145464,28145455,28145325,28145448,28145336,28145335,28145341,28145357,
28145294,28145300,28145317,28145409,28145363,28145338,28145365,28145335,28145353,28145452,
28145294,28145297,28145399,28145343,28145469,28145359,28145315,28145346,28145384,28145406,
28145294,28145297,28145464,28145455,28145308,28145448,28145309,28145391,28145407,28145485,
28145294,28145296,28145408,28145378,28145362,28145400,28145356,28145310,28145495,28145468,
28145294,28145303,28145399,28145343,28145422,28145359,28145395,28145321,28145341,28145346,
28145294,28145295,28145408,28145393,28145422,28145319,28145372,28145352,28145354,28145468,
28145294,28145297,28145374,28145409,28145363,28145375,28145365,28145323,28145353,28145452,
28145294,28145300,28145464,28145393,28145325,28145338,28145336,28145344,28145352,28145348,
28145294,28145296,28145429,28145389,28145316,28145319,28145372,28145354,28145427,28145468,
28145294,28145303,28145374,28145378,28145366,28145400,28145356,28145310,28145323,28145495,
28145294,28145295,28145322,28145378,28145469,28145400,28145315,28145495,28145384,28145442,
28145294,28145298,28145429,28145378,28145316,28145400,28145356,28145310,28145495,28145427,
28145294,28145300,28145464,28145455,28145316,28145448,28145329,28145306,28145307,28145437,
28145294,28145300,28145408,28145339,28145362,28145328,28145372,28145313,28145354,28145468,
28145296,28145297,28145345,28145404,28145334,28145328,28145371,28145313,28145407,28145485,
28145294,28145295,28145347,28145409,28145469,28145327,28145365,28145384,28145442,28145452,
28145295,28145303,28145326,28145342,28145402,28145319,28145372,28145349,28145354,28145370,
28145294,28145300,28145322,28145413,28145469,28145324,28145315,28145312,28145384,28145442,
28145294,28145295,28145464,28145455,28145325,28145448,28145372,28145307,28145354,28145468,
28145294,28145297,28145399,28145333,28145366,28145359,28145371,28145346,28145398,28145406,
28145294,28145295,28145399,28145432,28145362,28145359,28145371,28145346,28145406,28145425,
28145294,28145297,28145374,28145393,28145422,28145375,28145395,28145323,28145341,28145357,
28145294,28145296,28145399,28145404,28145469,28145359,28145371,28145384,28145406,28145442,
28145294,28145303,28145399,28145339,28145308,28145359,28145309,28145346,28145391,28145485,
28145294,28145303,28145429,28145339,28145316,28145328,28145329,28145313,28145427,28145435,
28145294,28145300,28145408,28145432,28145362,28145324,28145329,28145306,28145425,28145468,
28145294,28145297,28145429,28145393,28145316,28145338,28145329,28145352,28145427,28145435,
28145295,28145297,28145345,28145417,28145443,28145328,28145337,28145313,28145407,28145485,
28145297,28145300,28145326,28145342,28145402,28145360,28145337,28145331,28145349,28145370,
28145294,28145297,28145322,28145455,28145469,28145448,28145315,28145307,28145384,28145442,
28145300,28145303,28145326,28145342,28145402,28145324,28145329,28145306,28145349,28145370,
28145294,28145298,28145408,28145413,28145362,28145324,28145372,28145312,28145354,28145468,
28145294,28145296,28145399,28145393,28145422,28145359,28145371,28145346,28145352,28145406,
28145294,28145303,28145408,28145333,28145330,28145375,28145320,28145311,28145354,28145468,
28145294,28145300,28145345,28145339,28145453,28145328,28145309,28145313,28145442,28145479,
28145294,28145296,28145408,28145343,28145362,28145359,28145372,28145346,28145354,28145468,
28145295,28145303,28145399,28145343,28145415,28145359,28145356,28145310,28145321,28145346,
28145297,28145303,28145462,28145343,28145334,28145359,28145340,28145318,28145321,28145346,
28145297,28145303,28145399,28145404,28145334,28145324,28145371,28145306,28145312,28145406,
28145294,28145302,28145464,28145343,28145325,28145448,28145336,28145321,28145346,28145348,
28145294,28145297,28145464,28145455,28145363,28145448,28145365,28145307,28145437,28145452,
28145297,28145300,28145322,28145342,28145402,28145368,28145315,28145349,28145370,28145384,
28145294,28145300,28145429,28145343,28145316,28145359,28145329,28145346,28145427,28145435,
28145297,28145303,28145317,28145404,28145334,28145338,28145371,28145321,28145335,28145406,
28145294,28145303,28145464,28145455,28145330,28145448,28145320,28145307,28145311,28145437,
28145294,28145300,28145429,28145333,28145330,28145375,28145320,28145311,28145427,28145435,
28145294,28145298,28145322,28145393,28145469,28145338,28145315,28145352,28145384,28145442,
28145295,28145296,28145399,28145404,28145363,28145359,28145371,28145353,28145406,28145452,
28145296,28145297,28145462,28145342,28145402,28145368,28145340,28145335,28145341,28145357,
28145300,28145303,28145347,28145314,28145332,28145327,28145336,28145344,28145353,28145348,
28145295,28145303,28145345,28145339,28145363,28145328,28145365,28145313,28145407,28145452,
28145295,28145297,28145385,28145378,28145433,28145360,28145356,28145310,28145426,28145447,
28145297,28145300,28145347,28145409,28145308,28145327,28145309,28145391,28145407,28145485,
28145297,28145303,28145317,28145378,28145415,28145338,28145356,28145310,28145335,28145495,
28145300,28145303,28145345,28145339,28145325,28145328,28145336,28145313,28145348,28145407,
28145296,28145297,28145399,28145342,28145402,28145359,28145371,28145346,28145349,28145406,
28145297,28145303,28145347,28145409,28145363,28145324,28145365,28145306,28145312,28145452,
28145297,28145298,28145345,28145409,28145363,28145328,28145365,28145313,28145353,28145452,
28145296,28145297,28145345,28145393,28145422,28145328,28145395,28145341,28145357,28145407,
28145297,28145300,28145345,28145339,28145469,28145328,28145315,28145313,28145384,28145407,
28145295,28145300,28145326,28145417,28145433,28145360,28145337,28145318,28145331,28145370,
28145294,28145296,28145408,28145396,28145453,28145319,28145372,28145354,28145468,28145479,
28145295,28145303,28145345,28145333,28145330,28145375,28145320,28145311,28145407,28145485,
28145295,28145296,28145345,28145417,28145433,28145360,28145337,28145331,28145407,28145485,
28145294,28145298,28145429,28145455,28145316,28145448,28145329,28145307,28145427,28145435,
28145297,28145300,28145385,28145417,28145443,28145324,28145337,28145306,28145312,28145426,
28145295,28145297,28145462,28145455,28145402,28145368,28145340,28145307,28145318,28145437,
28145297,28145300,28145399,28145333,28145330,28145359,28145320,28145311,28145398,28145406,
28145295,28145300,28145399,28145404,28145334,28145375,28145371,28145311,28145323,28145406,
28145298,28145300,28145347,28145314,28145332,28145327,28145372,28145353,28145354,28145468,
28145297,28145303,28145347,28145409,28145332,28145327,28145365,28145335,28145341,28145357,
28145295,28145297,28145399,28145417,28145443,28145359,28145337,28145331,28145406,28145426,
28145295,28145303,28145465,28145350,28145415,28145375,28145356,28145310,28145311,28145323,
28145295,28145296,28145385,28145378,28145443,28145400,28145356,28145310,28145495,28145426,
28145298,28145303,28145347,28145314,28145332,28145327,28145395,28145341,28145353,28145357,
28145295,28145303,28145347,28145409,28145325,28145327,28145336,28145344,28145348,28145437,
28145297,28145300,28145385,28145413,28145433,28145324,28145329,28145306,28145312,28145447,
28145300,28145303,28145326,28145333,28145330,28145375,28145320,28145311,28145349,28145370,
28145295,28145300,28145399,28145343,28145443,28145359,28145337,28145321,28145331,28145346,
28145295,28145303,28145317,28145314,28145363,28145338,28145365,28145352,28145353,28145452,
28145300,28145303,28145385,28145339,28145308,28145328,28145309,28145313,28145426,28145447,
28145294,28145298,28145464,28145455,28145422,28145448,28145395,28145307,28145341,28145437,
28145300,28145303,28145399,28145343,28145316,28145359,28145329,28145306,28145346,28145406,
28145300,28145303,28145399,28145343,28145330,28145359,28145320,28145311,28145321,28145346,
28145297,28145300,28145399,28145343,28145308,28145359,28145309,28145346,28145391,28145406,
28145296,28145300,28145345,28145417,28145443,28145328,28145337,28145313,28145331,28145426,
28145295,28145296,28145385,28145404,28145433,28145360,28145371,28145406,28145426,28145447,
28145295,28145296,28145385,28145389,28145433,28145319,28145372,28145354,28145447,28145468,
28145298,28145300,28145408,28145342,28145402,28145319,28145372,28145349,28145354,28145468,
28145302,28145303,28145465,28145350,28145415,28145324,28145356,28145306,28145310,28145312,
28145295,28145300,28145317,28145417,28145443,28145338,28145337,28145335,28145341,28145357,
28145294,28145298,28145399,28145396,28145453,28145359,28145371,28145346,28145406,28145479,
28145295,28145296,28145385,28145417,28145443,28145319,28145372,28145331,28145354,28145426,
28145295,28145300,28145385,28145333,28145330,28145375,28145320,28145311,28145426,28145447,
28145298,28145300,28145317,28145404,28145334,28145338,28145371,28145335,28145341,28145357,
28145296,28145297,28145465,28145350,28145415,28145439,28145356,28145391,28145407,28145485,
28145298,28145300,28145345,28145339,28145422,28145328,28145395,28145313,28145341,28145407,
28145295,28145300,28145347,28145409,28145363,28145375,28145365,28145311,28145323,28145452,
28145296,28145298,28145326,28145417,28145443,28145360,28145337,28145331,28145349,28145370,
28145295,28145297,28145385,28145417,28145443,28145375,28145337,28145311,28145323,28145426,
28145295,28145303,28145385,28145339,28145443,28145328,28145337,28145313,28145331,28145426,
28145295,28145297,28145385,28145393,28145443,28145338,28145337,28145331,28145352,28145426,
28145298,28145303,28145317,28145350,28145415,28145338,28145356,28145335,28145341,28145357,
28145297,28145300,28145345,28145393,28145422,28145338,28145395,28145352,28145407,28145485,
28145296,28145298,28145347,28145409,28145308,28145327,28145365,28145391,28145452,28145485,
28145297,28145300,28145464,28145343,28145325,28145359,28145336,28145344,28145346,28145348,
28145296,28145297,28145385,28145339,28145433,28145360,28145309,28145313,28145426,28145447,
28145295,28145297,28145374,28145404,28145366,28145375,28145371,28145323,28145398,28145406,
28145295,28145298,28145465,28145350,28145325,28145439,28145336,28145344,28145348,28145437,
28145296,28145303,28145385,28145413,28145443,28145324,28145329,28145306,28145312,28145426,
28145295,28145302,28145374,28145378,28145415,28145375,28145356,28145310,28145323,28145495,
