Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
90663-85251,P,Zac,Zac Gallen,Gallen,39.9,10,11600,ARI@PIT,ARI,PIT,,,,,0,P
90663-162445,P,Spencer,Spencer Strider,Strider,44.666666666666664,10,11500,SEA@ATL,ATL,SEA,,,,,0,P
90663-79217,P,Mitch,Mitch Keller,Keller,43,10,11500,ARI@PIT,PIT,ARI,,,,,0,P
90663-5427,P,Clayton,Clayton Kershaw,Kershaw,40.55555555555556,9,11400,LAD@STL,LAD,STL,,,,Yes,,P
90663-52859,P,Jacob,Jacob deGrom,deGrom,37.166666666666664,6,11400,COL@TEX,TEX,COL,IL,Elbow,,,,P
90663-102407,P,Shane,Shane McClanahan,McClanahan,40.6,10,11200,MIL@TB,TB,MIL,,,,,0,P
90663-38000,P,Kevin,Kevin Gausman,Gausman,41.77777777777778,9,11200,BAL@TOR,TOR,BAL,,,,Yes,,P
90663-85599,P,Framber,Framber Valdez,Valdez,39.77777777777778,9,11200,OAK@HOU,HOU,OAK,,,,Yes,,P
90663-85476,P,Jeffrey,Jeffrey Springs,Springs,45.666666666666664,4,11000,MIL@TB,TB,MIL,IL,Elbow,,,0,P
90663-13233,P,Nathan,Nathan Eovaldi,Eovaldi,40.111111111111114,9,10800,COL@TEX,TEX,COL,,,,,,P
90663-83190,P,Freddy,Freddy Peralta,Peralta,33.625,9,10700,MIL@TB,MIL,TB,,,,Yes,,P
90663-52142,P,Eduardo,Eduardo Rodriguez,Rodriguez,36.77777777777778,9,10600,DET@WSH,DET,WSH,,,,,0,P
90663-52166,P,Julio,Julio Urias,Urias,29.4,10,10400,LAD@STL,LAD,STL,IL,Hamstring,,,,P
90663-119361,P,Drew,Drew Rasmussen,Rasmussen,34,9,10300,MIL@TB,TB,MIL,IL,Elbow,,,0,P
90663-80582,P,Brandon,Brandon Woodruff,Woodruff,38.5,3,10200,MIL@TB,MIL,TB,IL,Shoulder,,,0,P
90663-68482,P,Zach,Zach Eflin,Eflin,36.375,9,10200,MIL@TB,TB,MIL,,,,,0,P
90663-146664,P,Bryce,Bryce Elder,Elder,32.666666666666664,9,10200,SEA@ATL,ATL,SEA,,,,,0,P
90663-79162,P,Luis,Luis Castillo,Castillo,32.888888888888886,9,10200,SEA@ATL,SEA,ATL,,,,,0,P
90663-165698,P,Taj,Taj Bradley,Bradley,34,4,10200,MIL@TB,TB,MIL,,,,,0,P
90663-119414,P,George,George Kirby,Kirby,36.625,8,10000,SEA@ATL,SEA,ATL,,,,Yes,,P
90663-82604,P,Corbin,Corbin Burnes,Burnes,30.77777777777778,9,10000,MIL@TB,MIL,TB,,,,,0,P
90663-102335,P,Cristian,Cristian Javier,Javier,35.77777777777778,9,10000,OAK@HOU,HOU,OAK,,,,,,P
90663-82635,P,MacKenzie,MacKenzie Gore,Gore,32.22222222222222,10,9900,DET@WSH,WSH,DET,,,,,0,P
90663-52185,P,Max,Max Fried,Fried,30.2,5,9900,SEA@ATL,ATL,SEA,IL,Forearm,,,0,P
90663-101881,P,Merrill,Merrill Kelly,Kelly,35,9,9900,ARI@PIT,ARI,PIT,,,,Yes,,P
90663-53029,P,Robbie,Robbie Ray,Ray,10,1,9900,SEA@ATL,SEA,ATL,IL,Elbow,,,0,P
90663-165689,P,Bryce,Bryce Miller,Miller,39.5,4,9900,SEA@ATL,SEA,ATL,,,,,0,P
90663-102396,P,Logan,Logan Gilbert,Gilbert,34.55555555555556,9,9900,SEA@ATL,SEA,ATL,,,,,0,P
90663-52198,P,Lucas,Lucas Giolito,Giolito,32.9,10,9800,KC@CWS,CWS,KC,,,,,,P
90663-79091,P,Dylan,Dylan Cease,Cease,27.3,10,9800,KC@CWS,CWS,KC,,,,,,P
90663-5466,P,Charlie,Charlie Morton,Morton,36.75,9,9800,SEA@ATL,ATL,SEA,,,,,0,P
90663-101810,P,Justin,Justin Steele,Steele,36.22222222222222,10,9800,CHC@PHI,CHC,PHI,,,,Yes,,P
90663-82594,P,Dustin,Dustin May,May,27.11111111111111,9,9700,LAD@STL,LAD,STL,IL,Forearm,,,,P
90663-135212,P,Luis,Luis Garcia,Garcia,31.6,6,9600,OAK@HOU,HOU,OAK,IL,Elbow,,,,P
90663-146687,P,Hunter,Hunter Brown,Brown,34,9,9600,OAK@HOU,HOU,OAK,,,,,,P
90663-39041,P,Marcus,Marcus Stroman,Stroman,31.4,10,9500,CHC@PHI,CHC,PHI,,,,,0,P
90663-52155,P,Jon,Jon Gray,Gray,28.333333333333332,9,9500,COL@TEX,TEX,COL,,,,,,P
90663-52183,P,Tyler,Tyler Glasnow,Glasnow,25.666666666666668,3,9500,MIL@TB,TB,MIL,IL,Oblique,,,0,P
90663-60647,P,Aaron,Aaron Nola,Nola,30.5,10,9500,CHC@PHI,PHI,CHC,,,,,0,P
90663-53067,P,Chris,Chris Bassitt,Bassitt,34.77777777777778,9,9500,BAL@TOR,TOR,BAL,,,,,0,P
90663-16960,P,Zack,Zack Wheeler,Wheeler,33.44444444444444,9,9400,CHC@PHI,PHI,CHC,,,,,0,P
90663-52167,P,Andrew,Andrew Heaney,Heaney,28.625,8,9400,COL@TEX,TEX,COL,,,,Yes,,P
90663-181805,P,J.P.,J.P. France,France,21.666666666666668,3,9300,OAK@HOU,HOU,OAK,,,,,,P
90663-102343,P,Tony,Tony Gonsolin,Gonsolin,27.2,5,9300,LAD@STL,LAD,STL,,,,,,P
90663-102502,P,Josiah,Josiah Gray,Gray,31.444444444444443,10,9200,DET@WSH,WSH,DET,,,,Yes,,P
90663-145922,P,Tyler,Tyler Wells,Wells,29.88888888888889,10,9200,BAL@TOR,BAL,TOR,,,,,0,P
90663-82535,P,Kyle,Kyle Wright,Wright,16,5,9100,SEA@ATL,ATL,SEA,IL,Shoulder,,,0,P
90663-17087,P,Drew,Drew Smyly,Smyly,31.22222222222222,10,9000,CHC@PHI,CHC,PHI,,,,,0,P
90663-79246,P,Jack,Jack Flaherty,Flaherty,25.666666666666668,9,9000,LAD@STL,STL,LAD,,,,Yes,,P
90663-62872,P,Vince,Vince Velasquez,Velasquez,30.285714285714285,7,8900,ARI@PIT,PIT,ARI,IL,Elbow,,,0,P
90663-60639,P,Jose,Jose Berrios,Berrios,29.666666666666668,9,8800,BAL@TOR,TOR,BAL,,,,,0,P
90663-102001,P,Yusei,Yusei Kikuchi,Kikuchi,27.444444444444443,9,8800,BAL@TOR,TOR,BAL,,,,,0,P
90663-5983,P,Rich,Rich Hill,Hill,27.88888888888889,9,8800,ARI@PIT,PIT,ARI,,,,,0,P
90663-52159,P,Lance,Lance McCullers Jr.,McCullers Jr.,34.09090909090909,11,8700,OAK@HOU,HOU,OAK,IL,Forearm,,,,P
90663-60632,P,Kyle,Kyle Freeland,Freeland,25.3,10,8700,COL@TEX,COL,TEX,,,,,,P
90663-72265,P,Matt,Matt Strahm,Strahm,21.9,10,8600,CHC@PHI,PHI,CHC,,,,,0,P
90663-83157,P,Ranger,Ranger Suarez,Suarez,10.5,2,8600,CHC@PHI,PHI,CHC,,,,,0,P
90663-79853,P,Jordan,Jordan Montgomery,Montgomery,28.666666666666668,9,8600,LAD@STL,STL,LAD,,,,,,P
90663-79390,P,Michael,Michael Kopech,Kopech,27.444444444444443,9,8500,KC@CWS,CWS,KC,,,,,,P
90663-12972,P,Wade,Wade Miley,Miley,22.5,9,8400,MIL@TB,MIL,TB,IL,Lat,,,0,P
90663-11328,P,Martin,Martin Perez,Perez,26.444444444444443,9,8400,COL@TEX,TEX,COL,,,,,,P
90663-11354,P,Lance,Lance Lynn,Lynn,27,9,8400,KC@CWS,CWS,KC,,,,Yes,,P
90663-102515,P,Aaron,Aaron Ashby,Ashby,20.925925925925927,27,8300,MIL@TB,MIL,TB,IL,Shoulder,,,0,P
90663-79226,P,Eric,Eric Lauer,Lauer,22.77777777777778,10,8300,MIL@TB,MIL,TB,,,,,0,P
90663-102684,P,Jake,Jake Irvin,Irvin,19,4,8200,DET@WSH,WSH,DET,,,,,0,P
90663-118397,P,Trevor,Trevor Megill,Megill,8,2,8200,MIL@TB,MIL,TB,,,,,0,P
90663-102294,P,Grayson,Grayson Rodriguez,Rodriguez,22.333333333333332,9,8200,BAL@TOR,BAL,TOR,,,,,0,P
90663-110822,P,Jose,Jose Urquidy,Urquidy,20,6,8000,OAK@HOU,HOU,OAK,IL,Shoulder,,,,P
90663-21097,P,Taijuan,Taijuan Walker,Walker,20.555555555555557,9,8000,CHC@PHI,PHI,CHC,,,,Yes,,P
90663-12936,P,Kyle,Kyle Gibson,Gibson,26.6,10,8000,BAL@TOR,BAL,TOR,,,,,0,P
90663-119441,P,Alek,Alek Manoah,Manoah,19.9,10,8000,BAL@TOR,TOR,BAL,,,,,0,P
90663-79072,P,Brad,Brad Keller,Keller,20.22222222222222,10,8000,KC@CWS,KC,CWS,IL,Shoulder,,,,P
90663-52728,P,Michael,Michael Lorenzen,Lorenzen,27.5,6,8000,DET@WSH,DET,WSH,,,,,0,P
90663-102330,P,Kris,Kris Bubic,Bubic,26.333333333333332,4,8000,KC@CWS,KC,CWS,IL,Elbow,,,,P
90663-119340,P,Tarik,Tarik Skubal,Skubal,30.857142857142858,21,7900,DET@WSH,DET,WSH,IL,Elbow,,,0,P
90663-63136,P,Matthew,Matthew Boyd,Boyd,19.5,9,7900,DET@WSH,DET,WSH,,,,,0,P
90663-102447,P,Dean,Dean Kremer,Kremer,23.77777777777778,10,7800,BAL@TOR,BAL,TOR,,,,Yes,,P
90663-79168,P,Walker,Walker Buehler,Buehler,27.5,12,7800,LAD@STL,LAD,STL,IL,Elbow,,,,P
90663-13664,P,Patrick,Patrick Corbin,Corbin,22.9,10,7800,DET@WSH,WSH,DET,,,,,0,P
90663-163693,P,Adam,Adam Oller,Oller,4.222222222222222,9,7800,OAK@HOU,OAK,HOU,,,,,,P
90663-119391,P,Roansy,Roansy Contreras,Contreras,24.875,8,7700,ARI@PIT,PIT,ARI,,,,Yes,,P
90663-101838,P,JT,JT Brubaker,Brubaker,24.928571428571427,28,7700,ARI@PIT,PIT,ARI,IL,Elbow,,,0,P
90663-165636,P,Hayden,Hayden Wesneski,Wesneski,20,9,7700,CHC@PHI,CHC,PHI,,,,,0,P
90663-165642,P,Mason,Mason Miller,Miller,28.5,4,7700,OAK@HOU,OAK,HOU,IL,Elbow,,,,P
