P,C/1B,2B,3B,SS,OF,OF,OF,UTIL
90623-60647,90623-12940,90623-102308,90623-13567,90623-165507,90623-60643,90623-102591,90623-79249,90623-79255,
90623-60647,90623-12940,90623-68588,90623-13567,90623-21885,90623-60643,90623-119343,90623-154422,90623-79255,
