P,P,C,1B,2B,3B,SS,OF,OF,OF
28154654,28154655,28154798,28155042,28154878,28154859,28154736,28154740,28154748,28154847,
28154654,28154659,28154730,28154806,28154757,28154682,28154825,28154895,28155000,28155039,
28154652,28154654,28154798,28155042,28154725,28154892,28154967,28154748,28154758,28154890,
28154654,28154658,28154730,28154871,28154757,28154705,28154808,28154784,28154895,28155003,
28154654,28154661,28154939,28154734,28154789,28154765,28154711,28154740,28154847,28154873,
28154654,28154659,28154939,28154824,28154789,28154705,28154808,28154720,28154784,28154873,
28154655,28154659,28154850,28154701,28154725,28154892,28154967,28154678,28154877,28154890,
28154655,28154661,28154698,28154702,28154757,28154712,28154825,28154877,28154895,28155039,
28154658,28154659,28154730,28154833,28154757,28154765,28154736,28154740,28154847,28154895,
28154654,28154658,28154788,28154833,28154757,28154841,28154825,28154678,28154877,28155039,
28154654,28154658,28154958,28154806,28154857,28154682,28154736,28154740,28154847,28155000,
28154654,28154659,28155012,28154776,28154910,28154765,28154766,28154692,28154740,28154847,
28154654,28154670,28154730,28154701,28154757,28154721,28154795,28154785,28154895,28154978,
28154654,28154658,28154939,28154734,28154894,28154712,28154711,28154742,28155011,28155017,
28154654,28154655,28154752,28154905,28154781,28154705,28154808,28154784,28154954,28154996,
28154654,28154670,28154698,28154702,28154693,28154765,28155010,28154740,28154847,28155017,
28154654,28154657,28154788,28154833,28154725,28154765,28154967,28154740,28154847,28154890,
28154655,28154659,28154939,28154734,28154717,28154783,28154711,28154804,28154873,28154907,
28154654,28154659,28154874,28154941,28154774,28154741,28154736,28154740,28154809,28154847,
28154654,28154661,28154850,28154750,28154757,28154861,28154825,28154713,28154758,
28154654,28154655,28154714,28154754,28154911,28154791,28154825,28154745,28154877,28155039,
28154654,28154666,28154730,28154701,28154921,28154721,28154736,28154740,28154847,28155031,
28154654,28154655,28154900,28154806,28154793,28154682,28154808,28154784,28154950,28155000,
28154658,28154659,28154730,28154701,28154894,28154721,28155010,28154678,28154895,28155017,
28154658,28154659,28154698,28154702,28154693,28154712,28155010,28154785,28154978,28155070,
28154652,28154654,28154999,28154887,28155060,28154783,28154736,28154740,28154813,28154847,
28154654,28154661,28154850,28154806,28154725,28154682,28154967,28154713,28154890,28155000,
28154654,28154670,28154698,28154702,28154725,28154712,28154967,28154742,28154890,28155011,
28154652,28154654,28154798,28155042,28154878,28154760,28154795,28154785,28154978,28155070,
28154655,28154659,28154698,28154848,28154894,28154712,28155586,28154692,28154742,28155011,
28154654,28154661,28154936,28154680,28154725,28154892,28155030,28154684,28154826,28154890,
28154655,28154658,28154903,28154750,28154725,28154892,28155041,28154697,28154758,28154890,
28154659,28154670,28154958,28154824,28154717,28154682,28154711,28154687,28154720,28155000,
28154657,28154659,28154698,28154702,28154793,28154712,28154808,28154784,28154950,28155003,
28154654,28154661,28154821,28154702,28154693,28154783,28155010,28154804,28154813,28154907,
28154654,28154661,28154874,28154750,28154984,28154892,28154707,28154722,28154758,28154809,
28154654,28154661,28154730,28154696,28154781,28154721,28154801,28154895,28154954,28154996,
28154654,28154670,28154939,28154734,28154717,28154791,28154711,28154687,28154799,28155047,
28154655,28154667,28154730,28154909,28154757,28154721,28154825,28154686,28154796,28154895,
28154654,28154659,28154788,28154824,28154921,28154841,28154736,28154687,28154720,28155031,
28154654,28154670,28154752,28154905,28154726,28154710,28154801,28154678,28154877,28155039,
28154655,28154659,28154850,28154750,28154789,28154861,28154967,28154713,28154720,28154873,
28154654,28154659,28154866,28154750,28154839,28154892,28154737,28154751,28154758,28154908,
28154655,28154659,28154958,28154806,28154693,28154682,28155010,28154686,28155000,28155017,
28154661,28154677,28154730,28154701,28154910,28154721,28154766,28154678,28154692,28154877,
28154654,28154655,28154714,28155016,28154911,28154765,28154749,28154740,28154847,28155047,
28154654,28154657,28154753,28154773,28154757,28154760,28154825,28154729,28155039,28155070,
28154652,28154659,28154752,28154905,28154725,28154892,28154801,28154758,28154954,28154996,
