P,C/1B,2B,3B,SS,OF,OF,OF,UTIL
90947-82554,90947-79223,90947-118218,90947-38976,90947-68589,90947-82440,90947-12933,90947-79211,90947-53994,
90947-82554,90947-79223,90947-102301,90947-38976,90947-68589,90947-39151,90947-79092,90947-163666,90947-180208,
90947-82554,90947-79223,90947-118218,90947-38976,90947-68589,90947-79230,90947-5456,90947-163666,90947-79216,
90947-82554,90947-79223,90947-102301,90947-38976,90947-68586,90947-5456,90947-167012,90947-79092,90947-53994,
90947-82554,90947-79223,90947-119404,90947-38976,90947-68589,90947-85261,90947-163666,90947-53993,90947-82574,
90947-82554,90947-118120,90947-118218,90947-38976,90947-68589,90947-163666,90947-13854,90947-97257,90947-119437,
90947-82554,90947-79223,90947-161418,90947-38976,90947-60672,90947-39151,90947-82734,90947-68495,90947-53994,
90947-11354,90947-79401,90947-180208,90947-38976,90947-68589,90947-13540,90947-163666,90947-38561,90947-79223,
90947-82554,90947-79401,90947-119404,90947-38976,90947-21885,90947-13540,90947-38561,90947-82611,90947-135203,
90947-11354,90947-79223,90947-21705,90947-38976,90947-68589,90947-82734,90947-79093,90947-68495,90947-53994,
90947-79103,90947-79223,90947-21705,90947-38976,90947-38412,90947-39151,90947-163666,90947-82652,90947-68589,
90947-82554,90947-79223,90947-82660,90947-38976,90947-68589,90947-163666,90947-60642,90947-53033,90947-68525,
90947-82554,90947-79223,90947-82660,90947-38976,90947-68589,90947-39151,90947-101844,90947-173078,90947-53994,
90947-82554,90947-79223,90947-54049,90947-38976,90947-68589,90947-39151,90947-82612,90947-83155,90947-116450,
90947-82554,90947-21172,90947-68587,90947-38976,90947-68589,90947-82440,90947-54068,90947-163666,90947-79223,
90947-82554,90947-135203,90947-118218,90947-38976,90947-21885,90947-82440,90947-12933,90947-54068,90947-119404,
90947-38028,90947-79401,90947-118218,90947-38976,90947-68589,90947-39151,90947-13540,90947-163666,90947-11334,
90947-82554,90947-83182,90947-119404,90947-38976,90947-102621,90947-85261,90947-53993,90947-82611,90947-135203,
90947-11354,90947-79223,90947-21705,90947-38976,90947-68589,90947-163666,90947-82612,90947-102392,90947-102380,
90947-11354,90947-79223,90947-21705,90947-38976,90947-68586,90947-167012,90947-79092,90947-80847,90947-68589,
90947-38028,90947-52175,90947-21705,90947-38976,90947-68589,90947-79756,90947-163666,90947-136672,90947-79223,
90947-11354,90947-13326,90947-118218,90947-38976,90947-68589,90947-85261,90947-163666,90947-54401,90947-82574,
90947-82554,90947-79223,90947-21705,90947-68525,90947-38412,90947-53033,90947-181820,90947-82652,90947-101787,
90947-82554,90947-83182,90947-21705,90947-79267,90947-38412,90947-39151,90947-82611,90947-82652,90947-135203,
90947-79217,90947-79223,90947-161418,90947-38976,90947-60672,90947-85261,90947-163666,90947-68495,90947-68589,
90947-82554,90947-101910,90947-118218,90947-79216,90947-68586,90947-79230,90947-5456,90947-167012,90947-79092,
90947-82554,90947-118120,90947-118218,90947-119437,90947-68586,90947-167012,90947-79092,90947-13854,90947-80847,
90947-82554,90947-21172,90947-21705,90947-79216,90947-38412,90947-82440,90947-54068,90947-82652,90947-104483,
90947-82554,90947-13303,90947-118218,90947-38976,90947-68589,90947-82734,90947-163666,90947-79093,90947-68495,
