Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Shane McClanahan (28169315),Shane McClanahan,28169315,P,11100,TB@CHC 05/31/2023 02:20PM ET,TB,22.73
RP,Spencer Strider (28169316),Spencer Strider,28169316,P,10800,ATL@OAK 05/31/2023 03:37PM ET,ATL,26.70
SP,Mitch Keller (28168748),Mitch Keller,28168748,P,10800,PIT@SF 05/31/2023 03:45PM ET,PIT,23.92
SP,Jacob deGrom (28169317),Jacob deGrom,28169317,P,10600,TEX@DET 05/31/2023 01:10PM ET,TEX,22.41
SP,Nathan Eovaldi (28169318),Nathan Eovaldi,28169318,P,10500,TEX@DET 05/31/2023 01:10PM ET,TEX,23.43
SP,Zach Eflin (28168749),Zach Eflin,28168749,P,10500,TB@CHC 05/31/2023 02:20PM ET,TB,20.21
SP,Julio Urias (28169319),Julio Urias,28169319,P,10400,WAS@LAD 05/31/2023 04:10PM ET,LAD,15.75
RP,Jeffrey Springs (28169320),Jeffrey Springs,28169320,P,10200,TB@CHC 05/31/2023 02:20PM ET,TB,28.4
SP,Dustin May (28169321),Dustin May,28169321,P,10200,WAS@LAD 05/31/2023 04:10PM ET,LAD,15.09
SP,Clayton Kershaw (28169322),Clayton Kershaw,28169322,P,10100,WAS@LAD 05/31/2023 04:10PM ET,LAD,20.40
SP,Walker Buehler (28169323),Walker Buehler,28169323,P,10000,WAS@LAD 05/31/2023 04:10PM ET,LAD,0
SP,Logan Webb (28169324),Logan Webb,28169324,P,9900,PIT@SF 05/31/2023 03:45PM ET,SF,21.69
SP,Drew Rasmussen (28169325),Drew Rasmussen,28169325,P,9500,TB@CHC 05/31/2023 02:20PM ET,TB,19.46
SP,Shane Bieber (28168750),Shane Bieber,28168750,P,9400,CLE@BAL 05/31/2023 03:05PM ET,CLE,15.95
SP,Taj Bradley (28169326),Taj Bradley,28169326,P,9400,TB@CHC 05/31/2023 02:20PM ET,TB,19.95
SP,Max Fried (28169328),Max Fried,28169328,P,9200,ATL@OAK 05/31/2023 03:37PM ET,ATL,18.54
SP,Lucas Giolito (28169327),Lucas Giolito,28169327,P,9200,LAA@CWS 05/31/2023 02:10PM ET,CWS,15.98
SP,Justin Steele (28168751),Justin Steele,28168751,P,9100,TB@CHC 05/31/2023 02:20PM ET,CHC,18.06
SP,Anthony DeSclafani (28169329),Anthony DeSclafani,28169329,P,9100,PIT@SF 05/31/2023 03:45PM ET,SF,15.43
SP,Triston McKenzie (28169330),Triston McKenzie,28169330,P,9000,CLE@BAL 05/31/2023 03:05PM ET,CLE,0
SP,Bryce Elder (28169331),Bryce Elder,28169331,P,9000,ATL@OAK 05/31/2023 03:37PM ET,ATL,17.80
SP,Ryan Pepiot (28169332),Ryan Pepiot,28169332,P,8800,WAS@LAD 05/31/2023 04:10PM ET,LAD,0
SP,Michael Kopech (28169335),Michael Kopech,28169335,P,8700,LAA@CWS 05/31/2023 02:10PM ET,CWS,16.27
RP,Calvin Faucher (28169333),Calvin Faucher,28169333,P,8700,TB@CHC 05/31/2023 02:20PM ET,TB,2.55
RP,Michael Grove (28169334),Michael Grove,28169334,P,8700,WAS@LAD 05/31/2023 04:10PM ET,LAD,4.15
RP,Nick Sandlin (28169338),Nick Sandlin,28169338,P,8600,CLE@BAL 05/31/2023 03:05PM ET,CLE,3.40
SP,Trevor Stephan (28169339),Trevor Stephan,28169339,P,8600,CLE@BAL 05/31/2023 03:05PM ET,CLE,3.43
RP,Enyel De Los Santos (28169340),Enyel De Los Santos,28169340,P,8600,CLE@BAL 05/31/2023 03:05PM ET,CLE,3.26
SP,Lance Lynn (28168752),Lance Lynn,28168752,P,8600,LAA@CWS 05/31/2023 02:10PM ET,CWS,14.92
SP,Dylan Cease (28169337),Dylan Cease,28169337,P,8600,LAA@CWS 05/31/2023 02:10PM ET,CWS,13.77
RP,John Brebbia (28169336),John Brebbia,28169336,P,8600,PIT@SF 05/31/2023 03:45PM ET,SF,3.67
SP,Aaron Civale (28169342),Aaron Civale,28169342,P,8400,CLE@BAL 05/31/2023 03:05PM ET,CLE,16.35
SP,Eli Morgan (28169343),Eli Morgan,28169343,P,8400,CLE@BAL 05/31/2023 03:05PM ET,CLE,4.50
RP,Jalen Beeks (28169344),Jalen Beeks,28169344,P,8400,TB@CHC 05/31/2023 02:20PM ET,TB,3.63
SP,Marcus Stroman (28169345),Marcus Stroman,28169345,P,8400,TB@CHC 05/31/2023 02:20PM ET,CHC,18.90
SP,Adbert Alzolay (28169349),Adbert Alzolay,28169349,P,8400,TB@CHC 05/31/2023 02:20PM ET,CHC,4.36
SP,Tony Gonsolin (28169347),Tony Gonsolin,28169347,P,8400,WAS@LAD 05/31/2023 04:10PM ET,LAD,15.41
SP,Caleb Smith (28169341),Caleb Smith,28169341,P,8400,PIT@SF 05/31/2023 03:45PM ET,PIT,0
SP,Jakob Junis (28169346),Jakob Junis,28169346,P,8400,PIT@SF 05/31/2023 03:45PM ET,SF,6.36
SP,Thomas Szapucki (28169348),Thomas Szapucki,28169348,P,8400,PIT@SF 05/31/2023 03:45PM ET,SF,0
SP,Drew Smyly (28169351),Drew Smyly,28169351,P,8300,TB@CHC 05/31/2023 02:20PM ET,CHC,16
SP,Tyler Glasnow (28169352),Tyler Glasnow,28169352,P,8300,TB@CHC 05/31/2023 02:20PM ET,TB,16.15
SP,Shane Baz (28169353),Shane Baz,28169353,P,8300,TB@CHC 05/31/2023 02:20PM ET,TB,0
SP,Javier Assad (28169354),Javier Assad,28169354,P,8300,TB@CHC 05/31/2023 02:20PM ET,CHC,5.16
SP,Alex Cobb (28169350),Alex Cobb,28169350,P,8300,PIT@SF 05/31/2023 03:45PM ET,SF,16.28
SP,Eduardo Rodriguez (28169355),Eduardo Rodriguez,28169355,P,8200,TEX@DET 05/31/2023 01:10PM ET,DET,20.97
SP,Mason Miller (28169358),Mason Miller,28169358,P,8200,ATL@OAK 05/31/2023 03:37PM ET,OAK,15.55
SP,Reid Detmers (28169359),Reid Detmers,28169359,P,8200,LAA@CWS 05/31/2023 02:10PM ET,LAA,13.88
RP,Keegan Thompson (28169360),Keegan Thompson,28169360,P,8200,TB@CHC 05/31/2023 02:20PM ET,CHC,3.41
SP,Rich Hill (28169356),Rich Hill,28169356,P,8200,PIT@SF 05/31/2023 03:45PM ET,PIT,13.29
RP,Ross Stripling (28169357),Ross Stripling,28169357,P,8200,PIT@SF 05/31/2023 03:45PM ET,SF,4.62
SP,Tyler Wells (28169361),Tyler Wells,28169361,P,8100,CLE@BAL 05/31/2023 03:05PM ET,BAL,18.00
RP,Xzavion Curry (28169365),Xzavion Curry,28169365,P,8100,CLE@BAL 05/31/2023 03:05PM ET,CLE,6.10
SP,Touki Toussaint (28169366),Touki Toussaint,28169366,P,8100,CLE@BAL 05/31/2023 03:05PM ET,CLE,0
SP,Cody Morris (28169367),Cody Morris,28169367,P,8100,CLE@BAL 05/31/2023 03:05PM ET,CLE,0
SP,Martin Perez (28169363),Martin Perez,28169363,P,8100,TEX@DET 05/31/2023 01:10PM ET,TEX,12.02
SP,Kyle Wright (28169364),Kyle Wright,28169364,P,8100,ATL@OAK 05/31/2023 03:37PM ET,ATL,7.4
SP,Patrick Sandoval (28169362),Patrick Sandoval,28169362,P,8100,LAA@CWS 05/31/2023 02:10PM ET,LAA,12.27
SP,Adrian Sampson (28169368),Adrian Sampson,28169368,P,8100,TB@CHC 05/31/2023 02:20PM ET,CHC,0
SP,Tanner Bibee (28169370),Tanner Bibee,28169370,P,8000,CLE@BAL 05/31/2023 03:05PM ET,CLE,17.31
SP,Tucker Davidson (28169369),Tucker Davidson,28169369,P,8000,LAA@CWS 05/31/2023 02:10PM ET,LAA,3.87
SP,Josh Fleming (28169373),Josh Fleming,28169373,P,8000,TB@CHC 05/31/2023 02:20PM ET,TB,6.32
SP,Gavin Stone (28169372),Gavin Stone,28169372,P,8000,WAS@LAD 05/31/2023 04:10PM ET,LAD,-5.83
RP,Chase De Jong (28169371),Chase De Jong,28169371,P,8000,PIT@SF 05/31/2023 03:45PM ET,PIT,-0.48
SP,Jon Gray (28169375),Jon Gray,28169375,P,7900,TEX@DET 05/31/2023 01:10PM ET,TEX,16.56
SP,Shintaro Fujinami (28169376),Shintaro Fujinami,28169376,P,7900,ATL@OAK 05/31/2023 03:37PM ET,OAK,1.16
SP,Adam Oller (28169377),Adam Oller,28169377,P,7900,ATL@OAK 05/31/2023 03:37PM ET,OAK,0.56
SP,Michael Soroka (28169378),Michael Soroka,28169378,P,7900,ATL@OAK 05/31/2023 03:37PM ET,ATL,6.1
SP,Charlie Morton (28169379),Charlie Morton,28169379,P,7900,ATL@OAK 05/31/2023 03:37PM ET,ATL,17.76
SP,Jaime Barria (28168753),Jaime Barria,28168753,P,7900,LAA@CWS 05/31/2023 02:10PM ET,LAA,8.20
SP,A.J. Alexy (28169374),A.J. Alexy,28169374,P,7900,LAA@CWS 05/31/2023 02:10PM ET,CWS,0
SP,Logan Allen (28169384),Logan Allen,28169384,P,7800,CLE@BAL 05/31/2023 03:05PM ET,CLE,18.29
SP,Ian Anderson (28169382),Ian Anderson,28169382,P,7800,ATL@OAK 05/31/2023 03:37PM ET,ATL,0
SP,Davis Martin (28169381),Davis Martin,28169381,P,7800,LAA@CWS 05/31/2023 02:10PM ET,CWS,0
SP,Vince Velasquez (28169380),Vince Velasquez,28169380,P,7800,PIT@SF 05/31/2023 03:45PM ET,PIT,14
SP,JT Brubaker (28169383),JT Brubaker,28169383,P,7800,PIT@SF 05/31/2023 03:45PM ET,PIT,0
SP,Andrew Heaney (28169385),Andrew Heaney,28169385,P,7700,TEX@DET 05/31/2023 01:10PM ET,TEX,16.30
