Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
90623-85251,P,Zac,Zac Gallen,Gallen,39.9,10,11600,ARI@PIT,ARI,PIT,,,,,,P
90623-79217,P,Mitch,Mitch Keller,Keller,43.333333333333336,9,11500,ARI@PIT,PIT,ARI,,,,Yes,,P
90623-52859,P,Jacob,Jacob deGrom,deGrom,37.166666666666664,6,11400,COL@TEX,TEX,COL,IL,Elbow,,,,P
90623-102407,P,Shane,Shane McClanahan,McClanahan,40.6,10,11200,MIL@TB,TB,MIL,,,,,,P
90623-82554,P,Shane,Shane Bieber,Bieber,31.555555555555557,9,11200,CLE@NYM,CLE,NYM,,,,,,P
90623-85476,P,Jeffrey,Jeffrey Springs,Springs,45.666666666666664,4,11000,MIL@TB,TB,MIL,IL,Elbow,,,,P
90623-16956,P,Gerrit,Gerrit Cole,Cole,40.8,10,11000,NYY@CIN,NYY,CIN,,,,,,P
90623-83190,P,Freddy,Freddy Peralta,Peralta,33.625,9,10900,MIL@TB,MIL,TB,,,,,,P
90623-5202,P,Justin,Justin Verlander,Verlander,26.333333333333332,4,10800,CLE@NYM,NYM,CLE,,,,,,P
90623-101839,P,Logan,Logan Webb,Webb,36.666666666666664,9,10800,MIA@SF,SF,MIA,,,,Yes,,P
90623-13233,P,Nathan,Nathan Eovaldi,Eovaldi,40.111111111111114,9,10800,COL@TEX,TEX,COL,,,,,,P
90623-85599,P,Framber,Framber Valdez,Valdez,39.77777777777778,9,10700,OAK@HOU,HOU,OAK,,,,,,P
90623-52142,P,Eduardo,Eduardo Rodriguez,Rodriguez,36.77777777777778,9,10600,DET@WSH,DET,WSH,,,,,,P
90623-79245,P,Sandy,Sandy Alcantara,Alcantara,29.375,8,10400,MIA@SF,MIA,SF,,,,,,P
90623-101810,P,Justin,Justin Steele,Steele,36.22222222222222,10,10400,CHC@PHI,CHC,PHI,,,,,,P
90623-119361,P,Drew,Drew Rasmussen,Rasmussen,34,9,10300,MIL@TB,TB,MIL,IL,Elbow,,,,P
90623-60633,P,Carlos,Carlos Rodon,Rodon,39.41935483870968,31,10200,NYY@CIN,NYY,CIN,IL,Back,,,,P
90623-80582,P,Brandon,Brandon Woodruff,Woodruff,38.5,3,10200,MIL@TB,MIL,TB,IL,Shoulder,,,,P
90623-165698,P,Taj,Taj Bradley,Bradley,34,4,10200,MIL@TB,TB,MIL,,,,,,P
90623-68482,P,Zach,Zach Eflin,Eflin,35,8,10200,MIL@TB,TB,MIL,,,,Yes,,P
90623-5481,P,Max,Max Scherzer,Scherzer,23,6,10000,CLE@NYM,NYM,CLE,,,,Yes,,P
90623-82604,P,Corbin,Corbin Burnes,Burnes,30.77777777777778,9,10000,MIL@TB,MIL,TB,,,,,,P
90623-102335,P,Cristian,Cristian Javier,Javier,35.77777777777778,9,10000,OAK@HOU,HOU,OAK,,,,,,P
90623-82635,P,MacKenzie,MacKenzie Gore,Gore,32.22222222222222,10,9900,DET@WSH,WSH,DET,,,,,,P
90623-79118,P,Triston,Triston McKenzie,McKenzie,34.6764705882353,34,9800,CLE@NYM,CLE,NYM,IL,Shoulder,,,,P
90623-60644,P,Luis,Luis Severino,Severino,31.38095238095238,21,9700,NYY@CIN,NYY,CIN,IL,Lat,,,,P
90623-101881,P,Merrill,Merrill Kelly,Kelly,35,9,9700,ARI@PIT,ARI,PIT,,,,,,P
90623-135212,P,Luis,Luis Garcia,Garcia,31.6,6,9600,OAK@HOU,HOU,OAK,IL,Elbow,,,,P
90623-146687,P,Hunter,Hunter Brown,Brown,32.5,8,9600,OAK@HOU,HOU,OAK,,,,Yes,,P
90623-13123,P,Alex,Alex Cobb,Cobb,31.77777777777778,10,9600,MIA@SF,SF,MIA,,,,,,P
90623-39041,P,Marcus,Marcus Stroman,Stroman,31.4,10,9500,CHC@PHI,CHC,PHI,,,,,,P
90623-82557,P,Aaron,Aaron Civale,Civale,30,2,9500,CLE@NYM,CLE,NYM,IL,Oblique,,,,P
90623-52155,P,Jon,Jon Gray,Gray,27.375,8,9500,COL@TEX,TEX,COL,,,,Yes,,P
90623-52183,P,Tyler,Tyler Glasnow,Glasnow,25.666666666666668,3,9500,MIL@TB,TB,MIL,IL,Oblique,,,,P
90623-185490,P,Logan,Logan Allen,Allen,30,5,9400,CLE@NYM,CLE,NYM,,,,,,P
90623-16960,P,Zack,Zack Wheeler,Wheeler,33.44444444444444,9,9400,CHC@PHI,PHI,CHC,,,,,,P
90623-181805,P,J.P.,J.P. France,France,21.666666666666668,3,9300,OAK@HOU,HOU,OAK,,,,,,P
90623-60647,P,Aaron,Aaron Nola,Nola,27.77777777777778,9,9200,CHC@PHI,PHI,CHC,,,,Yes,,P
90623-79280,P,Jesus,Jesus Luzardo,Luzardo,33.666666666666664,10,9200,MIA@SF,MIA,SF,,,,,,P
90623-182153,P,Kodai,Kodai Senga,Senga,34.5,9,9200,CLE@NYM,NYM,CLE,,,,,,P
90623-52167,P,Andrew,Andrew Heaney,Heaney,28.625,8,9200,COL@TEX,TEX,COL,,,,,,P
90623-53607,P,Anthony,Anthony DeSclafani,DeSclafani,30.25,9,9100,MIA@SF,SF,MIA,,,,,,P
90623-82607,P,Trevor,Trevor Rogers,Rogers,24.25,5,9100,MIA@SF,MIA,SF,IL,Biceps,,,,P
90623-17087,P,Drew,Drew Smyly,Smyly,31.22222222222222,10,9000,CHC@PHI,CHC,PHI,,,,,,P
90623-62872,P,Vince,Vince Velasquez,Velasquez,30.285714285714285,7,8900,ARI@PIT,PIT,ARI,IL,Elbow,,,,P
90623-102502,P,Josiah,Josiah Gray,Gray,31.444444444444443,10,8800,DET@WSH,WSH,DET,,,,,,P
90623-185501,P,Tanner,Tanner Bibee,Bibee,29.75,4,8800,CLE@NYM,CLE,NYM,,,,Yes,,P
90623-82550,P,Hunter,Hunter Greene,Greene,27.555555555555557,9,8800,NYY@CIN,CIN,NYY,,,,,,P
90623-5983,P,Rich,Rich Hill,Hill,27.88888888888889,9,8800,ARI@PIT,PIT,ARI,,,,,,P
90623-60632,P,Kyle,Kyle Freeland,Freeland,29.11111111111111,9,8700,COL@TEX,COL,TEX,,,,Yes,,P
90623-52159,P,Lance,Lance McCullers Jr.,McCullers Jr.,34.09090909090909,11,8700,OAK@HOU,HOU,OAK,IL,Forearm,,,,P
